Gene Symbol,Metabolic Super-Pathway
SLC3A2,Amino acid
GOT1,Amino acid
GOT2,Amino acid
ACAD8,Amino acid
ACADSB,Amino acid
NDUFAB1,Amino acid
ASPA,Amino acid
AGXT2,Amino acid
GPT,Amino acid
ARG2,Amino acid
ARG1,Amino acid
ASL,Amino acid
ASNS,Amino acid
ASS1,Amino acid
SAT1,Amino acid
TAT,Amino acid
BCAT2,Amino acid
BCAT1,Amino acid
BCKDK,Amino acid
BHMT,Amino acid
BBOX1,Amino acid
CBS,Amino acid
CNDP2,Amino acid
CTH,Amino acid
CPS1,Amino acid
CRYM,Amino acid
CSAD,Amino acid
CDO1,Amino acid
HIBADH,Amino acid
ALDH7A1,Amino acid
AMD1,Amino acid
HDC,Amino acid
ODC1,Amino acid
DDC,Amino acid
ALDH9A1,Amino acid
GLUD1,Amino acid
GLUD2,Amino acid
QDPR,Amino acid
SLC25A10,Amino acid
DLD,Amino acid
DBH,Amino acid
SHFM1,Amino acid
FAH,Amino acid
IL4I1,Amino acid
FOLH1,Amino acid
FTCD,Amino acid
GAMT,Amino acid
GATM,Amino acid
GCDH,Amino acid
GCSH,Amino acid
GLDC,Amino acid
AMT,Amino acid
CGA,Amino acid
GNMT,Amino acid
GLUL,Amino acid
GLS,Amino acid
GLS2,Amino acid
SHMT1,Amino acid
GCLM,Amino acid
GCLC,Amino acid
HAO1,Amino acid
HSD17B10,Amino acid
HGD,Amino acid
HNMT,Amino acid
HPD,Amino acid
HAL,Amino acid
UROC1,Amino acid
IDO1,Amino acid
INMT,Amino acid
DIO3,Amino acid
IVD,Amino acid
GCAT,Amino acid
CKB,Amino acid
CKM,Amino acid
CKMT2,Amino acid
CKMT1A,Amino acid
KYNU,Amino acid
SLC7A5,Amino acid
LIAS,Amino acid
LIPT1,Amino acid
GSTZ1,Amino acid
SLC45A2,Amino acid
AIMP1,Amino acid
AIMP2,Amino acid
EEF1E1,Amino acid
MCCC1,Amino acid
MCCC2,Amino acid
MTR,Amino acid
MAT1A,Amino acid
ALDH6A1,Amino acid
MTAP,Amino acid
MTRR,Amino acid
NAALAD2,Amino acid
NNMT,Amino acid
NQO1,Amino acid
OAT,Amino acid
OAZ2,Amino acid
OAZ3,Amino acid
OAZ1,Amino acid
DBT,Amino acid
BCKDHA,Amino acid
BCKDHB,Amino acid
AZIN1,Amino acid
SLC25A21,Amino acid
OGDH,Amino acid
DLST,Amino acid
DLAT,Amino acid
PDHA1,Amino acid
PDHB,Amino acid
PDHX,Amino acid
SLC25A15,Amino acid
SLC25A2,Amino acid
OTC,Amino acid
DAO,Amino acid
DDO,Amino acid
PAH,Amino acid
PCBD1,Amino acid
PNMT,Amino acid
PAPSS1,Amino acid
PYCR1,Amino acid
PRODH,Amino acid
PSMC5,Amino acid
PSMA8,Amino acid
ALDH4A1,Amino acid
OCA2,Amino acid
RPS4Y2,Amino acid
SLC6A7,Amino acid
SLC6A8,Amino acid
SLC6A11,Amino acid
SLC6A12,Amino acid
AHCY,Amino acid
