Gene Symbol,Metabolic Super-Pathway
PPP2R1A,Carbohydrate
PPP2R1B,Carbohydrate
PGD,Carbohydrate
PGLS,Carbohydrate
AAAS,Carbohydrate
GOT1,Carbohydrate
GOT2,Carbohydrate
AKR1A1,Carbohydrate
AKR1B1,Carbohydrate
ALDOA,Carbohydrate
ALDOB,Carbohydrate
ALDOC,Carbohydrate
AMY2B,Carbohydrate
AMY2A,Carbohydrate
AMY1A,Carbohydrate
NAGLU,Carbohydrate
ARSB,Carbohydrate
B3GAT1,Carbohydrate
B3GAT2,Carbohydrate
B3GAT3,Carbohydrate
B3GNT1,Carbohydrate
B3GNT2,Carbohydrate
B3GNT3,Carbohydrate
B4GALT1,Carbohydrate
B4GALT2,Carbohydrate
B4GALT3,Carbohydrate
B4GALT4,Carbohydrate
B4GALT5,Carbohydrate
B4GALT6,Carbohydrate
B4GALT7,Carbohydrate
GLB1,Carbohydrate
GUSB,Carbohydrate
CALM1,Carbohydrate
CD44,Carbohydrate
SLC25A12,Carbohydrate
SLC25A13,Carbohydrate
CRYL1,Carbohydrate
DERA,Carbohydrate
ALDH1A1,Carbohydrate
SORD,Carbohydrate
SLC25A10,Carbohydrate
SLC26A2,Carbohydrate
ENO1,Carbohydrate
ENO3,Carbohydrate
ENO2,Carbohydrate
EXT1,Carbohydrate
EXT2,Carbohydrate
FBP1,Carbohydrate
FBP2,Carbohydrate
PFKFB1,Carbohydrate
PFKFB2,Carbohydrate
PFKFB3,Carbohydrate
PFKFB4,Carbohydrate
FGF21,Carbohydrate
FMOD,Carbohydrate
GAPDH,Carbohydrate
GAPDHS,Carbohydrate
G6PD,Carbohydrate
GPI,Carbohydrate
G6PC,Carbohydrate
GALNS,Carbohydrate
GALK1,Carbohydrate
GALT,Carbohydrate
GALE,Carbohydrate
GCKR,Carbohydrate
AGL,Carbohydrate
GNS,Carbohydrate
GLCE,Carbohydrate
GBE1,Carbohydrate
GYG1,Carbohydrate
GNPDA1,Carbohydrate
GPC1,Carbohydrate
GPC3,Carbohydrate
GPC4,Carbohydrate
GPC5,Carbohydrate
GPC6,Carbohydrate
SLC2A1,Carbohydrate
SLC2A2,Carbohydrate
SLC2A3,Carbohydrate
SLC2A4,Carbohydrate
SLC2A5,Carbohydrate
GYG2,Carbohydrate
GYS1,Carbohydrate
GYS2,Carbohydrate
HAS1,Carbohydrate
HAS2,Carbohydrate
HAS3,Carbohydrate
HEXA,Carbohydrate
HEXB,Carbohydrate
HMMR,Carbohydrate
NDST1,Carbohydrate
NDST2,Carbohydrate
HK1,Carbohydrate
HK2,Carbohydrate
HK3,Carbohydrate
HYAL2,Carbohydrate
IDS,Carbohydrate
IDUA,Carbohydrate
NUP160,Carbohydrate
PFKM,Carbohydrate
PFKL,Carbohydrate
PFKP,Carbohydrate
PRKACA,Carbohydrate
PRKACB,Carbohydrate
PRKACG,Carbohydrate
KERA,Carbohydrate
KHK,Carbohydrate
PHKA1,Carbohydrate
PHKA2,Carbohydrate
PHKB,Carbohydrate
PHKG1,Carbohydrate
PHKG2,Carbohydrate
PRPS1,Carbohydrate
PRPS2,Carbohydrate
PRPS1L1,Carbohydrate
PKLR,Carbohydrate
LALBA,Carbohydrate
LCT,Carbohydrate
LUM,Carbohydrate
GAA,Carbohydrate
MAN2B1,Carbohydrate
MAN2B2,Carbohydrate
MAN2C1,Carbohydrate
SLC25A11,Carbohydrate
MANBA,Carbohydrate
MDH1,Carbohydrate
MDH2,Carbohydrate
MGAM,Carbohydrate
OGN,Carbohydrate
ABCC5,Carbohydrate
NUP107,Carbohydrate
NUP153,Carbohydrate
NUP214,Carbohydrate
SLC9A1,Carbohydrate
NUP37,Carbohydrate
NUP43,Carbohydrate
NUP50,Carbohydrate
NUP62,Carbohydrate
NUP88,Carbohydrate
OMD,Carbohydrate
