Gene Symbol,Metabolic Super-Pathway
PPP2R1A,Energy
PPP2R1B,Energy
ADRA2A,Energy
PRKAA2,Energy
PRKAB2,Energy
PRKAG2,Energy
ACLY,Energy
CHRM3,Energy
SLC25A4,Energy
SLC25A5,Energy
SLC25A6,Energy
ADIPOQ,Energy
ARL2,Energy
CACNA1A,Energy
CACNA1E,Energy
CACNB2,Energy
CACNB3,Energy
ACACB,Energy
ADCY1,Energy
ADCY2,Energy
ADCY3,Energy
ADCY4,Energy
ADCY5,Energy
ADCY6,Energy
ADCY7,Energy
ADCY8,Energy
ADCY9,Energy
PFKFB1,Energy
FASN,Energy
GNA11,Energy
GNA14,Energy
GNA15,Energy
GNAS,Energy
GNB1,Energy
GNB2,Energy
GNB3,Energy
GNB4,Energy
GNGT1,Energy
GNG3,Energy
GNG4,Energy
GNG5,Energy
GNG7,Energy
GNG8,Energy
GNG10,Energy
GNG11,Energy
GNG12,Energy
GNG13,Energy
GNGT2,Energy
GNAI1,Energy
GNAI2,Energy
GNAQ,Energy
GCGR,Energy
GCG,Energy
FFAR1,Energy
SLC2A1,Energy
SLC2A2,Energy
INS,Energy
ITPR3,Energy
KCNJ11,Energy
PRKAR1A,Energy
PRKAR1B,Energy
PRKAR2A,Energy
PRKAR2B,Energy
PRKACA,Energy
PRKACB,Energy
PRKACG,Energy
PRKCA,Energy
PKLR,Energy
MARCKS,Energy
MLX,Energy
PPP2CA,Energy
PPP2CB,Energy
PLCB1,Energy
PLCB2,Energy
PLCB3,Energy
AGPAT1,Energy
RAP1A,Energy
AHCYL1,Energy
STK11,Energy
SYT5,Energy
TALDO1,Energy
TKT,Energy
VAMP2,Energy
MLXIPL,Energy
ADIPOR1,Energy
ADIPOR2,Energy
GNG2,Energy
ADRA2C,Energy
CACNA2D2,Energy
ARL2BP,Energy
CACNA1C,Energy
GLP1R,Energy
AKAP5,Energy
KCNS3,Energy
IQGAP1,Energy
KCNB1,Energy
KCNG2,Energy
GNB5,Energy
RAPGEF3,Energy
SNAP25,Energy
STXBP1,Energy
CACNA1D,Energy
ABCC8,Energy
ACACA,Energy
ITPR2,Energy
ITPR1,Energy
PPP2R5D,Energy
STX1A,Energy
RAPGEF4,Energy
KCNC2,Energy
