Gene Symbol,Metabolic Super-Pathway
NT5C2,Nucleotide
NT5E,Nucleotide
ADA,Nucleotide
ADK,Nucleotide
AGXT2,Nucleotide
AMPD1,Nucleotide
AMPD2,Nucleotide
AMPD3,Nucleotide
APRT,Nucleotide
UPB1,Nucleotide
CAT,Nucleotide
CDA,Nucleotide
DCK,Nucleotide
DCTD,Nucleotide
DGUOK,Nucleotide
DPYD,Nucleotide
DPYS,Nucleotide
ENTPD1,Nucleotide
ENTPD2,Nucleotide
ENTPD3,Nucleotide
ENTPD4,Nucleotide
ENTPD5,Nucleotide
ENTPD6,Nucleotide
GLRX,Nucleotide
GMPR,Nucleotide
GMPR2,Nucleotide
GPX1,Nucleotide
GMPS,Nucleotide
GDA,Nucleotide
HPRT1,Nucleotide
IMPDH1,Nucleotide
IMPDH2,Nucleotide
AK1,Nucleotide
AK2,Nucleotide
AK5,Nucleotide
CMPK1,Nucleotide
GUK1,Nucleotide
TK2,Nucleotide
DTYMK,Nucleotide
NME1,Nucleotide
NME2,Nucleotide
NME4,Nucleotide
NUDT5,Nucleotide
PNP,Nucleotide
PPAT,Nucleotide
GART,Nucleotide
PFAS,Nucleotide
PAICS,Nucleotide
ADSL,Nucleotide
ATIC,Nucleotide
ADSS,Nucleotide
CAD,Nucleotide
UMPS,Nucleotide
DHODH,Nucleotide
RRM1,Nucleotide
RRM2,Nucleotide
TXN,Nucleotide
TXNRD1,Nucleotide
TYMP,Nucleotide
TYMS,Nucleotide
UCK1,Nucleotide
UCK2,Nucleotide
UPP1,Nucleotide
XDH,Nucleotide
TK1,Nucleotide
ITPA,Nucleotide
AK7,Nucleotide
NT5C,Nucleotide
NT5M,Nucleotide
ADSSL1,Nucleotide
UPP2,Nucleotide
NT5C1A,Nucleotide
NT5C1B,Nucleotide
DUT,Nucleotide
NUDT13,Nucleotide
POMP,Nucleotide
NUDT1,Nucleotide
ADAL,Nucleotide
DDX31,Nucleotide
ENTPD7,Nucleotide
ENTPD8,Nucleotide
GSR,Nucleotide
LHPP,Nucleotide
NUDT15,Nucleotide
NUDT16,Nucleotide
CTPS2,Nucleotide
RRM2B,Nucleotide
DCTPP1,Nucleotide
NUDT18,Nucleotide
NUDT9,Nucleotide
