Gene Symbol,Metabolic Super-Pathway
NT5E,Vitamin cofactor
ABCD4,Vitamin cofactor
AOX1,Vitamin cofactor
AKR1B10,Vitamin cofactor
AKR1C1,Vitamin cofactor
AKR1C3,Vitamin cofactor
AKR1C4,Vitamin cofactor
APOA1,Vitamin cofactor
APOA2,Vitamin cofactor
APOA4,Vitamin cofactor
APOB,Vitamin cofactor
APOC2,Vitamin cofactor
APOC3,Vitamin cofactor
APOE,Vitamin cofactor
APOM,Vitamin cofactor
HLCS,Vitamin cofactor
BST1,Vitamin cofactor
BTD,Vitamin cofactor
MTHFD1,Vitamin cofactor
CD38,Vitamin cofactor
CTRC,Vitamin cofactor
ACACB,Vitamin cofactor
CLPS,Vitamin cofactor
CYP24A1,Vitamin cofactor
CYP27B1,Vitamin cofactor
CYP8B1,Vitamin cofactor
CTRB1,Vitamin cofactor
CYB5A,Vitamin cofactor
SLC25A19,Vitamin cofactor
DHFR,Vitamin cofactor
FASN,Vitamin cofactor
SLC19A1,Vitamin cofactor
FOLR2,Vitamin cofactor
ALDH1L1,Vitamin cofactor
MTHFS,Vitamin cofactor
SLC25A16,Vitamin cofactor
GPHN,Vitamin cofactor
SHMT1,Vitamin cofactor
SHMT2,Vitamin cofactor
GPC1,Vitamin cofactor
GPC3,Vitamin cofactor
GPC4,Vitamin cofactor
GPC5,Vitamin cofactor
GPC6,Vitamin cofactor
GSTO1,Vitamin cofactor
SLC2A1,Vitamin cofactor
SLC2A3,Vitamin cofactor
GIF,Vitamin cofactor
LDLR,Vitamin cofactor
LGMN,Vitamin cofactor
LPL,Vitamin cofactor
PNLIP,Vitamin cofactor
LRP1,Vitamin cofactor
LRP2,Vitamin cofactor
MCCC1,Vitamin cofactor
MCCC2,Vitamin cofactor
MTR,Vitamin cofactor
SLC25A32,Vitamin cofactor
MOCS3,Vitamin cofactor
ABCC1,Vitamin cofactor
MOCS2,Vitamin cofactor
MTHFD2,Vitamin cofactor
MTHFR,Vitamin cofactor
MTRR,Vitamin cofactor
MUT,Vitamin cofactor
QPRT,Vitamin cofactor
COASY,Vitamin cofactor
CYB5R3,Vitamin cofactor
NNMT,Vitamin cofactor
ENPP1,Vitamin cofactor
ENPP2,Vitamin cofactor
ENPP3,Vitamin cofactor
NAMPT,Vitamin cofactor
PCCA,Vitamin cofactor
PCCB,Vitamin cofactor
PDXK,Vitamin cofactor
HSPG2,Vitamin cofactor
PTGS2,Vitamin cofactor
PANK2,Vitamin cofactor
PANK3,Vitamin cofactor
PANK4,Vitamin cofactor
ACP5,Vitamin cofactor
NADK,Vitamin cofactor
PARP4,Vitamin cofactor
PTGIS,Vitamin cofactor
PC,Vitamin cofactor
RBP1,Vitamin cofactor
RBP2,Vitamin cofactor
RBP4,Vitamin cofactor
SDC1,Vitamin cofactor
SDC2,Vitamin cofactor
SDC3,Vitamin cofactor
SDC4,Vitamin cofactor
SLC5A6,Vitamin cofactor
LRP12,Vitamin cofactor
SLC23A1,Vitamin cofactor
SLC23A2,Vitamin cofactor
TCN1,Vitamin cofactor
TCN2,Vitamin cofactor
SLC19A2,Vitamin cofactor
PRSS1,Vitamin cofactor
PRSS3,Vitamin cofactor
TTR,Vitamin cofactor
VNN1,Vitamin cofactor
VNN2,Vitamin cofactor
GC,Vitamin cofactor
LRAT,Vitamin cofactor
AMN,Vitamin cofactor
PARP9,Vitamin cofactor
BCMO1,Vitamin cofactor
BCO2,Vitamin cofactor
GSTO2,Vitamin cofactor
MMAA,Vitamin cofactor
MMAB,Vitamin cofactor
NMNAT1,Vitamin cofactor
NMNAT2,Vitamin cofactor
PNPO,Vitamin cofactor
RDH11,Vitamin cofactor
RFK,Vitamin cofactor
THTPA,Vitamin cofactor
AGRN,Vitamin cofactor
LRP10,Vitamin cofactor
LRP8,Vitamin cofactor
NMNAT3,Vitamin cofactor
PPCS,Vitamin cofactor
TPK1,Vitamin cofactor
VKORC1,Vitamin cofactor
PPCDC,Vitamin cofactor
FLAD1,Vitamin cofactor
NADSYN1,Vitamin cofactor
FPGS,Vitamin cofactor
AASDHPPT,Vitamin cofactor
SLC19A3,Vitamin cofactor
SLC46A1,Vitamin cofactor
CYP2R1,Vitamin cofactor
APOA1BP,Vitamin cofactor
ALDH1L2,Vitamin cofactor
MMADHC,Vitamin cofactor
CD320,Vitamin cofactor
CTRB2,Vitamin cofactor
CUBN,Vitamin cofactor
DHFRL1,Vitamin cofactor
GPC2,Vitamin cofactor
GPIHBP1,Vitamin cofactor
LMBRD1,Vitamin cofactor
MMACHC,Vitamin cofactor
MOCOS,Vitamin cofactor
NFS1,Vitamin cofactor
NUDT12,Vitamin cofactor
PARP10,Vitamin cofactor
PARP14,Vitamin cofactor
PARP16,Vitamin cofactor
PARP6,Vitamin cofactor
PARP8,Vitamin cofactor
PDZD11,Vitamin cofactor
RFT1,Vitamin cofactor
PLB1,Vitamin cofactor
NAPRT1,Vitamin cofactor
SLC22A13,Vitamin cofactor
UBIAD1,Vitamin cofactor
VKORC1L1,Vitamin cofactor
MTHFD2L,Vitamin cofactor
SLC5A8,Vitamin cofactor
CARKD,Vitamin cofactor
MTHFD1L,Vitamin cofactor
ACACA,Vitamin cofactor
PANK1,Vitamin cofactor
MOCS1,Vitamin cofactor
