,StromalScore,ImmuneScore,ESTIMATEScore,sample_name,TumourPurity
TCGA.FV.A3I0.01A.11R.A22L.07,-751.08441422592,-86.5687104089495,-837.653124634869,TCGA-FV-A3I0,0.886055943748406
TCGA.BD.A3ER.01A.11R.A213.07,-124.011396538428,123.066538985642,-0.944857552786246,TCGA-BD-A3ER,0.822588251285108
TCGA.CC.5261.01A.01R.A131.07,-87.9404203796524,599.199685980172,511.259265600519,TCGA-CC-5261,0.777551256722689
TCGA.DD.AAVZ.01A.11R.A41C.07,-992.151226718851,-423.311824221193,-1415.46305094004,TCGA-DD-AAVZ,0.922142474778075
TCGA.DD.AADN.01A.11R.A41C.07,-928.813209594072,1369.00793601126,440.194726417187,TCGA-DD-AADN,0.784068333302392
TCGA.DD.A1EB.01A.11R.A131.07,-784.692624545205,-446.591740051197,-1231.2843645964,TCGA-DD-A1EB,0.911348153626766
TCGA.LG.A9QD.01A.11R.A38B.07,-945.227928665853,-64.2128409539784,-1009.44076961983,TCGA-LG-A9QD,0.89746280436913
TCGA.G3.A25T.01A.11R.A16W.07,-673.523648568308,-138.972448482819,-812.496097051127,TCGA-G3-A25T,0.884338022885897
TCGA.XR.A8TE.01A.11R.A36F.07,-680.635959085929,-449.987324784691,-1130.62328387062,TCGA-XR-A8TE,0.905166601046091
TCGA.DD.AACA.01A.11R.A41C.07,-1228.32233512035,-680.610137510119,-1908.93247263047,TCGA-DD-AACA,0.947721570966318
TCGA.FV.A4ZQ.01A.11R.A266.07,-878.248882220493,1167.64243592406,289.393553703564,TCGA-FV-A4ZQ,0.797614289668498
TCGA.DD.AAD5.01A.11R.A41C.07,-964.425452719182,388.256374108317,-576.169078610865,TCGA-DD-AAD5,0.867614259833432
TCGA.K7.A5RF.01A.11R.A28V.07,150.497626285103,717.880639075659,868.378265360762,TCGA-K7-A5RF,0.74353495468181
TCGA.DD.AADA.01A.11R.A41C.07,-507.908072663973,357.133578829623,-150.77449383435,TCGA-DD-AADA,0.834894494285854
TCGA.MI.A75I.01A.11R.A32O.07,-1232.79317737165,-265.432479281872,-1498.22565665353,TCGA-MI-A75I,0.926773998779666
TCGA.DD.AAD0.01A.11R.A41C.07,-1373.98061166111,-876.147572896431,-2250.12818455754,TCGA-DD-AAD0,0.962508114157943
TCGA.DD.AACN.01A.11R.A41C.07,-491.189025749606,-217.906916878876,-709.095942628482,TCGA-DD-AACN,0.877150654903366
TCGA.DD.AAW0.01A.11R.A41C.07,-272.373743684059,518.721420916833,246.347677232775,TCGA-DD-AAW0,0.801409539559955
TCGA.BC.A10R.01A.11R.A131.07,-304.702411229714,-334.609970752845,-639.312381982559,TCGA-BC-A10R,0.872185677065499
TCGA.DD.AAD3.01A.11R.A41C.07,-175.697297142124,113.18000830798,-62.5172888341441,TCGA-DD-AAD3,0.827693996825324
TCGA.2Y.A9GZ.01A.11R.A39D.07,-1103.26181192877,-799.991220045651,-1903.25303197442,TCGA-2Y-A9GZ,0.947455216930811
TCGA.DD.A11B.01A.11R.A131.07,-977.765787093341,-691.610549498383,-1669.37633659172,TCGA-DD-A11B,0.935917211618245
TCGA.DD.AAVU.01A.11R.A41C.07,-1240.03160353403,-489.428657031727,-1729.46026056575,TCGA-DD-AAVU,0.938987219264466
TCGA.XR.A8TG.01A.11R.A36F.07,-777.752602543593,-208.546963011477,-986.299565555071,TCGA-XR-A8TG,0.895959307890698
TCGA.DD.AADJ.01A.11R.A41C.07,-980.5211019264,-107.446183865624,-1087.96728579202,TCGA-DD-AADJ,0.902487420761702
TCGA.G3.A5SJ.01A.11R.A27V.07,-729.521115636664,651.029395278299,-78.491720358365,TCGA-G3-A5SJ,0.82900760864759
TCGA.ED.A66Y.01A.11R.A311.07,-1285.91977510936,-1195.30218799916,-2481.22196310852,TCGA-ED-A66Y,0.971154035970062
TCGA.BC.A112.01A.11R.A131.07,-430.032859754497,132.796584697105,-297.236275057392,TCGA-BC-A112,0.846533849741442
TCGA.FV.A3I1.01A.11R.A22L.07,-571.641441953786,370.655644281798,-200.985797671989,TCGA-FV-A3I1,0.838928542835428
TCGA.DD.A4NV.01A.11R.A311.07,-447.270430358687,-254.936637860589,-702.207068219276,TCGA-DD-A4NV,0.876664609529757
TCGA.T1.A6J8.01A.11R.A32O.07,-692.946807876931,-265.11317074075,-958.059978617681,TCGA-T1-A6J8,0.894110562909792
TCGA.UB.A7MD.01A.12R.A352.07,-387.392463998182,333.508958141724,-53.8835058564575,TCGA-UB-A7MD,0.826982127299109
TCGA.DD.AACT.01A.11R.A41C.07,-512.145853870843,350.516966242743,-161.628887628101,TCGA-DD-AACT,0.835770401961276
TCGA.DD.AADS.01A.11R.A41C.07,-611.057354626564,624.301960003402,13.2446053768374,TCGA-DD-AADS,0.821402082112612
TCGA.ED.A7PX.01A.51R.A352.07,-252.150442456715,-114.373182701495,-366.52362515821,TCGA-ED-A7PX,0.851904128010098
TCGA.FV.A23B.01A.11R.A16W.07,-812.881162985809,-123.6088567466,-936.490019732409,TCGA-FV-A23B,0.892688103800905
TCGA.DD.A4NF.01A.11R.A27V.07,-926.248394980746,-821.642396774027,-1747.89079175477,TCGA-DD-A4NF,0.939914305619152
TCGA.DD.AACO.01A.11R.A41C.07,-685.652566330745,366.102882534147,-319.549683796598,TCGA-DD-AACO,0.848272888727019
TCGA.G3.A7M7.01A.12R.A352.07,-985.343232768294,-645.5662459653,-1630.90947873359,TCGA-G3-A7M7,0.933913495836828
TCGA.CC.5262.01A.01R.A131.07,-49.1322181879246,613.190296977259,564.058078789334,TCGA-CC-5262,0.772654442364178
