,amino_acid,lipid,nucleotide,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
TCGA.FV.A3I0.01A.11R.A22L.07,0.213580142980253,0.146115654652338,0.0152487081413266,-0.319118333799883,-0.0314223538433053,0.0191055641874051,0.224251118729076,0.219020055461732,0.44970796017025,0.393535644252067,0.25721349003155,-0.0744470623380364,0.0842240379859089,-0.102732650512632,0.120970521893615,-0.0565176748105292,0.278692513009887,-0.0270713167772425,-0.048933370117116,0.166323473969671,-0.108646042321757,0.396864208067753,0.333393701415947,0.0345619819543832,-0.348531313531773,0.340780017505124,-0.0211490886858024,0.0422951909695863,-0.0164813091124233,0.124057576105405,-0.118213746675293
TCGA.BD.A3ER.01A.11R.A213.07,0.760029863769492,0.765005747271639,0.688364811029754,-0.274329702950435,0.00479183987814566,0.0752712806064636,0.36094466349971,0.208032745779412,0.427561629488228,0.342161242463186,0.33177089410061,-0.12608532199604,0.108379194384054,-0.130056555163037,0.212927517099364,0.0591927732085381,0.301404386276424,0.0516257622121621,-0.122105684842629,0.224263555408185,0.0302989597992779,0.492472662534361,0.372968168963319,0.0738039614554858,-0.042116609930602,0.361732433624081,0.0261978641988297,0.118140214377188,0.0620276221156823,0.0812643221229584,-0.138540622097934
TCGA.CC.5261.01A.01R.A131.07,0.36172031222675,0.523110310599848,0.0219593713482809,-0.0874943670600262,0.104189427775343,0.182434999327038,0.209507111181162,0.227468288468545,0.356354717092263,0.425276191342808,0.323746208412252,-0.0652689700152329,0.0544125097667902,-0.371865102237311,0.19595809526589,0.0557939425868766,0.314735607167483,0.0583860198437396,-0.0950658312385852,0.214447329244759,0.145711235065108,0.478404054781564,0.453150611493911,0.0939136235546617,-0.203720369558231,0.38574540993704,0.0368903950022762,0.129496917296232,0.0713874422174351,-0.0452065912996304,-0.0576476305757961
TCGA.DD.AAVZ.01A.11R.A41C.07,0.806481840989424,0.765888955214746,0.552156735855786,-0.254417853380261,-0.0350716473955999,0.0710556818843805,0.199431064481869,0.211842197993558,0.400077410413979,0.285527799964104,0.326874096896269,-0.139463856267248,0.0189632627189462,-0.288158929151489,0.209494969200295,0.00755585061572484,0.236188733388765,0.0306176722218723,-0.181628644223449,-0.00309012907302678,0.218116807630144,0.43618118976772,0.310184151416083,-0.0492864611672545,-0.171812087483869,0.309146327633122,-0.171025564687372,0.060452452087937,-0.0189926834764218,0.016265236312376,-0.1108501409734
TCGA.DD.AADN.01A.11R.A41C.07,0.755395634873815,0.452055281745445,0.796030069300018,-0.139995239428005,0.199207256140781,0.459007800087759,0.242715574423676,0.311190136588475,0.350584886875326,0.334213630307115,0.297256986985735,0.0126758109373306,0.112582339907662,-0.321852077250701,0.25489139137677,0.078648987122714,0.309364628650165,0.0752661607885216,-0.0507910606723635,0.39788682311011,0.125246630690379,0.458084142897054,0.314447676327368,0.0549322457892922,-0.168489411110518,0.302868720023603,0.0468646335439542,0.0693176963660676,-0.00436061472732566,0.0932896993839186,-0.0936323311287383
TCGA.DD.A1EB.01A.11R.A131.07,0.667122233586848,0.823660522835723,0.656883512068794,-0.333876812048238,-0.226923579448902,0.0975944617331908,0.157186729779081,0.195589237750416,0.359977108225085,0.259714856589659,0.291919795269363,-0.15761256116195,0.0198484632477944,-0.21007428898061,0.140660301545186,-0.0675080586302793,0.269749342170198,-0.0742295111841229,-0.2037338167783,0.0224607819098651,0.0929871255464571,0.468359945459906,0.350753669679679,-0.0835705281215119,-0.177338041353892,0.283234845712771,0.00986557129227776,0.0295747089770426,-0.0153092912578796,-0.00136420150531739,-0.145134778331772
TCGA.LG.A9QD.01A.11R.A38B.07,0.828170389391778,0.827793503788075,0.708408849250855,-0.235261779179576,-0.0634447299830943,0.113899056568575,0.232661286691425,0.195627425345883,0.349454567803775,0.313372456526145,0.3072690388021,-0.132259170072917,0.100453269323869,-0.100106848703879,0.177911322172048,0.018427882386215,0.226786732110981,-0.00460461104742109,-0.152228475448148,0.0835886456271489,0.0591507496634981,0.396115560040994,0.323289703686049,-0.0312856122762074,-0.032152354421013,0.304785582516511,-0.0550551541823541,0.029199983650422,-0.0159665658557596,0.0828792507908235,-0.134296130278871
TCGA.G3.A25T.01A.11R.A16W.07,0.37681688334826,0.395584289882586,0.437364708775651,-0.270530878999246,-0.0490006857075514,0.129217847240977,0.174610009007246,0.164661024717961,0.363341880148995,0.419981327824062,0.289166736831975,-0.0458687456448204,0.0190067566596521,-0.213082797594475,0.239040031417233,-0.01289865857491,0.253001500620206,-0.0488282267159223,-0.137440699929084,0.175301952811572,-0.106106112909531,0.406771685742242,0.267734251333611,0.0480912941890944,-0.368390164976694,0.306465080537049,0.00771955063605361,-0.00505372172968618,0.00452518897566585,0.048643417196177,-0.139279806983215
TCGA.XR.A8TE.01A.11R.A36F.07,0.571151965474865,0.601119225579217,0.154554501204644,-0.280549029575428,-0.0303578761235821,0.00789415224363428,0.149343142869698,0.22158694157061,0.330375299800879,0.263193414738614,0.253915918522631,-0.134864827510631,-0.00407660225962423,-0.106693264391805,0.203224153770608,-0.0919750841238971,0.226511430381276,-0.11577879554172,-0.141754068620662,0.0453240423379316,0.0725200469273016,0.425318526588029,0.351503435184983,-0.0157918118253899,-0.379166053055725,0.329122097455786,-0.0148805658249759,0.0793025516007852,-0.0308488495053878,-0.0357406842129104,0.00756605557778913
TCGA.DD.AACA.01A.11R.A41C.07,0.689748224255299,0.674953273684408,0.355390907765625,-0.305494026758647,-0.165506870197977,0.0950729205148326,0.148132699894214,0.192280560401099,0.320450263059059,0.286889632360628,0.29152153895828,-0.126964583904343,-0.0292167113244227,-0.21399634474007,0.220386993922804,-0.09988439247346,0.255455238888159,-0.125409725885537,-0.231147006071572,-0.0457617937490145,0.211204195911278,0.441866793908703,0.299072542022165,-0.0464224707544012,-0.314989447899377,0.254896706279524,-0.1067172049219,0.070188761344383,-0.0455504147036859,0.0513327614784774,-0.101920657049195
