Gene Signature,Platform,Genes,Source
CD8 T effector,Gene expression profiling,"CD8A, CXCL10, CXCL9, GZMA, GZMB, IFNG, PRF1, TBX21",PMID: 26952546
DNA damage repair,Gene expression profiling,"ALKBH2, ALKBH3, APEX1, APEX2, APLF, ATM, ATR, ATRIP, BLM, BRCA1, BRCA2, BRIP1, CCNH, CDK7, CETN2, CHAF1A, CHEK1, CHEK2, CLK2, DCLRE1C, DDB1, DDB2, DUT, ENDOV, ERCC1, ERCC2, ERCC3, ERCC4, ERCC5, ERCC6, ERCC8, FAN1, FANCA, FANCB, FANCC, FANCD2, FANCE, FANCF, FANCG, FANCL, FANCM, GTF2H1, GTF2H2, GTF2H3, GTF2H4, GTF2H5, H2AFX, HLTF, HUS1, LIG1, LIG3, LIG4, MBD4, MDC1, MGMT, MLH1, MLH3, MMS19, MNAT1, MPG, MSH2, MSH3, MSH4, MSH5, MSH6, MUTYH, NEIL1, NEIL2, NEIL3, NHEJ1, NTHL1, NUDT1, OGG1, PALB2, PARP1, PARP2, PARP3, PCNA, PER1, PMS1, PMS2, PNKP, POLB, POLD1, POLE, POLG, POLH, POLL, POLM, POLQ, PRKDC, RAD1, RAD17, RAD18, RAD23A, RAD23B, RAD51C, RAD9A, RECQL4, RECQL5, RIF1, RNF168, RNF4, RNF8, RPA1, RPA2, RPA3, RPA4, RRM2B, SETMAR, SHPRH, SMUG1, TDP1, TDP2, TOPBP1, TP53, TREX1, UBE2A, UBE2B, UBE2N, UBE2V2, UNG, UVSSA, WRN, XAB2, XPA, XPC, XRCC1, XRCC4, XRCC5, XRCC6",Wood lab
Pan-F-TBRS,Gene expression profiling,"ACTA2, ACTG2, ADAM12, ADAM19, CNN1, COL4A1, CTGF, CTPS1, FAM101B, FSTL3, HSPB1, IGFBP3, PXDC1, SEMA7A, SH3PXD2A, TAGLN, TGFBI, TNS1, TPM1",experimentally determined pan-fibroblast TGF-¦Â response signature (see methods for details)
Antigen processing machinery,Gene expression profiling,"B2M, HLA-A, HLA-B, HLA-C, TAP1, TAP2",PMID: 27855702
Immune checkpoint,Gene expression profiling,"CD274, CTLA4, HAVCR2, LAG3, PDCD1, PDCD1LG2, TIGIT",
EMT (1),Gene expression profiling,"CLDN3, CLDN7, CLDN4, CDH1, VIM, TWIST1, ZEB1, ZEB2",PMID: 24520177
FGFR3-related genees,Gene expression profiling,"FGFR3, TP63, WNT7B",PMID: 22553347
KEGG discovered histones,Gene expression profiling,"HIST1H2AG, HIST1H2AI, HIST1H2BL, HIST2H2BF",discovered in this data set
Angiogenesis,Gene expression profiling,"CDH5, SOX17, SOX18, TEK",PMID: 22553347
Fanconi anemia,Gene expression profiling,"APITD1, ATR, ATRIP, BLM, BRCA1, BRCA2, BRIP1, C17orf70, C19orf40, EME1, EME2, ERCC1, ERCC4, FAN1, FANCA, FANCB, FANCC, FANCD2, FANCE, FANCF, FANCG, FANCI, FANCL, FANCM, HES1, MLH1, MUS81, PALB2, PMS2, POLH, POLI, POLK, POLN, RAD51, RAD51C, REV1, REV3L, RMI1, RMI2, RPA1, RPA2, RPA3, RPA4, SLX4, STRA13, TELO2, TOP3A, TOP3B, UBE2T, USP1, WDR48",KEGG hsa03460
