,amino_acid,lipid,nucleotide,Angiogenesis,Antigen processing machinery,CD8 T effector,Cell cycle,Cell cycle regulators,DNA damage repair,DNA replication,EMT_1,EMT_2,EMT_3,Fanconi anemia,FGFR3-related genes,Homologous recombination,Immune checkpoint,Mismatch repair,Nucleotide excision repair,Pan-F-TBRS,WNT target
TCGA.FV.A3I0.01A.11R.A22L.07,0.213580142980253,0.146115654652338,0.0152487081413266,-0.331055585221893,0.485546164300556,-0.265609326930693,0.135707666731598,0.114233402968163,0.0446159606725008,0.0888517107919703,0.224385416541639,-0.0473072199351567,-0.207333129781876,-0.0720925621710009,0.149872744828235,-0.0440326271926628,-0.142076304575319,0.104187853815619,0.205995095139473,0.281439767697279,0.196837115686185
TCGA.BD.A3ER.01A.11R.A213.07,0.760029863769492,0.765005747271639,0.688364811029754,0.0771793700519207,0.433738910000093,-0.165780673379496,0.10890124256006,0.152978383956387,0.00471143339707574,0.0124078335192064,0.209837456311203,-0.252416730068388,-0.106222977695895,-0.0992108428842067,-0.159506738121934,-0.091090830840062,-0.249904125940971,0.0202435187413708,0.133562263047157,0.227470818363178,0.200121089377712
TCGA.CC.5261.01A.01R.A131.07,0.36172031222675,0.523110310599848,0.0219593713482809,0.0728954963990891,0.452669201563285,-0.0468602778344864,0.200270545581634,0.16221235380848,0.04928671749581,0.126803273051692,0.245091850096484,-0.154006507381502,-0.120820152246685,-0.0199771910224489,-0.0775289678069216,-0.0988357842852592,-0.2960954074875,0.0940042817242505,0.177875159832926,0.267088076751719,0.24353204822571
TCGA.DD.AAVZ.01A.11R.A41C.07,0.806481840989424,0.765888955214746,0.552156735855786,-0.126362525269409,0.420641198081225,-0.219180945629535,0.150084713885243,0.119858396232598,0.0875940920405931,0.140910196298492,0.160294135715681,-0.277161024260711,-0.18468166302612,-0.0551472550145504,-0.124854843003707,-0.032549770091154,-0.297892213530913,0.128312702435235,0.206176052813934,0.197394463633516,0.238002269272937
TCGA.DD.AADN.01A.11R.A41C.07,0.755395634873815,0.452055281745445,0.796030069300018,-0.262593256812616,0.465363577114148,0.327249765536497,0.185340063989761,0.0229901133814594,0.121647411136741,0.209646068193547,0.00582741693935765,-0.340039535841827,-0.430037010861872,0.0139815790624918,-0.113976896113064,0.0529589385944094,0.0937926199903221,0.163523285116256,0.23747253097464,-0.111878314600633,-0.00018734888315915
TCGA.DD.A1EB.01A.11R.A131.07,0.667122233586848,0.823660522835723,0.656883512068794,0.0751998656745386,0.4912875646039,-0.0109877444326717,0.109516336149697,0.0741056512436509,0.0554640458635173,0.083594977568229,0.0665800967921402,-0.29487238505524,-0.308772757417865,-0.0440719274211287,-0.424014754561635,-0.0150805824667576,-0.235941260779438,0.114023672991497,0.169590565420998,0.109068108800581,0.0754884337332462
TCGA.LG.A9QD.01A.11R.A38B.07,0.828170389391778,0.827793503788075,0.708408849250855,-0.15920340184689,0.496367632605037,0.0322477834300392,0.10080293815313,0.107507403438344,0.0580752916714968,0.045757148205535,0.102656215900635,-0.229552598193331,-0.139422242743737,-0.0739367680480134,-0.185277535474594,-0.0031216355509088,-0.297683888192547,0.100763651666361,0.192302865121034,0.187022802109981,0.197539093353714
TCGA.G3.A25T.01A.11R.A16W.07,0.37681688334826,0.395584289882586,0.437364708775651,-0.266090229545859,0.420702288894176,-0.118584723181533,0.174293464224401,0.141166090940351,0.0911360754649522,0.13884062654556,0.217362984871429,-0.108402143500987,-0.252061753286919,-0.016468246732331,-0.131036522896698,-0.0100267146862476,-0.232206753690959,0.155264920077229,0.245656236268224,0.237979820667258,0.25740297366323
TCGA.XR.A8TE.01A.11R.A36F.07,0.571151965474865,0.601119225579217,0.154554501204644,-0.066640155337073,0.436580825471323,-0.12449807682488,0.140351732539669,0.144395607871411,0.0515358038832434,0.0151781472950343,-0.00878445379083376,-0.0669478511931062,-0.166597466663351,-0.04685816544698,-0.119067085596122,-0.0791639436512957,-0.293621544094394,0.036608326713862,0.142306077268429,0.176581899591852,0.330330125617729
TCGA.DD.AACA.01A.11R.A41C.07,0.689748224255299,0.674953273684408,0.355390907765625,-0.109019245195526,0.440540527514133,-0.107207127364322,0.193158496878238,0.0799117754492297,0.0775705484240413,0.167865864369263,0.0103826417114641,-0.201986537239328,-0.306612437525689,-0.0368990667770251,-0.115793880332631,-0.0338233827033347,-0.294715252120819,0.150083644476899,0.211513019354199,0.147576190540234,0.288353933338428
TCGA.FV.A4ZQ.01A.11R.A266.07,0.680681752479011,0.61911200551338,0.702111514241095,-0.390932617149758,0.523283424236536,0.328677147037712,0.224349706413485,0.0982818141911685,0.0956908890413797,0.192151092966934,-0.00471104185747762,-0.365728151836611,-0.182568466558206,-0.0218021795606613,-0.186474775978321,0.0313850902352375,0.0535460083313219,0.177915691844316,0.241403919776525,0.0486664424497537,0.318106797570456
TCGA.DD.AAD5.01A.11R.A41C.07,0.470101542625417,0.394846309198145,0.707601653467611,-0.115162988823018,0.459406068560436,-0.260664472439962,0.173896628900249,0.0869283171772317,0.0675512675899866,0.123923930436375,0.0950992227323302,-0.368527523570915,-0.138333248858842,-0.0205941852710981,-0.318910476941607,0.0288460981496169,-0.249054755820748,0.100896020828722,0.200399701069922,0.0470589043529508,0.286217951190753
TCGA.K7.A5RF.01A.11R.A28V.07,0.873062410243306,0.82497877954797,0.471121071065293,-0.019813357824248,0.476712446506078,0.0527877654487489,0.108922488578398,0.124939424209733,0.0198619526278526,-0.0136756159482731,0.152391253024979,-0.16389744225988,-0.119437181031103,-0.10727241770857,-0.164444557341333,-0.0873194844036207,-0.180941105778173,0.0155323996227526,0.134498960826031,0.194725385925823,0.253936144649991
TCGA.DD.AADA.01A.11R.A41C.07,0.636543915038989,0.515512818397972,0.0712887305696226,0.0683945910635928,0.48208534691924,0.000344277832641745,0.092917702408409,0.112811291200672,0.0352758966772835,0.0399091790789786,0.118371608096327,-0.220830964353842,-0.247918104372114,-0.0332757574360635,-0.0991359503740706,-0.0577654569478229,-0.245702127540535,0.0831500863047035,0.176190280689809,0.238836772711857,0.0936982441901271
TCGA.MI.A75I.01A.11R.A32O.07,0.66983903022264,0.745901141349321,0.592218747527284,-0.164152720400199,0.465442491806765,-0.0770362062602781,0.165243053956445,0.0543530672251153,0.0691117706353338,0.101690239474072,0.0297004932190922,-0.126500670700533,-0.201687980671487,-0.0558926581674402,-0.260157212912009,-0.018578115529374,-0.293165832416716,0.125973595726398,0.188194799748311,0.106266015817665,0.250148716701992
TCGA.DD.AAD0.01A.11R.A41C.07,0.678126190976649,0.736249868607989,0.590936442032214,-0.388973511906772,0.381022268401252,-0.0914150810094599,0.175591215463691,0.111856406845787,0.131687052210873,0.197426778161492,-0.00817393433954934,-0.24713665523761,-0.329025494917473,0.028912548930809,-0.167080959113224,0.0478139296922434,-0.297202135847573,0.180396106451282,0.241290901443098,0.124302373541452,0.236982504982644
TCGA.DD.AACN.01A.11R.A41C.07,0.65576264319229,0.52507156492353,0.287123646759004,0.0408123664457663,0.446899690536373,-0.0151960283659216,0.129582094908486,0.104115903078957,0.0281817853838097,0.00428722274766705,0.152825232448311,-0.210167967392883,-0.0666317950853218,-0.0584542234451956,-0.0974465911402404,-0.0806107695399359,-0.291746616049092,-0.000913711652243904,0.133084848400674,0.265991398548062,0.365454791736254
TCGA.DD.AAW0.01A.11R.A41C.07,0.78157713751154,0.789377995070955,0.420844916936987,0.01054970315762,0.390081615862484,-0.0411512296014357,0.104343566226183,0.14016481743564,0.0179824008493402,0.0138253826428144,0.13265410292105,-0.160803022060606,-0.130648695235104,-0.122651048709244,-0.199026059367008,-0.0798664303581275,-0.227733813075347,0.0462018840184437,0.106954658961888,0.273394246319718,0.24674563339728
TCGA.BC.A10R.01A.11R.A131.07,0.725829026747862,0.648479614586925,0.343357943182454,0.183069926743919,0.389692710536981,-0.209950562563172,0.108123214490438,0.0309752454132243,0.0135728696266977,0.0390955662373552,0.0332034771713097,-0.201305203216937,-0.128647635762291,-0.0981512736491519,-0.144600868022348,-0.0831745771775097,-0.298829677553564,0.0759142599704364,0.161405240141789,0.193497485146633,0.195934097310538
TCGA.DD.AAD3.01A.11R.A41C.07,0.72778778709885,0.767644398345235,0.310387836681033,0.0913569571234191,0.471424939882106,0.00733107170925018,0.114999180104992,0.109221728021983,0.0307031412961696,0.0283349984349918,0.130648800673512,-0.208619556088096,-0.114660256308456,-0.0914211104326798,-0.158334128795384,-0.0595056034269106,-0.289324833990578,0.0926652010141689,0.158845611746497,0.235830290993084,0.167840787530793
TCGA.2Y.A9GZ.01A.11R.A39D.07,0.851966899878499,0.816023996994647,0.598381644303516,0.0277436326669147,0.395620220472951,-0.259821340568271,0.123900828239414,0.063425284416972,0.084886407038098,0.0828947971846422,0.112032810090958,-0.202547044099256,-0.329112582970018,0.00293950148002064,-0.218350368709679,-0.0171662605266475,-0.29382986943276,0.0967051195315017,0.201762029216109,0.137764529178018,0.111003984070085
TCGA.DD.A11B.01A.11R.A131.07,0.766990385762371,0.84551522199733,0.59826202048516,-0.171024009162005,0.402560189973174,-0.133728203927733,0.106280252669368,0.169230628373307,0.067516454920325,0.0520046684381999,0.0539701419914254,-0.162477391584343,-0.113032244356445,-0.0510813592984353,-0.126059389053142,-0.0521177282007303,-0.296941729174615,0.0808800858799815,0.162729041127567,0.159077293634373,0.0405545094158985
TCGA.DD.AAVU.01A.11R.A41C.07,0.853597909416989,0.652017536659953,0.756394156066242,-0.263479190526676,0.403125184364608,-0.168202018041968,0.141257530069809,0.0312073968154313,0.113923251775431,0.143664708100641,0.0747962787726979,-0.291668308983665,-0.222639475635773,-0.0288010779052407,-0.31411523732615,0.0165644524765913,-0.292098165057586,0.164200508118774,0.235158786489941,0.108644957799973,0.180656908947767
TCGA.XR.A8TG.01A.11R.A36F.07,0.689495109969391,0.705787766547616,0.578207896787741,-0.299849471848596,0.399501061951121,-0.125380340858241,0.196547731381643,0.00124995832837666,0.0728473452099741,0.166934815553579,0.200311542404075,-0.250034278536636,-0.165791694137442,-0.0485644477630582,-0.146392704638077,-0.0184161964316223,-0.292163266725826,0.15819250725751,0.216280531660347,0.190806218383714,0.0876185951198909
TCGA.DD.AADJ.01A.11R.A41C.07,0.860288798265948,0.777302004921395,0.79211769370266,-0.128267701662645,0.343494556486163,-0.0475352110890073,0.123025722071723,0.088944064075099,0.08392892347513,0.130201642811529,-0.00540232980250815,-0.365103175821511,-0.261491387727797,-0.0411894194977522,-0.106629317483323,0.000919586735692159,-0.293113751082124,0.162538546054776,0.243734844268586,0.129315006707422,0.106926346270719
TCGA.G3.A5SJ.01A.11R.A27V.07,0.523005225914977,0.470580936127472,0.69176222975748,-0.215202355565825,0.483353733906244,0.0565887358007625,0.185518295673001,0.146444979604402,0.0601147367259028,0.114289370507577,0.211903237629783,-0.225542812365521,-0.059327837634504,-0.0335184374853927,-0.14384760102486,-0.0132769603104419,-0.245224702278362,0.0931192030897971,0.19209865772715,0.194600594497641,0.314188307309162
TCGA.ED.A66Y.01A.11R.A311.07,0.400609604395484,0.525946760461023,0.525901152514275,-0.336638909430906,0.241626717781238,-0.260311268547767,0.203218723794474,0.167337028662548,0.108984749825203,0.199686157064976,-0.00595461761397634,-0.0753392331308071,-0.10167784199826,0.0189587654912115,-0.0758016526633256,0.0563309300445281,-0.134091819840582,0.221319505888809,0.239770585558937,0.213135601251212,0.293750274611265
TCGA.BC.A112.01A.11R.A131.07,0.367699967105215,0.41065442495743,0.276892766435654,-0.172237194953022,0.470382515270174,-0.223141114209708,0.170888350169485,0.148616088070202,0.0530639465104697,0.110744305859466,0.254967169193237,-0.0537423654605744,-0.0589456419541168,-0.036880918019572,-0.159460811323263,-0.0162276923552672,-0.242145764485928,0.107950947069854,0.192894423880528,0.262777335149228,0.325774291727249
TCGA.FV.A3I1.01A.11R.A22L.07,0.653260195068108,0.816825967503113,0.69709449855367,-0.160987036503782,0.448596733521528,-0.0384688745000337,0.13780751378103,0.0497394529778866,0.0344873182140216,0.0739004568340239,0.195219224271233,-0.234962203482854,-0.160540654718838,-0.0565045665740438,-0.158777825142242,-0.0318799238821199,-0.247717347831458,0.0898035556379852,0.160657622272604,0.142044900768348,0.185182310830351
TCGA.DD.A4NV.01A.11R.A311.07,0.773757109524738,0.843218756805874,0.494204707385143,0.0512663205821466,0.422727857535667,-0.162104183334307,0.102373951583099,0.101811339407231,0.0391640421145261,0.0542010976688929,0.122326422687015,-0.149966579987474,-0.246079471761536,-0.0503860058995965,-0.200975999565918,-0.0142711172662099,-0.289337854324226,0.068518412617777,0.176711158473612,0.247452469361557,0.142407953069875
TCGA.T1.A6J8.01A.11R.A32O.07,0.738083072329799,0.778212712794931,0.581337628980496,-0.185435102727802,0.424971996399422,-0.151523608658641,0.0954991000852712,0.0513269864248303,0.0446819488567018,0.0466542908931028,0.176578851039114,-0.18707088525554,-0.131002558363419,-0.100759669935321,-0.165768359412268,-0.0759414465471498,-0.291902860052867,0.12141776690727,0.187746815777552,0.112741169207447,0.112448788972616
TCGA.UB.A7MD.01A.12R.A352.07,0.769324626033511,0.616248109125631,0.506878832649514,0.0318518265448825,0.487449121728403,-0.0455073392818209,0.147080494412883,0.066764251287584,0.0150125682637121,0.0385572769982716,0.158552263026653,-0.248322126310255,-0.205914907610314,-0.0851635947989698,-0.418244193472407,-0.0810553477497993,-0.288166024295912,0.034184726208596,0.160313311393923,0.147190693159349,0.314772670984607
