Name,Degree
AADAT,13
AANAT,6
AASS,5
ACAD8,3
ACADSB,10
ACAT1,6
ACMSD,4
ADI1,5
ADO,3
AFMID,10
AGMAT,10
AGXT,24
AGXT2,26
AHCY,10
AIMP1,13
AIMP2,10
ALDH18A1,24
ALDH4A1,28
ALDH6A1,9
ALDH7A1,20
ALDH9A1,17
AMDHD1,4
AMT,17
APIP,4
ARG1,16
ARG2,15
ASL,11
ASMT,7
ASNS,21
ASPA,15
ASPG,2
ASRGL1,9
ASS1,21
AUH,4
AZIN1,7
BBOX1,2
BCAT1,13
BCAT2,14
BCKDHA,23
BCKDHB,24
BCKDK,8
BHMT,16
BHMT2,13
CARNMT1,2
CARNS1,14
CBS,15
CDO1,11
CGA,1
CKB,3
CKM,3
CKMT1A,1
CKMT2,3
CNDP2,15
CPS1,13
CRYM,3
CSAD,6
CTH,25
DAO,11
DARS1,10
DBH,4
DBT,27
DCT,3
DDC,19
DHTKD1,9
DIO1,1
DIO2,3
DLAT,17
DLD,26
DLST,19
DUOX1,2
DUOX2,4
EEF1E1,10
EEFSEC,85
ENOPH1,3
EPRS1,93
ETHE1,4
FAH,4
FAU,93
FOLH1,2
FTCD,20
GADL1,15
GAMT,5
GATM,24
GCAT,1
GCDH,4
GCLC,19
GCLM,19
GCSH,24
GLDC,28
GLS,21
GLS2,21
GLUD1,31
GLUD2,29
GLUL,26
GNMT,12
GOT1,30
GOT2,30
GPT,9
GPT2,11
GRHPR,11
GSR,11
GSTZ1,2
HAL,10
HAO1,5
HDC,4
HGD,9
HIBADH,6
HIBCH,10
HNMT,1
HPD,7
IARS1,12
IDO1,14
IDO2,13
IL4I1,30
INMT,4
IVD,7
IYD,4
KARS1,21
KMO,9
KYAT1,19
KYAT3,19
KYNU,9
LARS1,12
LIAS,3
LIPT1,11
LIPT2,4
MARS1,18
MAT1A,13
MCCC1,8
MCCC2,10
MRI1,4
MTAP,6
MTR,19
MTRR,7
NAALAD2,1
NAGS,16
NDUFAB1,5
NMRAL1,1
NQO1,5
OAT,21
OAZ1,4
OAZ2,2
OAZ3,2
OCA2,7
ODC1,16
OGDH,21
OTC,9
PAH,13
PAOX,4
PAPSS1,2
PAPSS2,2
PCBD1,7
PDHA1,9
PDHB,17
PDHX,14
PHGDH,9
PIPOX,8
PNMT,3
PPM1K,5
PRODH,6
PSAT1,8
PSMA1,43
PSMA2,46
PSMA3,49
PSMA4,43
PSMA5,46
PSMA6,43
PSMA7,45
PSMA8,38
PSMB1,43
PSMB10,41
PSMB11,27
PSMB2,43
PSMB3,43
PSMB4,43
PSMB5,42
PSMB6,42
PSMB7,42
PSMB8,40
PSMB9,41
PSMC1,50
PSMC2,61
PSMC3,45
PSMC4,58
PSMC5,53
PSMC6,44
PSMD1,49
PSMD10,20
PSMD11,45
PSMD12,44
PSMD13,43
PSMD14,46
PSMD2,45
PSMD3,43
PSMD4,47
PSMD5,29
PSMD6,45
PSMD7,45
PSMD8,42
PSMD9,20
PSME1,35
PSME2,32
PSME3,36
PSME4,38
PSMF1,22
PSPH,7
PSTK,5
PYCR1,6
PYCR2,6
PYCR3,6
QARS1,76
QDPR,6
RARS1,16
RPL10,88
RPL10A,92
RPL10L,86
RPL11,95
RPL12,90
RPL13,90
RPL13A,91
RPL14,88
RPL15,91
RPL17,90
RPL18,91
RPL18A,91
RPL19,92
RPL21,91
RPL22,89
RPL22L1,86
RPL23,95
RPL23A,94
RPL24,91
RPL26,90
RPL26L1,88
RPL27,91
RPL27A,89
RPL28,90
RPL29,91
RPL3,94
RPL30,91
RPL31,91
RPL32,89
RPL34,91
RPL35,92
RPL35A,92
RPL36,91
RPL36A,91
RPL36AL,90
RPL37,88
RPL37A,91
RPL38,91
RPL39,90
RPL39L,87
RPL3L,88
RPL4,91
RPL41,57
RPL5,93
RPL6,91
RPL7,90
RPL7A,89
RPL8,94
RPL9,92
RPLP0,92
RPLP1,89
RPLP2,88
RPS10,92
RPS11,91
RPS12,90
RPS13,95
RPS14,92
RPS15,92
RPS15A,92
RPS16,92
RPS17,91
RPS18,93
RPS19,94
RPS2,95
RPS20,95
RPS21,91
RPS23,92
RPS24,92
RPS25,92
RPS26,91
RPS27,92
RPS27A,125
RPS27L,88
RPS28,91
RPS29,91
RPS3,95
RPS3A,91
RPS4X,93
RPS4Y1,88
RPS4Y2,88
RPS5,96
RPS6,92
RPS7,92
RPS8,92
RPS9,93
RPSA,97
SARS1,10
SAT1,6
SCLY,4
SECISBP2,81
SEM1,19
SEPSECS,5
SHMT1,23
SLC25A15,1
SLC3A2,2
SLC45A2,4
SLC5A5,3
SLC6A8,3
SLC7A5,2
SMOX,4
SMS,12
SQOR,5
SRM,12
SUOX,7
TAT,18
TDO2,14
TH,13
TPH1,10
TPH2,9
TPO,10
TSHB,2
TST,10
TXNRD1,15
TYR,13
TYRP1,4
UBA52,122
UROC1,3
