node1,node2,combined_score
RPL14,RPL38,0.999
RPL14,RPL36AL,0.997
RPL14,RPL21,0.999
RPL14,RPL24,0.999
RPL14,RPL34,0.999
RPL14,RPL31,0.999
RPL14,RPL35A,0.999
RPL14,RPL27,0.999
RPL14,RPL6,0.999
RPL21,RPL38,0.999
RPL21,RPL36AL,0.999
RPL21,RPL27,0.999
RPL21,RPL35A,0.999
RPL21,RPL31,0.999
RPL21,RPL24,0.999
RPL21,RPL34,0.999
RPL21,RPL6,0.999
RPL24,RPL38,0.999
RPL24,RPL36AL,0.996
RPL24,RPL34,0.999
RPL24,RPL6,0.999
RPL24,RPL27,0.999
RPL24,RPL35A,0.999
RPL24,RPL31,0.999
RPL27,RPL38,0.999
RPL27,RPL36AL,0.995
RPL27,RPL34,0.999
RPL27,RPL31,0.999
RPL27,RPL6,0.999
RPL27,RPL35A,0.999
RPL31,RPL38,0.999
RPL31,RPL36AL,0.997
RPL31,RPL34,0.999
RPL31,RPL35A,0.999
RPL31,RPL6,0.999
RPL34,RPL38,0.999
RPL34,RPL36AL,0.996
RPL34,RPL35A,0.999
RPL34,RPL6,0.999
RPL35A,RPL38,0.999
RPL35A,RPL36AL,0.999
RPL35A,RPL6,0.999
RPL36AL,RPL38,0.997
RPL36AL,RPL6,0.996
RPL38,RPL6,0.999
