node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
A2M,APOA1,9606.ENSP00000323929,9606.ENSP00000236850,0,0,0,0,0.111,0,0.75,0.994,0.998
A2M,APOE,9606.ENSP00000323929,9606.ENSP00000252486,0,0,0,0,0.27,0.292,0,0.957,0.975
A2M,ALB,9606.ENSP00000323929,9606.ENSP00000295897,0,0,0,0,0.152,0.073,0,0.976,0.98
A2M,APOA2,9606.ENSP00000323929,9606.ENSP00000356969,0,0,0,0,0.164,0.071,0,0.73,0.772
AACS,OXCT1,9606.ENSP00000324842,9606.ENSP00000196371,0.058,0,0,0,0.126,0,0.9,0.557,0.958
AACS,EHHADH,9606.ENSP00000324842,9606.ENSP00000231887,0.045,0,0,0,0.201,0,0.915,0.255,0.945
AACS,ACAT1,9606.ENSP00000324842,9606.ENSP00000265838,0.055,0,0,0,0.245,0,0.918,0.431,0.962
AACS,BDH2,9606.ENSP00000324842,9606.ENSP00000296424,0.042,0,0,0,0.055,0,0.912,0.324,0.939
AACS,HMGCS1,9606.ENSP00000324842,9606.ENSP00000322706,0,0,0,0,0.187,0,0.9,0.537,0.959
AACS,BDH1,9606.ENSP00000324842,9606.ENSP00000376184,0,0,0,0,0.075,0,0.9,0.372,0.936
AACS,HMGCLL1,9606.ENSP00000324842,9606.ENSP00000381654,0.06,0.162,0,0,0.126,0,0.918,0.159,0.943
AACS,HMGCS2,9606.ENSP00000324842,9606.ENSP00000358414,0,0,0,0,0.144,0,0.9,0.403,0.944
AACS,ACAT2,9606.ENSP00000324842,9606.ENSP00000356015,0.055,0,0,0,0.28,0,0.918,0.336,0.958
AACS,HMGCL,9606.ENSP00000324842,9606.ENSP00000363614,0.06,0.191,0,0,0.133,0,0.918,0.418,0.962
ABCA1,CETP,9606.ENSP00000363868,9606.ENSP00000200676,0,0,0,0,0.048,0,0,0.83,0.831
ABCA1,APOC3,9606.ENSP00000363868,9606.ENSP00000227667,0,0,0,0,0.042,0,0,0.744,0.744
ABCA1,APOB,9606.ENSP00000363868,9606.ENSP00000233242,0,0,0,0,0.042,0,0,0.861,0.861
ABCA1,APOA1,9606.ENSP00000363868,9606.ENSP00000236850,0,0,0,0,0.055,0.697,0.9,0.999,0.999
ABCA1,APOE,9606.ENSP00000363868,9606.ENSP00000252486,0,0,0,0,0.084,0,0,0.979,0.98
ABCA1,SCARB1,9606.ENSP00000363868,9606.ENSP00000261693,0,0,0,0,0.064,0,0,0.932,0.934
ABCA1,SPTLC1,9606.ENSP00000363868,9606.ENSP00000262554,0,0,0,0,0.042,0.516,0,0.745,0.871
ABCA1,LCAT,9606.ENSP00000363868,9606.ENSP00000264005,0,0,0,0,0.054,0,0,0.911,0.912
ABCA1,NPC1,9606.ENSP00000363868,9606.ENSP00000269228,0,0,0,0,0.062,0.067,0,0.806,0.816
ABCA1,PPARG,9606.ENSP00000363868,9606.ENSP00000287820,0,0,0,0,0.044,0.049,0,0.818,0.82
ABCA1,HMGCR,9606.ENSP00000363868,9606.ENSP00000287936,0,0,0,0,0,0,0,0.866,0.866
ABCA1,NPC1L1,9606.ENSP00000363868,9606.ENSP00000289547,0,0,0,0,0.055,0.067,0,0.807,0.815
ABCA1,LIPC,9606.ENSP00000363868,9606.ENSP00000299022,0,0,0,0,0,0.074,0,0.737,0.746
ABCA1,CYP7A1,9606.ENSP00000363868,9606.ENSP00000301645,0,0,0,0,0.051,0.066,0,0.857,0.862
ABCA1,LPA,9606.ENSP00000363868,9606.ENSP00000321334,0,0,0,0,0,0,0,0.74,0.74
ABCA1,HMGCS1,9606.ENSP00000363868,9606.ENSP00000322706,0,0,0,0,0,0,0,0.755,0.755
