Metagene,Pathway
HSD3B1,Lipid
HSD3B2,Lipid
AP2A1,Lipid
AP2A2,Lipid
AP2B1,Lipid
AP2M1,Lipid
A2M,Lipid
AP2S1,Lipid
PRKAA2,Lipid
PRKAB2,Lipid
PRKAG2,Lipid
ABCB11,Lipid
ABCA1,Lipid
ABCG5,Lipid
ABCG8,Lipid
DBI,Lipid
ACADL,Lipid
ACADM,Lipid
ACADS,Lipid
ACADVL,Lipid
ACHE,Lipid
ACLY,Lipid
SCD,Lipid
NDUFAB1,Lipid
AGPS,Lipid
PLIN2,Lipid
FDXR,Lipid
FDX1,Lipid
GLA,Lipid
AHR,Lipid
AKR1C1,Lipid
AKR1C2,Lipid
AKR1C3,Lipid
AKR1C4,Lipid
AKR1D1,Lipid
ALB,Lipid
AKR1B1,Lipid
ABCD1,Lipid
AMACR,Lipid
AGT,Lipid
ANGPTL3,Lipid
ANGPTL4,Lipid
APOA1,Lipid
APOA2,Lipid
APOA4,Lipid
APOB,Lipid
APOC1,Lipid
APOC2,Lipid
APOC3,Lipid
APOC4,Lipid
APOE,Lipid
APOF,Lipid
ACER3,Lipid
LPA,Lipid
ARF1,Lipid
ARF3,Lipid
ARNT2,Lipid
ARNT,Lipid
ARSA,Lipid
ARSB,Lipid
ARSD,Lipid
ARSE,Lipid
ARSF,Lipid
ASAH1,Lipid
SMPD1,Lipid
ACOT7,Lipid
CEL,Lipid
BDH1,Lipid
GLB1,Lipid
BHMT,Lipid
BMX,Lipid
CYP11A1,Lipid
CYP39A1,Lipid
ACOT12,Lipid
CRAT,Lipid
B4GALNT1,Lipid
ACOX1,Lipid
ACOX2,Lipid
ACOX3,Lipid
CAV1,Lipid
NFYB,Lipid
CREBBP,Lipid
CD36,Lipid
CDS1,Lipid
CDS2,Lipid
UGCG,Lipid
CETP,Lipid
ACOT9,Lipid
CCNC,Lipid
UGT8,Lipid
BCHE,Lipid
CIDEA,Lipid
CLOCK,Lipid
CPNE1,Lipid
CPNE3,Lipid
CPNE6,Lipid
CPNE7,Lipid
ACACB,Lipid
POMC,Lipid
CLPS,Lipid
COQ3,Lipid
COQ6,Lipid
COQ7,Lipid
CYP1A1,Lipid
CYP1A2,Lipid
CYP1B1,Lipid
CYP27A1,Lipid
CYP46A1,Lipid
CYP4B1,Lipid
CYP4A11,Lipid
CYP51A1,Lipid
CYP7A1,Lipid
CYP7B1,Lipid
CYP8B1,Lipid
CYP2C8,Lipid
CYP2C9,Lipid
CYP2C19,Lipid
CYP4F2,Lipid
CYP4F3,Lipid
CYP4F11,Lipid
CYP2J2,Lipid
CYP11B1,Lipid
CYP11B2,Lipid
CYP21A2,Lipid
CPT1A,Lipid
CPT2,Lipid
CYP17A1,Lipid
CPT1B,Lipid
CYP19A1,Lipid
MED17,Lipid
MED7,Lipid
SPTLC3,Lipid
FITM2,Lipid
CTGF,Lipid
PCYT1A,Lipid
PCYT1B,Lipid
MID1IP1,Lipid
ALDH7A1,Lipid
DAB1,Lipid
GNPAT,Lipid
MLYCD,Lipid
DECR1,Lipid
DGAT1,Lipid
ALDH3B1,Lipid
ALDH3B2,Lipid
HSD17B1,Lipid
HSD17B2,Lipid
HSD17B3,Lipid
HSD17B4,Lipid
HSD17B8,Lipid
DHCR7,Lipid
CBR1,Lipid
DHCR24,Lipid
HSD11B1,Lipid
HSD11B2,Lipid
EBP,Lipid
HADHA,Lipid
HADHB,Lipid
ECHS1,Lipid
EHHADH,Lipid
ETNK1,Lipid
ETNK2,Lipid
ELOVL1,Lipid
ELOVL2,Lipid
ELOVL3,Lipid
ELOVL4,Lipid
MVD,Lipid
TM7SF2,Lipid
SQLE,Lipid
LSS,Lipid
ESRRA,Lipid
FAAH,Lipid
FABP4,Lipid
FABP7,Lipid
FABP5,Lipid
FABP3,Lipid
FABP2,Lipid
FABP1,Lipid
FASN,Lipid
FDFT1,Lipid
FGF21,Lipid
ALOX5AP,Lipid
FDPS,Lipid
CIDEC,Lipid
FURIN,Lipid
KDSR,Lipid
FYN,Lipid
PIKFYVE,Lipid
G0S2,Lipid
GALC,Lipid
GGPS1,Lipid
GGT1,Lipid
GGT5,Lipid
GK2,Lipid
GBA,Lipid
CGA,Lipid
GLIPR1,Lipid
GK,Lipid
GLTP,Lipid
GPD1,Lipid
GPD2,Lipid
PNPLA4,Lipid
GPX1,Lipid
GPX2,Lipid
GPX4,Lipid
TECR,Lipid
HAO2,Lipid
HADH,Lipid
ALAS1,Lipid
HEXA,Lipid
HEXB,Lipid
HMGCS2,Lipid
HMGCS1,Lipid
HACL1,Lipid
HRASLS5,Lipid
HRASLS,Lipid
HRASLS2,Lipid
PLA2G16,Lipid
EPHX2,Lipid
IDH1,Lipid
IDI1,Lipid
IDI2,Lipid
FABP6,Lipid
KPNB1,Lipid
INSIG1,Lipid
PRKACA,Lipid
PRKACB,Lipid
PRKACG,Lipid
CSNK1G2,Lipid
CSNK2A2,Lipid
CSNK2B,Lipid
GPCPD1,Lipid
CHKB,Lipid
CHKA,Lipid
MVK,Lipid
PRKD1,Lipid
PRKD3,Lipid
PRKD2,Lipid
PTGR1,Lipid
LTC4S,Lipid
LCAT,Lipid
SPTLC1,Lipid
SPTLC2,Lipid
ACSL1,Lipid
ACSL3,Lipid
ACSL4,Lipid
ACSL5,Lipid
ACSL6,Lipid
LDLR,Lipid
VLDLR,Lipid
LIPA,Lipid
PNLIPRP1,Lipid
LIPG,Lipid
LIPF,Lipid
LIPC,Lipid
LPL,Lipid
PNLIP,Lipid
LIPE,Lipid
LTA4H,Lipid
ALOX15,Lipid
ALOX5,Lipid
ALOX12,Lipid
ALOX12B,Lipid
LPIN1,Lipid
LPIN2,Lipid
LPIN3,Lipid
LHB,Lipid
ALOX15B,Lipid
DMGDH,Lipid
ME1,Lipid
SLC25A20,Lipid
DPEP1,Lipid
ABCB4,Lipid
MED6,Lipid
STARD3NL,Lipid
MAPKAPK2,Lipid
STARD3,Lipid
ABCC1,Lipid
ABCC3,Lipid
MBTPS1,Lipid
MBTPS2,Lipid
MTM1,Lipid
MTTP,Lipid
MTMR1,Lipid
MTMR2,Lipid
MTMR3,Lipid
MTMR6,Lipid
MTMR7,Lipid
MUT,Lipid
NCOA2,Lipid
NEU1,Lipid
NEU2,Lipid
NEU3,Lipid
TRIB3,Lipid
SCP2,Lipid
NPAS2,Lipid
NPC1,Lipid
NPC2,Lipid
NR1D1,Lipid
NRF1,Lipid
NR1H2,Lipid
NSDHL,Lipid
SMPD2,Lipid
SLC10A2,Lipid
SLC10A1,Lipid
CROT,Lipid
OSBPL1A,Lipid
OSBPL2,Lipid
OSBPL3,Lipid
OSBPL5,Lipid
OSBPL6,Lipid
OSBPL7,Lipid
OSBPL8,Lipid
OSBPL9,Lipid
OSBPL10,Lipid
OSBP,Lipid
PIK3CA,Lipid
PIK3CB,Lipid
PIK3CD,Lipid
PIK3CG,Lipid
EP300,Lipid
PIK3R3,Lipid
PIK3R1,Lipid
PIK3R2,Lipid
PLA2G1B,Lipid
PLA2G3,Lipid
PLA2G4A,Lipid
PLA2G5,Lipid
PLA2G6,Lipid
PLA2G2A,Lipid
PLA2G2D,Lipid
PLA2G2E,Lipid
PLA2G2F,Lipid
PLA2G10,Lipid
PLA2G12A,Lipid
PHYH,Lipid
PCCA,Lipid
PCCB,Lipid
PCSK5,Lipid
STARD10,Lipid
PCYT2,Lipid
P4HB,Lipid
PEMT,Lipid
HPGDS,Lipid
HPGD,Lipid
PTGS1,Lipid
PTGS2,Lipid
PTGDS,Lipid
PI4KA,Lipid
PIP4K2A,Lipid
CDIPT,Lipid
PIK3C2B,Lipid
PIK3C2G,Lipid
AGPAT1,Lipid
AGPAT2,Lipid
AGPAT3,Lipid
AGPAT4,Lipid
AGPAT5,Lipid
PLD2,Lipid
PLIN1,Lipid
GPAM,Lipid
PLTP,Lipid
SLC25A17,Lipid
PMVK,Lipid
ACOT13,Lipid
PON1,Lipid
PON2,Lipid
PON3,Lipid
PPP1CA,Lipid
PPP1CB,Lipid
PPP1CC,Lipid
PPARA,Lipid
PPARD,Lipid
ALPI,Lipid
PCTP,Lipid
PITPNB,Lipid
PPT1,Lipid
PPT2,Lipid
CTSA,Lipid
PTDSS1,Lipid
ACOT8,Lipid
ACOT2,Lipid
PTEN,Lipid
PTGES,Lipid
PTGIS,Lipid
PTPN13,Lipid
RAB14,Lipid
RAB5A,Lipid
