node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2M	CREB3L3	9606.ENSP00000323929	9606.ENSP00000078445	0	0	0	0	0.107	0	0	0.417	0.457
A2M	PON1	9606.ENSP00000323929	9606.ENSP00000222381	0	0	0	0	0.100	0	0	0.484	0.516
A2M	APOC3	9606.ENSP00000323929	9606.ENSP00000227667	0	0	0	0	0.138	0	0	0.622	0.660
A2M	APOB	9606.ENSP00000323929	9606.ENSP00000233242	0	0	0	0	0.192	0	0	0.507	0.585
A2M	APOA1	9606.ENSP00000323929	9606.ENSP00000236850	0	0	0	0	0.111	0	0.750	0.994	0.998
A2M	APOE	9606.ENSP00000323929	9606.ENSP00000252486	0	0	0	0	0.270	0.292	0	0.957	0.975
A2M	CYP46A1	9606.ENSP00000323929	9606.ENSP00000261835	0	0	0	0	0.048	0.045	0	0.416	0.422
A2M	LCAT	9606.ENSP00000323929	9606.ENSP00000264005	0	0	0	0	0.077	0.292	0	0.449	0.608
A2M	GDPD1	9606.ENSP00000323929	9606.ENSP00000284116	0	0	0	0	0	0.441	0	0	0.441
A2M	PPARG	9606.ENSP00000323929	9606.ENSP00000287820	0	0	0	0	0.054	0.045	0	0.463	0.472
A2M	ALB	9606.ENSP00000323929	9606.ENSP00000295897	0	0	0	0	0.152	0.073	0	0.976	0.980
A2M	LPA	9606.ENSP00000323929	9606.ENSP00000321334	0	0	0	0	0.136	0.127	0	0.330	0.450
A2M	CYP2C8	9606.ENSP00000323929	9606.ENSP00000360317	0	0	0	0	0.074	0.078	0	0.429	0.471
A2M	AGT	9606.ENSP00000323929	9606.ENSP00000355627	0	0	0	0	0.207	0	0	0.360	0.471
A2M	PTGDS	9606.ENSP00000323929	9606.ENSP00000360687	0	0	0	0	0.147	0	0	0.505	0.560
A2M	FURIN	9606.ENSP00000323929	9606.ENSP00000483552	0	0	0	0	0.049	0	0	0.563	0.566
A2M	VLDLR	9606.ENSP00000323929	9606.ENSP00000371532	0	0.011	0	0	0.062	0.071	0	0.585	0.607
A2M	APOC1	9606.ENSP00000323929	9606.ENSP00000465356	0	0	0	0	0.266	0	0	0.507	0.622
A2M	APOC2	9606.ENSP00000323929	9606.ENSP00000466775	0	0	0	0	0.178	0	0	0.561	0.623
A2M	APOA4	9606.ENSP00000323929	9606.ENSP00000350425	0	0	0	0	0.075	0	0	0.631	0.644
A2M	APOA2	9606.ENSP00000323929	9606.ENSP00000356969	0	0	0	0	0.164	0.071	0	0.730	0.772
AACS	CYP51A1	9606.ENSP00000324842	9606.ENSP00000003100	0	0	0	0	0.239	0	0.170	0.264	0.495
AACS	OXCT1	9606.ENSP00000324842	9606.ENSP00000196371	0.058	0	0	0	0.126	0	0.900	0.557	0.958
AACS	MVK	9606.ENSP00000324842	9606.ENSP00000228510	0	0	0	0	0.148	0	0	0.473	0.532
AACS	EHHADH	9606.ENSP00000324842	9606.ENSP00000231887	0.045	0	0	0	0.201	0	0.915	0.255	0.945
AACS	ACADL	9606.ENSP00000324842	9606.ENSP00000233710	0.044	0	0	0	0.189	0	0.187	0.205	0.432
AACS	SLC27A1	9606.ENSP00000324842	9606.ENSP00000252595	0.051	0	0	0	0.315	0	0.187	0.227	0.537
AACS	ACAT1	9606.ENSP00000324842	9606.ENSP00000265838	0.055	0	0	0	0.245	0	0.918	0.431	0.962
AACS	SQLE	9606.ENSP00000324842	9606.ENSP00000265896	0.044	0	0	0	0.230	0	0.242	0.387	0.612
AACS	TM7SF2	9606.ENSP00000324842	9606.ENSP00000279263	0	0	0	0	0.125	0	0	0.405	0.457
AACS	THRSP	9606.ENSP00000324842	9606.ENSP00000281030	0	0	0	0	0.093	0	0	0.441	0.472
AACS	ACAA2	9606.ENSP00000324842	9606.ENSP00000285093	0.055	0	0	0	0.245	0	0.217	0.306	0.561
AACS	HMGCR	9606.ENSP00000324842	9606.ENSP00000287936	0	0	0	0	0.208	0	0	0.523	0.606
AACS	ACOX1	9606.ENSP00000324842	9606.ENSP00000293217	0.044	0	0	0	0.195	0	0.187	0.281	0.490
AACS	BDH2	9606.ENSP00000324842	9606.ENSP00000296424	0.042	0	0	0	0.055	0	0.912	0.324	0.939
AACS	MVD	9606.ENSP00000324842	9606.ENSP00000301012	0	0	0	0	0.263	0.099	0	0.209	0.429
AACS	FASN	9606.ENSP00000324842	9606.ENSP00000304592	0	0	0	0	0.214	0.099	0	0.552	0.655
