Name,Degree
A2M,4
APOA1,41
APOE,47
ALB,23
APOA2,27
AACS,10
OXCT1,13
EHHADH,28
ACAT1,30
BDH2,6
HMGCS1,41
BDH1,7
HMGCLL1,16
HMGCS2,32
ACAT2,35
HMGCL,21
ABCA1,29
CETP,29
APOC3,30
APOB,45
SCARB1,37
SPTLC1,21
LCAT,35
NPC1,10
PPARG,51
HMGCR,51
NPC1L1,14
LIPC,42
CYP7A1,48
LPA,22
LIPA,14
SREBF1,65
MYLIP,9
SREBF2,48
NR1H4,24
ZDHHC8,1
PLTP,23
CD36,30
PPARA,77
RXRA,32
NR1H3,24
NR1H2,17
ABCB11,12
SLC10A1,11
SLC10A2,8
SLCO1B1,7
CYP27A1,20
BAAT,9
SLCO1B3,3
SLC27A5,8
SLCO1A2,8
CYP8B1,13
FABP6,8
ABCB4,5
ABCC3,5
ABCD1,9
ACSL1,39
ACSL4,22
AGPS,7
ACSL6,18
ACSL3,22
SLC25A17,1
ACBD5,4
ACSBG1,14
SLC27A2,8
ABCG1,16
ABCG5,16
ABCG8,11
CYP7B1,16
MTTP,14
ABHD4,3
FAAH,5
GDE1,1
MGLL,30
ABHD5,11
PNPLA5,1
PNPLA3,28
PLIN3,4
LIPE,35
PLIN2,10
PLIN1,16
PNPLA2,38
G0S2,2
PNPLA4,3
ALOX12B,23
ACAA1,36
TECR,21
ACADL,19
ACADS,22
PHYH,5
PECR,4
ACAA2,29
ACOX1,54
ACOX2,14
HADHB,31
ACSL5,20
CPT2,17
ACADM,22
GNPAT,23
ACSS3,11
ACLY,21
PCCA,16
HADH,19
PCCB,22
ECHS1,21
ACADVL,17
SCP2,33
ACOX3,29
HADHA,23
HSD17B4,30
MVK,25
CPT1A,32
MVD,23
ACACA,30
DGAT2,27
ALOX12,24
PRKAB2,10
MLYCD,12
GPAM,27
THRSP,5
PRKAG2,10
MCAT,12
ACOT12,9
FASN,56
ACACB,24
SCD,29
PRKAA2,11
ELOVL6,17
