node1,node2,combined_score
CCNC,MED31,0.987
CCNC,MED28,0.999
CCNC,MED17,0.996
CCNC,MED10,0.99
CCNC,MED4,0.986
CCNC,MED15,0.987
CCNC,MED26,0.976
CCNC,MED1,0.999
CCNC,MED14,0.997
MED1,MED31,0.996
MED1,MED28,0.999
MED1,MED17,0.999
MED1,MED10,0.997
MED1,MED4,0.999
MED1,MED15,0.999
MED1,MED26,0.999
MED1,MED14,0.999
MED10,MED31,0.999
MED10,MED28,0.999
MED10,MED17,0.999
MED10,MED4,0.999
MED10,MED15,0.999
MED10,MED14,0.999
MED10,MED26,0.999
MED14,MED31,0.999
MED14,MED28,0.999
MED14,MED17,0.999
MED14,MED4,0.999
MED14,MED15,0.999
MED14,MED26,0.999
MED15,MED31,0.997
MED15,MED28,0.999
MED15,MED17,0.999
MED15,MED4,0.998
MED15,MED26,0.997
MED17,MED31,0.999
MED17,MED28,0.999
MED17,MED4,0.999
MED17,MED26,0.999
MED26,MED31,0.999
MED26,MED28,0.999
MED26,MED4,0.999
MED28,MED31,0.999
MED28,MED4,0.999
MED31,MED4,0.999
