node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ADA,NT5C1A,9606.ENSP00000361965,9606.ENSP00000235628,0,0,0,0,0.045,0,0.9,0.222,0.919
ADA,GDA,9606.ENSP00000361965,9606.ENSP00000238018,0.073,0,0,0,0.092,0.052,0,0.709,0.737
ADA,NT5C,9606.ENSP00000361965,9606.ENSP00000245552,0,0,0,0,0.049,0,0.932,0.219,0.945
ADA,NT5E,9606.ENSP00000361965,9606.ENSP00000257770,0.081,0,0,0,0.072,0,0.942,0.715,0.984
ADA,DCK,9606.ENSP00000361965,9606.ENSP00000286648,0,0,0,0,0.044,0,0.9,0.522,0.95
ADA,HPRT1,9606.ENSP00000361965,9606.ENSP00000298556,0,0,0,0,0.067,0,0.352,0.554,0.706
ADA,NT5C2,9606.ENSP00000361965,9606.ENSP00000339479,0,0,0,0,0.042,0,0.909,0.337,0.937
ADA,NT5C1B,9606.ENSP00000361965,9606.ENSP00000352904,0,0,0,0,0.045,0,0.9,0.129,0.909
ADA,PNP,9606.ENSP00000361965,9606.ENSP00000354532,0.079,0,0,0,0.105,0,0.932,0.98,0.998
ADA,ENTPD1,9606.ENSP00000361965,9606.ENSP00000360250,0,0,0,0,0.055,0,0,0.703,0.708
ADA,GMPS,9606.ENSP00000361965,9606.ENSP00000419851,0.1,0,0,0,0.418,0,0,0.508,0.72
ADA,XDH,9606.ENSP00000361965,9606.ENSP00000368727,0.077,0,0,0,0,0,0,0.752,0.761
ADA,ITPA,9606.ENSP00000361965,9606.ENSP00000369456,0.057,0,0,0,0.062,0,0,0.777,0.785
ADA,AMPD1,9606.ENSP00000361965,9606.ENSP00000430075,0,0,0,0,0.074,0.079,0,0.894,0.902
ADA,AMPD2,9606.ENSP00000361965,9606.ENSP00000499465,0,0,0,0,0.081,0.079,0,0.9,0.908
ADA,AMPD3,9606.ENSP00000361965,9606.ENSP00000379802,0,0,0,0,0.074,0.079,0,0.91,0.916
ADA,APRT,9606.ENSP00000361965,9606.ENSP00000367615,0,0,0,0,0.219,0.493,0.449,0.714,0.929
ADA,NT5M,9606.ENSP00000361965,9606.ENSP00000373674,0,0,0,0,0.044,0,0.932,0.201,0.943
ADA,ADK,9606.ENSP00000361965,9606.ENSP00000443965,0,0,0,0,0.059,0.25,0.925,0.875,0.992
ADAL,APRT,9606.ENSP00000456242,9606.ENSP00000367615,0,0,0,0,0.14,0.291,0.449,0.305,0.735
ADK,AK1,9606.ENSP00000443965,9606.ENSP00000223836,0.057,0,0,0,0.094,0.061,0.9,0.657,0.967
ADK,NT5C1A,9606.ENSP00000443965,9606.ENSP00000235628,0,0,0,0,0.051,0.046,0.9,0.291,0.927
ADK,NT5C,9606.ENSP00000443965,9606.ENSP00000245552,0,0,0,0,0.07,0,0.9,0.24,0.923
