node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADA	DHODH	9606.ENSP00000361965	9606.ENSP00000219240	0	0	0	0	0.104	0	0	0.386	0.427
ADA	AK1	9606.ENSP00000361965	9606.ENSP00000223836	0	0	0	0	0.055	0	0	0.391	0.400
ADA	NT5C1A	9606.ENSP00000361965	9606.ENSP00000235628	0	0	0	0	0.045	0	0.900	0.222	0.919
ADA	ATIC	9606.ENSP00000361965	9606.ENSP00000236959	0	0	0	0	0.087	0.067	0	0.510	0.546
ADA	GDA	9606.ENSP00000361965	9606.ENSP00000238018	0.073	0	0	0	0.092	0.052	0	0.709	0.737
ADA	NT5C	9606.ENSP00000361965	9606.ENSP00000245552	0	0	0	0	0.049	0	0.932	0.219	0.945
ADA	NT5E	9606.ENSP00000361965	9606.ENSP00000257770	0.081	0	0	0	0.072	0	0.942	0.715	0.984
ADA	GMPR	9606.ENSP00000361965	9606.ENSP00000259727	0.057	0	0	0	0.081	0.091	0.171	0.266	0.433
ADA	PPAT	9606.ENSP00000361965	9606.ENSP00000264220	0	0	0	0	0.082	0.126	0	0.413	0.488
ADA	DCK	9606.ENSP00000361965	9606.ENSP00000286648	0	0	0	0	0.044	0	0.900	0.522	0.950
ADA	HPRT1	9606.ENSP00000361965	9606.ENSP00000298556	0	0	0	0	0.067	0	0.352	0.554	0.706
ADA	ENTPD3	9606.ENSP00000361965	9606.ENSP00000301825	0	0	0	0	0	0	0	0.492	0.492
ADA	DTYMK	9606.ENSP00000361965	9606.ENSP00000304802	0.048	0	0	0	0.109	0	0	0.374	0.422
ADA	TYMS	9606.ENSP00000361965	9606.ENSP00000315644	0.099	0	0	0	0.218	0	0	0.351	0.503
ADA	IMPDH2	9606.ENSP00000361965	9606.ENSP00000321584	0.057	0	0	0	0.122	0.091	0.171	0.533	0.656
ADA	UPP1	9606.ENSP00000361965	9606.ENSP00000330032	0.055	0	0	0	0.050	0	0.352	0.253	0.507
ADA	ADSS1	9606.ENSP00000361965	9606.ENSP00000333019	0.057	0	0	0	0.129	0	0	0.408	0.472
ADA	NT5C2	9606.ENSP00000361965	9606.ENSP00000339479	0	0	0	0	0.042	0	0.909	0.337	0.937
ADA	IMPDH1	9606.ENSP00000361965	9606.ENSP00000345096	0.057	0	0	0	0.109	0.091	0.171	0.458	0.594
ADA	ENTPD2	9606.ENSP00000361965	9606.ENSP00000347213	0	0	0	0	0	0	0	0.415	0.415
ADA	NT5C1B	9606.ENSP00000361965	9606.ENSP00000352904	0	0	0	0	0.045	0	0.900	0.129	0.909
ADA	PNP	9606.ENSP00000361965	9606.ENSP00000354532	0.079	0	0	0	0.105	0	0.932	0.980	0.998
ADA	ADSS2	9606.ENSP00000361965	9606.ENSP00000355493	0.057	0	0	0	0.111	0	0	0.438	0.489
ADA	ENTPD1	9606.ENSP00000361965	9606.ENSP00000360250	0	0	0	0	0.055	0	0	0.703	0.708
ADA	ENTPD8	9606.ENSP00000361965	9606.ENSP00000360561	0	0	0	0	0	0	0	0.593	0.593
ADA	UPP2	9606.ENSP00000361965	9606.ENSP00000474090	0.055	0	0	0	0	0	0.352	0.232	0.488
ADA	GART	9606.ENSP00000361965	9606.ENSP00000371253	0	0	0	0	0.105	0	0	0.472	0.507
ADA	AK2	9606.ENSP00000361965	9606.ENSP00000499935	0	0	0	0	0.087	0	0	0.572	0.593
ADA	ADSL	9606.ENSP00000361965	9606.ENSP00000485525	0	0	0	0	0.106	0	0	0.643	0.667
ADA	CDA	9606.ENSP00000361965	9606.ENSP00000364212	0.102	0	0	0	0	0	0	0.669	0.690
ADA	GMPS	9606.ENSP00000361965	9606.ENSP00000419851	0.100	0	0	0	0.418	0	0	0.508	0.720
ADA	XDH	9606.ENSP00000361965	9606.ENSP00000368727	0.077	0	0	0	0	0	0	0.752	0.761
ADA	ITPA	9606.ENSP00000361965	9606.ENSP00000369456	0.057	0	0	0	0.062	0	0	0.777	0.785
ADA	AMPD1	9606.ENSP00000361965	9606.ENSP00000430075	0	0	0	0	0.074	0.079	0	0.894	0.902
ADA	AMPD2	9606.ENSP00000361965	9606.ENSP00000499465	0	0	0	0	0.081	0.079	0	0.900	0.908
ADA	AMPD3	9606.ENSP00000361965	9606.ENSP00000379802	0	0	0	0	0.074	0.079	0	0.910	0.916
ADA	APRT	9606.ENSP00000361965	9606.ENSP00000367615	0	0	0	0	0.219	0.493	0.449	0.714	0.929
ADA	NT5M	9606.ENSP00000361965	9606.ENSP00000373674	0	0	0	0	0.044	0	0.932	0.201	0.943
