Name,Degree
ADA,19
NT5C1A,42
GDA,8
NT5C,42
NT5E,50
DCK,29
HPRT1,34
NT5C2,38
NT5C1B,42
PNP,26
ENTPD1,40
GMPS,37
XDH,5
ITPA,37
AMPD1,33
AMPD2,34
AMPD3,34
APRT,41
NT5M,42
ADK,21
ADAL,1
AK1,23
AK7,16
ENTPD3,41
AK5,19
ENTPD8,41
AK2,22
ADSL,33
UMPS,32
ATIC,33
GMPR,28
PPAT,16
PFAS,5
IMPDH2,31
ADSS1,30
IMPDH1,27
ADSS2,31
GART,17
PAICS,10
CAD,9
NUDT16,23
ENTPD6,25
ENTPD4,27
ENTPD5,31
AGXT2,1
UPB1,3
NME4,22
RRM2,25
NME1,18
RRM2B,25
NME2,18
RRM1,29
ENTPD2,13
DTYMK,27
GUK1,22
UPP1,19
UPP2,18
TYMP,22
GMPR2,3
TYMS,30
DHODH,13
DPYS,5
DPYD,14
CDA,19
TK2,20
DCTD,16
UCK2,15
UCK1,12
TK1,13
CMPK1,9
DGUOK,16
CTPS2,10
NUDT15,11
DCTPP1,14
DUT,17
GLRX,7
GSR,3
TXN,6
TXNRD1,2
NUDT13,1
NUDT1,3
NUDT18,3
NUDT5,4
NUDT9,1
