node1,node2,combined_score
ADSS1,ATIC,0.996
ADSS1,NT5E,0.931
ADSS1,GMPR,0.961
ADSS1,HPRT1,0.958
ADSS1,IMPDH2,0.975
ADSS1,ADSS2,0.949
ADSS1,AMPD2,0.954
ADSS1,ITPA,0.955
ADSS1,AMPD3,0.957
ADSS2,ATIC,0.997
ADSS2,NT5E,0.933
ADSS2,GMPR,0.971
ADSS2,HPRT1,0.963
ADSS2,IMPDH2,0.988
ADSS2,ITPA,0.963
ADSS2,AMPD2,0.992
ADSS2,AMPD3,0.993
AMPD2,ATIC,0.951
AMPD2,NT5E,0.885
AMPD2,GMPR,0.956
AMPD2,HPRT1,0.964
AMPD2,IMPDH2,0.966
AMPD2,ITPA,0.934
AMPD2,AMPD3,0.921
AMPD3,ATIC,0.947
AMPD3,NT5E,0.882
AMPD3,GMPR,0.958
AMPD3,HPRT1,0.963
AMPD3,IMPDH2,0.966
AMPD3,ITPA,0.934
ATIC,NT5E,0.937
ATIC,HPRT1,0.958
ATIC,ITPA,0.974
ATIC,GMPR,0.975
ATIC,IMPDH2,0.991
GMPR,NT5E,0.957
GMPR,IMPDH2,0.93
GMPR,ITPA,0.934
GMPR,HPRT1,0.943
HPRT1,NT5E,0.932
HPRT1,ITPA,0.942
HPRT1,IMPDH2,0.967
IMPDH2,NT5E,0.954
IMPDH2,ITPA,0.971
ITPA,NT5E,0.916
