,x
1,SLC3A2
2,GOT1
3,GOT2
4,ACAD8
5,ACADSB
6,NDUFAB1
7,ASPA
8,AGXT2
9,GPT
10,ARG2
11,ARG1
12,ASL
13,ASNS
14,ASS1
15,SAT1
16,TAT
17,BCAT2
18,BCAT1
19,BCKDK
20,BHMT
21,BBOX1
22,CBS
23,CNDP2
24,CTH
25,CPS1
26,CRYM
27,CSAD
28,CDO1
29,HIBADH
30,ALDH7A1
31,AMD1
32,HDC
33,ODC1
34,DDC
35,ALDH9A1
36,GLUD1
37,GLUD2
38,QDPR
39,SLC25A10
40,DLD
41,DBH
42,SHFM1
43,FAH
44,IL4I1
45,FOLH1
46,FTCD
47,GAMT
48,GATM
49,GCDH
50,GCSH
51,GLDC
52,AMT
53,CGA
54,GNMT
55,GLUL
56,GLS
57,GLS2
58,SHMT1
59,GCLM
60,GCLC
61,HAO1
62,HSD17B10
63,HGD
64,HNMT
65,HPD
66,HAL
67,UROC1
68,IDO1
69,INMT
70,DIO3
71,IVD
72,GCAT
73,CKB
74,CKM
75,CKMT2
76,CKMT1A
77,KYNU
78,SLC7A5
79,LIAS
80,LIPT1
81,GSTZ1
82,SLC45A2
83,AIMP1
84,AIMP2
85,EEF1E1
86,MCCC1
87,MCCC2
88,MTR
89,MAT1A
90,ALDH6A1
91,MTAP
92,MTRR
93,NAALAD2
94,NNMT
95,NQO1
96,OAT
97,OAZ2
98,OAZ3
99,OAZ1
100,DBT
101,BCKDHA
102,BCKDHB
103,AZIN1
104,SLC25A21
105,OGDH
106,DLST
107,DLAT
108,PDHA1
109,PDHB
110,PDHX
111,SLC25A15
112,SLC25A2
113,OTC
114,DAO
115,DDO
116,PAH
117,PCBD1
118,PNMT
119,PAPSS1
120,PYCR1
121,PRODH
122,PSMC5
123,PSMA8
124,ALDH4A1
125,OCA2
126,RPS4Y2
127,SLC6A7
128,SLC6A8
129,SLC6A11
130,SLC6A12
131,AHCY
132,SECISBP2
133,EEFSEC
134,PHGDH
135,PSPH
136,PSAT1
137,SLC5A5
138,AANAT
139,PIPOX
140,AGMAT
141,SRM
142,SMS
143,AGXT
144,SQRDL
145,SUOX
146,DARS
147,EPRS
148,IARS
149,KARS
150,MARS
151,QARS
152,RARS
153,SARS
154,TDO2
155,SERINC3
156,SERINC1
157,ACAT1
158,TST
159,TMLHE
160,TXNRD1
161,TSHB
162,TYRP1
163,DCT
164,TYR
165,PSMD14
166,NAGS
167,HIBCH
168,AASS
169,AADAT
170,KMO
171,ACMSD
172,RPS10
173,RPS11
174,RPS12
175,RPS13
176,RPS14
177,RPS15
178,RPS16
179,RPS17
180,RPS18
181,RPS19
182,RPS15A
183,RPS2
184,RPS20
185,RPS21
186,RPS23
187,RPS24
188,RPS25
189,RPS26
190,RPS27
191,RPS27A
192,RPS28
193,RPS29
194,RPS3
195,FAU
196,RPS3A
197,RPS4X
198,RPS4Y1
199,RPS5
200,RPS6
201,RPS7
202,RPS8
203,RPS9
204,RPSA
205,RPLP0
206,RPLP1
207,RPLP2
208,RPL10
209,RPL10A
210,RPL11
211,RPL12
212,RPL13
213,RPL13A
214,RPL14
215,RPL15
216,RPL17
217,RPL18
218,RPL18A
219,RPL19
220,RPL21
221,RPL22
222,RPL23
223,RPL23A
224,RPL24
225,RPL26
226,RPL26L1
227,RPL27
228,RPL27A
229,RPL28
230,RPL29
231,RPL3
232,RPL3L
233,RPL30
234,RPL31
235,RPL32
236,RPL34
237,RPL35
238,RPL35A
239,RPL36
240,RPL37
241,RPL37A
242,RPL38
243,RPL39
244,RPL4
245,UBA52
246,RPL41
247,RPL36A
248,RPL5
249,RPL6
250,RPL7
251,RPL7A
252,RPL8
253,RPL9
254,AUH
255,PSMC1
256,PSMC4
257,PSMC2
258,PSMC3
259,PSMC6
260,PSMA1
261,PSMA2
262,PSMA3
263,PSMA4
264,PSMA5
265,PSMA6
266,PSMA7
267,PSMB1
268,PSMB2
269,PSMB3
270,PSMB4
271,PSMB5
272,PSMB6
273,PSMB7
274,PSMB8
275,PSMB9
276,PSMB10
277,PSMD1
278,PSMD2
279,PSMD3
280,PSMD4
281,PSMD5
282,PSMD6
283,PSMD7
284,PSMD8
285,PSMD9
286,PSMD10
287,PSMD11
288,PSMD12
289,PSMD13
290,PSME1
291,PSME2
292,PSME3
293,PSMF1
294,RPL39L
295,SERINC2
296,TPH2
297,PAOX
298,ADO
299,GRHPR
300,CCBL1
301,ALDH18A1
302,RPS27L
303,SMOX
304,LARS
305,AFMID
306,AMDHD1
307,APIP
308,ASRGL1
309,BHMT2
310,C9orf41
311,DHTKD1
312,DUOX1
313,DUOX2
314,MRI1
315,ENOPH1
316,ETHE1
317,GADL1
318,GSR
319,IDO2
320,CCBL2
321,ASPG
322,ADI1
323,NMRAL1
324,PYCR2
325,PYCRL
326,PPM1K
327,PSMB11
328,PSME4
329,PSTK
330,RPL10L
331,RPL22L1
332,RPL36AL
333,SCLY
334,SEPSECS
335,CARNS1
336,LIPT2
337,SERINC4
338,SERINC5
339,PAPSS2
340,TH
341,TPO
342,TPH1
343,ASMT
344,DIO1
345,IYD
346,GPT2
347,DIO2
348,ADC
349,HSD3B1
350,HSD3B2
351,AP2A1
352,AP2A2
353,AP2B1
354,AP2M1
355,A2M
356,AP2S1
357,PRKAA2
358,PRKAB2
359,PRKAG2
360,ABCB11
361,ABCA1
362,ABCG5
363,ABCG8
364,DBI
365,ACADL
366,ACADM
367,ACADS
368,ACADVL
369,ACHE
370,ACLY
371,SCD
372,AGPS
373,PLIN2
374,FDXR
375,FDX1
376,GLA
377,AHR
378,AKR1C1
379,AKR1C2
380,AKR1C3
381,AKR1C4
382,AKR1D1
383,ALB
384,AKR1B1
385,ABCD1
386,AMACR
387,AGT
388,ANGPTL3
389,ANGPTL4
390,APOA1
391,APOA2
392,APOA4
393,APOB
394,APOC1
395,APOC2
396,APOC3
397,APOC4
398,APOE
399,APOF
400,ACER3
401,LPA
402,ARF1
403,ARF3
404,ARNT2
405,ARNT
406,ARSA
407,ARSB
408,ARSD
409,ARSE
410,ARSF
411,ASAH1
412,SMPD1
413,ACOT7
414,CEL
415,BDH1
416,GLB1
417,BMX
418,CYP11A1
419,CYP39A1
420,ACOT12
421,CRAT
422,B4GALNT1
423,ACOX1
424,ACOX2
425,ACOX3
426,CAV1
427,NFYB
428,CREBBP
429,CD36
430,CDS1
431,CDS2
432,UGCG
433,CETP
434,ACOT9
435,CCNC
436,UGT8
437,BCHE
438,CIDEA
439,CLOCK
440,CPNE1
441,CPNE3
442,CPNE6
443,CPNE7
444,ACACB
445,POMC
446,CLPS
447,COQ3
448,COQ6
449,COQ7
450,CYP1A1
451,CYP1A2
452,CYP1B1
453,CYP27A1
454,CYP46A1
455,CYP4B1
456,CYP4A11
457,CYP51A1
458,CYP7A1
459,CYP7B1
460,CYP8B1
461,CYP2C8
462,CYP2C9
463,CYP2C19
464,CYP4F2
465,CYP4F3
466,CYP4F11
467,CYP2J2
468,CYP11B1
469,CYP11B2
470,CYP21A2
471,CPT1A
472,CPT2
473,CYP17A1
474,CPT1B
475,CYP19A1
476,MED17
477,MED7
478,SPTLC3
479,FITM2
480,CTGF
481,PCYT1A
482,PCYT1B
483,MID1IP1
484,DAB1
485,GNPAT
486,MLYCD
487,DECR1
488,DGAT1
489,ALDH3B1
490,ALDH3B2
491,HSD17B1
492,HSD17B2
493,HSD17B3
494,HSD17B4
495,HSD17B8
496,DHCR7
497,CBR1
498,DHCR24
499,HSD11B1
500,HSD11B2
501,EBP
502,HADHA
503,HADHB
504,ECHS1
505,EHHADH
506,ETNK1
507,ETNK2
508,ELOVL1
509,ELOVL2
510,ELOVL3
511,ELOVL4
512,MVD
513,TM7SF2
514,SQLE
515,LSS
516,ESRRA
517,FAAH
518,FABP4
519,FABP7
520,FABP5
521,FABP3
522,FABP2
523,FABP1
524,FASN
525,FDFT1
526,FGF21
527,ALOX5AP
528,FDPS
529,CIDEC
530,FURIN
531,KDSR
532,FYN
533,PIKFYVE
534,G0S2
535,GALC
536,GGPS1
537,GGT1
538,GGT5
539,GK2
540,GBA
541,GLIPR1
542,GK
543,GLTP
544,GPD1
545,GPD2
546,PNPLA4
547,GPX1
548,GPX2
549,GPX4
550,TECR
551,HAO2
552,HADH
553,ALAS1
554,HEXA
555,HEXB
556,HMGCS2
557,HMGCS1
558,HACL1
559,HRASLS5
560,HRASLS
561,HRASLS2
562,PLA2G16
563,EPHX2
564,IDH1
565,IDI1
566,IDI2
567,FABP6
568,KPNB1
569,INSIG1
570,PRKACA
571,PRKACB
572,PRKACG
573,CSNK1G2
574,CSNK2A2
575,CSNK2B
576,GPCPD1
577,CHKB
578,CHKA
579,MVK
580,PRKD1
581,PRKD3
582,PRKD2
583,PTGR1
584,LTC4S
585,LCAT
586,SPTLC1
587,SPTLC2
588,ACSL1
589,ACSL3
590,ACSL4
591,ACSL5
592,ACSL6
593,LDLR
594,VLDLR
595,LIPA
596,PNLIPRP1
597,LIPG
598,LIPF
599,LIPC
600,LPL
601,PNLIP
602,LIPE
603,LTA4H
604,ALOX15
605,ALOX5
606,ALOX12
607,ALOX12B
608,LPIN1
609,LPIN2
610,LPIN3
611,LHB
612,ALOX15B
613,DMGDH
614,ME1
615,SLC25A20
616,DPEP1
617,ABCB4
618,MED6
619,STARD3NL
620,MAPKAPK2
621,STARD3
622,ABCC1
623,ABCC3
624,MBTPS1
625,MBTPS2
626,MTM1
627,MTTP
628,MTMR1
629,MTMR2
630,MTMR3
631,MTMR6
632,MTMR7
633,MUT
634,NCOA2
635,NEU1
636,NEU2
637,NEU3
638,TRIB3
639,SCP2
640,NPAS2
641,NPC1
642,NPC2
643,NR1D1
644,NRF1
645,NR1H2
646,NSDHL
647,SMPD2
648,SLC10A2
649,SLC10A1
650,CROT
651,OSBPL1A
652,OSBPL2
653,OSBPL3
654,OSBPL5
655,OSBPL6
656,OSBPL7
657,OSBPL8
658,OSBPL9
659,OSBPL10
660,OSBP
661,PIK3CA
662,PIK3CB
663,PIK3CD
664,PIK3CG
665,EP300
666,PIK3R3
667,PIK3R1
668,PIK3R2
669,PLA2G1B
670,PLA2G3
671,PLA2G4A
672,PLA2G5
673,PLA2G6
674,PLA2G2A
675,PLA2G2D
676,PLA2G2E
677,PLA2G2F
678,PLA2G10
679,PLA2G12A
680,PHYH
681,PCCA
682,PCCB
683,PCSK5
684,STARD10
685,PCYT2
686,P4HB
687,PEMT
688,HPGDS
689,HPGD
690,PTGS1
691,PTGS2
692,PTGDS
693,PI4KA
694,PIP4K2A
695,CDIPT
696,PIK3C2B
697,PIK3C2G
698,AGPAT1
699,AGPAT2
700,AGPAT3
701,AGPAT4
702,AGPAT5
703,PLD2
704,PLIN1
705,GPAM
706,PLTP
707,SLC25A17
708,PMVK
709,ACOT13
710,PON1
711,PON2
712,PON3
713,PPP1CA
714,PPP1CB
715,PPP1CC
716,PPARA
717,PPARD
718,ALPI
719,PCTP
720,PITPNB
721,PPT1
722,PPT2
723,CTSA
724,PTDSS1
725,ACOT8
726,ACOT2
727,PTEN
728,PTGES
729,PTGIS
730,PTPN13
731,RAB14
732,RAB5A
733,RELN
734,RGL1
735,RORA
736,RXRA
737,SLCO1A2
738,SLCO1B1
739,SLCO1B3
740,SEC23A
741,SEC24A
742,SEC24B
743,SEC24C
744,SEC24D
745,SRD5A1
746,GM2A
747,PSAP
748,SAR1B
749,SCAP
750,OXCT1
751,FHL2
752,SOAT1
753,SOAT2
754,SP1
755,SPHK1
756,SPHK2
757,MED21
758,SREBF2
759,STAR
760,STARD4
761,STARD5
762,STARD6
763,STARD7
764,STS
765,SULT2A1
766,MED22
767,SYNJ1
768,SYNJ2
769,MED24
770,THRAP3
771,MED12
772,MED13
773,TBL1XR1
774,TBL1X
775,TEAD1
776,TEAD2
777,TEAD3
778,TEAD4
779,PTGES3
780,TAZ
781,TBXAS1
782,ACOT11
783,THRSP
784,ACAA1
785,ACAA2
786,PLIN3
787,RARRES3
788,TPTE
789,TNFRSF21
790,SLC25A1
791,VAPA
792,VAPB
793,HDLBP
794,SLC27A2
795,LPGAT1
796,FIG4
797,YAP1
798,ZDHHC8
799,CDK8
800,RAN
801,RAB4A
802,PLD1
803,LBR
804,MCEE
805,HMGCL
806,PNPLA3
807,AMN
808,CERK
809,TMEM55B
810,CRLS1
811,DDHD1
812,MMAA
813,PI4KB
814,INPP5J
815,PCSK9
816,EPT1
817,SGPL1
818,SH3KBP1
819,INPP5K
820,SIN3A
821,SIN3B
822,MED31
823,SGPP1
824,SGPP2
825,SCARB1
826,SUMF1
827,SUMF2
828,MED20
829,HSD3B7
830,B3GALNT1
831,ARNTL
832,BMP1
833,COL4A3BP
834,CHDH
835,ACOT1
836,ALDH3A2
837,MCAT
838,HMGCR
839,INPP5E
840,MGLL
841,MYLIP
842,PLA2G4C
843,PIP4K2B
844,PLEKHA1
845,PLEKHA2
846,PLEKHA3
847,PLEKHA4
848,PLEKHA5
849,PLEKHA6
850,PPARGC1A
851,PTDSS2
852,ACOT4
853,RUFY1
854,SARDH
855,OLAH
856,SGMS1
857,SGMS2
858,SREBF1
859,ACAT2
860,BAAT
861,THEM4
862,LDLRAP1
863,APOA5
864,PIK3C3
865,PIK3R4
866,CH25H
867,SLC27A5
868,TGS1
869,CSNK2A1
870,CYP4F22
871,MED25
872,MED14
873,MED30
874,MED4
875,AACS
876,ABHD3
877,ABHD4
878,ABHD5
879,ACBD4
880,ACBD5
881,ACBD6
882,ACBD7
883,ACSBG1
884,ACSBG2
885,ACAD10
886,ACAD11
887,ACOT6
888,ACOXL
889,ACSF2
890,ACSF3
891,ACSM3
892,ACSS3
893,NCEH1
894,AGK
895,ANKRD1
896,ARSG
897,ARSH
898,ARSI
899,ARSJ
900,ARSK
901,ARV1
902,ACER2
903,ASAH2
904,ACER1
905,AWAT1
906,AWAT2
907,BDH2
908,CARM1
909,CBR4
910,CDK19
911,CEPT1
912,CHD9
913,CHPT1
914,COQ2
915,COQ5
916,COQ9
917,CREB3L3
918,SLC44A1
919,SLC44A2
920,SLC44A3
921,SLC44A4
922,SLC44A5
923,CUBN
924,DDHD2
925,DECR2
926,DEGS1
927,DEGS2
928,DGAT2L6
929,DGAT2
930,HSD17B11
931,HSD17B12
932,HSD17B13
933,HSD17B14
934,PDSS2
935,DPEP2
936,DPEP3
937,PDSS1
938,ELOVL5
939,ELOVL6
940,ELOVL7
941,ENPP6
942,ENPP7
943,CES3
944,ESYT1
945,ESYT2
946,ESYT3
947,FAAH2
948,FABP9
949,FAR1
950,FAR2
951,FADS1
952,FADS2
953,GBA2
954,GDE1
955,GDPD1
956,GDPD3
957,GDPD5
958,GLB1L
959,GLTPD1
960,GPD1L
961,GRHL1
962,GPIHBP1
963,INPP4A
964,INPP4B
965,INSIG2
966,LIPH
967,LIPI
968,LIPJ
969,LIPK
970,LIPM
971,LIPN
972,PNLIPRP3
973,LMF1
974,LMF2
975,LSR
976,LCLAT1
977,MBOAT1
978,MBOAT2
979,LPCAT3
980,MBOAT7
981,MED13L
982,MED10
983,MED11
984,MED18
985,MED19
986,MED28
987,MED29
988,MED9
989,MFSD2A
990,MOGAT1
991,MOGAT2
992,MOGAT3
993,MTF1
994,MTMR4
995,MTMR14
996,NPC1L1
997,SMPD3
998,SMPD4
999,NUDT19
1000,NUDT7
1001,ORMDL1
1002,ORMDL2
1003,ORMDL3
1004,PIK3C2A
1005,PI4K2A
1006,PI4K2B
1007,PLA2G4D
1008,PLA2G4E
1009,PLA2G4F
1010,LPCAT1
1011,LPCAT2
1012,PECR
1013,PTGES2
