,x
1,ASNS
2,SHFM1
3,AMT
4,CKMT1A
5,OAZ3
6,BCKDHA
7,SLC25A21
8,SLC25A2
9,SLC6A7
10,AANAT
11,SQRDL
12,DARS
13,EPRS
14,IARS
15,KARS
16,MARS
17,QARS
18,RARS
19,SARS
20,TSHB
21,DCT
22,TYR
23,RPS10
24,RPS17
25,RPL3L
26,RPL36A
27,PSMA2
28,PSMD9
29,TPH2
30,CCBL1
31,LARS
32,C9orf41
33,GADL1
34,CCBL2
35,PYCRL
36,PSMB11
37,SCLY
38,SERINC4
39,TPO
40,ASMT
41,ADC
42,APOC4
43,ARSE
44,BMX
45,CYP46A1
46,CYP4B1
47,CYP11B1
48,CPT1B
49,MED17
50,CTGF
51,HSD17B3
52,FABP7
53,FABP2
54,GGT1
55,GK2
56,HRASLS5
57,HRASLS
58,HRASLS2
59,PLA2G16
60,IDI2
61,PRKACG
62,CHKB
63,PNLIPRP1
64,LIPF
65,ALOX12
66,ALOX12B
67,LHB
68,MTMR3
69,MUT
70,NEU2
71,SLC10A2
72,OSBPL7
73,OSBPL10
74,PIK3R2
75,PLA2G3
76,PLA2G2F
77,PLA2G10
78,STARD5
79,ACOT11
80,RARRES3
81,TPTE
82,FIG4
83,TMEM55B
84,INPP5J
85,EPT1
86,COL4A3BP
87,ACSBG1
88,ACSBG2
89,ACAD11
90,ACOT6
91,ACOXL
92,ARSG
93,ARSH
94,ACER1
95,AWAT1
96,AWAT2
97,DGAT2L6
98,DPEP2
99,FABP9
100,GLTPD1
101,LIPI
102,LIPJ
103,LIPK
104,LIPM
105,LIPN
106,PNLIPRP3
107,PLA2G4D
108,PLA2G4E
109,PLA2G4F
110,PHOSPHO1
111,PIK3R5
112,PIK3R6
113,PITPNM3
114,PLA2R1
115,PLB1
116,AGPAT6
117,AGPAT9
118,PPARGC1B
119,PTPLAD1
120,PTPLAD2
121,PTPMT1
122,TPTE2
123,PTGR2
124,CHAT
125,C10orf129
126,AHRR
127,FABP12
128,PTPLA
129,PTPLB
130,MED26
131,TIAM2
132,AMPD1
133,AK5
134,NME2
135,ADSL
136,ADSS
137,AK7
138,ADSSL1
139,NT5C1A
140,NT5C1B
