,x
1,A2M
2,AACS
3,AADAT
4,AASS
5,ABCA1
6,ABCB11
7,ABCB4
8,ABCC1
9,ABCC3
10,ABCD1
11,ABCG1
12,ABCG5
13,ABCG8
14,ABHD3
15,ABHD4
16,ABHD5
17,ACAA1
18,ACAA2
19,ACACA
20,ACACB
21,ACAD10
22,ACAD8
23,ACADL
24,ACADM
25,ACADSB
26,ACADS
27,ACADVL
28,ACAT1
29,ACAT2
30,ACBD4
31,ACBD5
32,ACBD6
33,ACBD7
34,ACER2
35,ACER3
36,ACHE
37,ACLY
38,ACMSD
39,ACOT12
40,ACOT13
41,ACOT1
42,ACOT2
43,ACOT4
44,ACOT7
45,ACOT8
46,ACOT9
47,ACOX1
48,ACOX2
49,ACOX3
50,ACP6
51,ACSF2
52,ACSF3
53,ACSL1
54,ACSL3
55,ACSL4
56,ACSL5
57,ACSL6
58,ACSM3
59,ACSS3
60,ADAL
61,ADA
62,ADI1
63,ADK
64,ADO
65,AFMID
66,AGK
67,AGMAT
68,AGPAT1
69,AGPAT2
70,AGPAT3
71,AGPAT4
72,AGPAT5
73,AGPS
74,AGT
75,AGXT2
76,AGXT
77,AHCY
78,AHR
79,AIMP1
80,AIMP2
81,AK1
82,AK2
83,AKR1B15
84,AKR1B1
85,AKR1C1
86,AKR1C2
87,AKR1C3
88,AKR1C4
89,AKR1D1
90,ALAS1
91,ALB
92,ALDH18A1
93,ALDH3A2
94,ALDH3B1
95,ALDH3B2
96,ALDH4A1
97,ALDH6A1
98,ALDH7A1
99,ALDH9A1
100,ALOX15B
101,ALOX15
102,ALOX5AP
103,ALOX5
104,ALPI
105,AMACR
106,AMD1
107,AMDHD1
108,AMN
109,AMPD2
110,AMPD3
111,ANGPTL3
112,ANGPTL4
113,ANKRD1
114,AP2A1
115,AP2A2
116,AP2B1
117,AP2M1
118,AP2S1
119,APIP
120,APOA1
121,APOA2
122,APOA4
123,APOA5
124,APOB
125,APOC1
126,APOC2
127,APOC3
128,APOE
129,APOF
130,APRT
131,ARF1
132,ARF3
133,ARG1
134,ARG2
135,ARNT2
136,ARNTL
137,ARNT
138,ARSA
139,ARSB
140,ARSD
141,ARSF
142,ARSI
143,ARSJ
144,ARSK
145,ARV1
146,ASAH1
147,ASAH2
148,ASL
149,ASPA
150,ASPG
151,ASRGL1
152,ASS1
153,ATIC
154,AUH
155,AZIN1
156,B3GALNT1
157,B4GALNT1
158,BAAT
159,BBOX1
160,BCAT1
161,BCAT2
162,BCHE
163,BCKDHB
164,BCKDK
165,BDH1
166,BDH2
167,BHMT2
168,BHMT
169,BMP1
170,CAD
171,CARM1
172,CARNS1
173,CAT
174,CAV1
175,CBR1
176,CBR4
177,CBS
178,CCNC
179,CD36
180,CDA
181,CDIPT
182,CDK19
183,CDK8
184,CDO1
185,CDS1
186,CDS2
187,CEL
188,CEPT1
189,CERK
190,CES3
191,CETP
192,CGA
193,CH25H
194,CHD9
195,CHDH
