,sample_subtypes,scores_aa_df$amino_acid,scores_lp_df$lipid,scores_nt_df$nucleotide
TCGA-FV-A3I0-01A-11R-A22L-07,1,0.213580142980253,0.146115654652338,0.0152487081413266
TCGA-BD-A3ER-01A-11R-A213-07,2,0.760029863769492,0.765005747271639,0.688364811029754
TCGA-CC-5261-01A-01R-A131-07,1,0.36172031222675,0.523110310599848,0.0219593713482809
TCGA-DD-AAVZ-01A-11R-A41C-07,2,0.806481840989424,0.765888955214746,0.552156735855786
TCGA-DD-AADN-01A-11R-A41C-07,1,0.755395634873815,0.452055281745445,0.796030069300018
TCGA-DD-A1EB-01A-11R-A131-07,2,0.667122233586848,0.823660522835723,0.656883512068794
TCGA-LG-A9QD-01A-11R-A38B-07,2,0.828170389391778,0.827793503788075,0.708408849250855
TCGA-G3-A25T-01A-11R-A16W-07,1,0.37681688334826,0.395584289882586,0.437364708775651
TCGA-XR-A8TE-01A-11R-A36F-07,1,0.571151965474865,0.601119225579217,0.154554501204644
TCGA-DD-AACA-01A-11R-A41C-07,2,0.689748224255299,0.674953273684408,0.355390907765625
TCGA-FV-A4ZQ-01A-11R-A266-07,1,0.680681752479011,0.61911200551338,0.702111514241095
TCGA-DD-AAD5-01A-11R-A41C-07,1,0.470101542625417,0.394846309198145,0.707601653467611
TCGA-K7-A5RF-01A-11R-A28V-07,2,0.873062410243306,0.82497877954797,0.471121071065293
TCGA-DD-AADA-01A-11R-A41C-07,1,0.636543915038989,0.515512818397972,0.0712887305696226
TCGA-MI-A75I-01A-11R-A32O-07,2,0.66983903022264,0.745901141349321,0.592218747527284
TCGA-DD-AAD0-01A-11R-A41C-07,2,0.678126190976649,0.736249868607989,0.590936442032214
TCGA-DD-AACN-01A-11R-A41C-07,1,0.65576264319229,0.52507156492353,0.287123646759004
TCGA-DD-AAW0-01A-11R-A41C-07,2,0.78157713751154,0.789377995070955,0.420844916936987
TCGA-BC-A10R-01A-11R-A131-07,2,0.725829026747862,0.648479614586925,0.343357943182454
TCGA-DD-AAD3-01A-11R-A41C-07,2,0.72778778709885,0.767644398345235,0.310387836681033
TCGA-2Y-A9GZ-01A-11R-A39D-07,2,0.851966899878499,0.816023996994647,0.598381644303516
TCGA-DD-A11B-01A-11R-A131-07,2,0.766990385762371,0.84551522199733,0.59826202048516
TCGA-DD-AAVU-01A-11R-A41C-07,1,0.853597909416989,0.652017536659953,0.756394156066242
TCGA-XR-A8TG-01A-11R-A36F-07,2,0.689495109969391,0.705787766547616,0.578207896787741
TCGA-DD-AADJ-01A-11R-A41C-07,2,0.860288798265948,0.777302004921395,0.79211769370266
TCGA-G3-A5SJ-01A-11R-A27V-07,1,0.523005225914977,0.470580936127472,0.69176222975748
TCGA-ED-A66Y-01A-11R-A311-07,1,0.400609604395484,0.525946760461023,0.525901152514275
TCGA-BC-A112-01A-11R-A131-07,1,0.367699967105215,0.41065442495743,0.276892766435654
TCGA-FV-A3I1-01A-11R-A22L-07,2,0.653260195068108,0.816825967503113,0.69709449855367
TCGA-DD-A4NV-01A-11R-A311-07,2,0.773757109524738,0.843218756805874,0.494204707385143
TCGA-T1-A6J8-01A-11R-A32O-07,2,0.738083072329799,0.778212712794931,0.581337628980496
