"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044282","BP","GO:0044282","small molecule catabolic process","71/618","375/18986",0.189333333333333,5.81663861920173,17.2799883638202,3.41781252834005e-34,1.48811557483926e-30,1.19227691778094e-30,"TAT/PCK2/ALDH6A1/LDHD/CYP4F2/ABAT/SLC27A2/DCXR/EHHADH/AASS/HSD17B6/ABCB11/HPD/OTC/SHMT1/HAAO/DAO/PCK1/CYP4F11/MAT1A/HAO1/GPT/ACOX2/PIPOX/CYP4F3/CYP3A4/XDH/GPT2/SARDH/ADH4/SULT2A1/UPB1/CYP4A11/CDO1/ALDH1L1/AGXT2/ACADL/AGXT/ALDH8A1/SDS/GSTZ1/ADHFE1/ACMSD/AMDHD1/ALDOB/PON1/HAO2/HDC/AKR1D1/TDO2/SULT1B1/AADAT/ARG1/MFSD2A/CDA/KMO/GLS2/IDO2/UPP2/PRODH/CYP39A1/CYP26B1/CBS/CYP7A1/GDA/GCK/CYP1A1/UROC1/CYP26A1/GAD1/SULT1E1",71
"GO:0016054","BP","GO:0016054","organic acid catabolic process","55/618","249/18986",0.220883534136546,6.78591388206548,16.8573853003681,3.35318404378203e-30,4.86658777554232e-27,3.89910593722584e-27,"TAT/PCK2/ALDH6A1/LDHD/CYP4F2/ABAT/SLC27A2/DCXR/EHHADH/AASS/ABCB11/HPD/OTC/SHMT1/HAAO/DAO/PCK1/MAT1A/HAO1/GPT/ACOX2/PIPOX/CYP4F3/GPT2/SARDH/SULT2A1/CYP4A11/CDO1/ALDH1L1/AGXT2/ACADL/AGXT/ALDH8A1/SDS/GSTZ1/ADHFE1/ACMSD/AMDHD1/PON1/HAO2/HDC/AKR1D1/TDO2/AADAT/ARG1/MFSD2A/KMO/GLS2/IDO2/PRODH/CYP26B1/CBS/UROC1/CYP26A1/GAD1",55
"GO:0046395","BP","GO:0046395","carboxylic acid catabolic process","55/618","249/18986",0.220883534136546,6.78591388206548,16.8573853003681,3.35318404378203e-30,4.86658777554232e-27,3.89910593722584e-27,"TAT/PCK2/ALDH6A1/LDHD/CYP4F2/ABAT/SLC27A2/DCXR/EHHADH/AASS/ABCB11/HPD/OTC/SHMT1/HAAO/DAO/PCK1/MAT1A/HAO1/GPT/ACOX2/PIPOX/CYP4F3/GPT2/SARDH/SULT2A1/CYP4A11/CDO1/ALDH1L1/AGXT2/ACADL/AGXT/ALDH8A1/SDS/GSTZ1/ADHFE1/ACMSD/AMDHD1/PON1/HAO2/HDC/AKR1D1/TDO2/AADAT/ARG1/MFSD2A/KMO/GLS2/IDO2/PRODH/CYP26B1/CBS/UROC1/CYP26A1/GAD1",55
"GO:0006805","BP","GO:0006805","xenobiotic metabolic process","40/618","127/18986",0.31496062992126,9.67612058201463,17.9943727439982,1.14831622806619e-28,1.24994221425004e-25,1.00145262626614e-25,"CYP4F2/CES2/CYP2A6/GLYAT/ABCB11/CYP2C8/SLC22A1/FMO4/NR1I2/ACSM2B/ACSL1/SLCO2B1/UGT2B7/CYP3A4/CYP2B6/CYP2C9/SULT2A1/CMBL/SLCO1B1/CES3/UGT2B15/SULT1B1/NAT2/UGT1A1/GSTA2/FMO2/UGT1A3/GSTA1/CYP2D6/SLC22A7/AOX1/CYP2A13/UGT1A9/CYP2A7/CYP26B1/CYP1A1/CYP26A1/ACSM1/CYP1A2/GSTM1",40
"GO:0071466","BP","GO:0071466","cellular response to xenobiotic stimulus","47/618","198/18986",0.237373737373737,7.29252067601582,16.3262173345905,2.05626418082429e-27,1.79059484866179e-24,1.43462305163194e-24,"SLC10A1/CYP4F2/CES2/CYP2A6/GLYAT/ABCB11/CYP2C8/FBP1/SLC22A1/FMO4/NR1I2/ACSM2B/ACSL1/SLCO2B1/UGT2B7/CYP3A4/CYP2B6/ABCC9/CYP2C9/GPLD1/SULT2A1/CMBL/SLCO1B1/CES3/UGT2B15/KCNH2/SULT1B1/NAT2/UGT1A1/GSTA2/FMO2/UGT1A3/GSTA1/CYP2D6/SLC22A7/AOX1/CYP2A13/UGT1A9/CYP2A7/CYP26B1/REN/CRHBP/CYP1A1/CYP26A1/ACSM1/CYP1A2/GSTM1",47
"GO:1901605","BP","GO:1901605","alpha-amino acid metabolic process","47/618","209/18986",0.22488038277512,6.90870379833078,15.7550890534753,2.63337380214155e-26,1.91095158908738e-23,1.53105276847317e-23,"TAT/ALDH6A1/GLYATL1/AASS/GLYAT/HPD/CTH/OTC/SHMT1/HAAO/DAO/MAT1A/HAO1/BHMT/GPT/PIPOX/GPT2/SARDH/CDO1/AGXT2/IYD/AGXT/ALDH8A1/SDS/GSTZ1/ADHFE1/ACMSD/GNMT/AMDHD1/NAGS/CPS1/HDC/TDO2/AADAT/TTC36/ARG1/PYCR1/KMO/GLS2/IDO2/OCA2/PRODH/SLC7A11/CBS/UROC1/GAD1/ASPG",47
"GO:0170033","BP","GO:0170033","L-amino acid metabolic process","44/618","181/18986",0.243093922651934,7.46825439396378,16.0382992943683,3.42857914927694e-26,2.13257623085026e-23,1.70861824070734e-23,"TAT/GLYATL1/AASS/GLYAT/HPD/CTH/SHMT1/HAAO/DAO/MAT1A/HAO1/BHMT/GPT/PIPOX/GPT2/CDO1/AGXT2/IYD/AGXT/ALDH8A1/SDS/GSTZ1/ADHFE1/ACMSD/GNMT/AMDHD1/NAGS/CPS1/HDC/TDO2/AADAT/TTC36/ARG1/PYCR1/KMO/GLS2/IDO2/OCA2/PRODH/SLC7A11/CBS/UROC1/GAD1/ASPG",44
"GO:0170039","BP","GO:0170039","proteinogenic amino acid metabolic process","43/618","174/18986",0.247126436781609,7.59214001413533,16.0233074192849,6.20187673589349e-26,3.37537141351003e-23,2.70434467141461e-23,"TAT/GLYATL1/AASS/GLYAT/HPD/CTH/SHMT1/HAAO/DAO/MAT1A/HAO1/BHMT/GPT/PIPOX/GPT2/CDO1/AGXT2/IYD/AGXT/SDS/GSTZ1/ADHFE1/ACMSD/GNMT/AMDHD1/NAGS/CPS1/HDC/TDO2/AADAT/TTC36/ARG1/PYCR1/KMO/GLS2/IDO2/OCA2/PRODH/SLC7A11/CBS/UROC1/GAD1/ASPG",43
"GO:0009410","BP","GO:0009410","response to xenobiotic stimulus","67/618","451/18986",0.148558758314856,4.5639750572263,14.0506117887012,8.06191754039344e-26,3.90017655231922e-23,3.12481809694314e-23,"SLC10A1/CYP4F2/ABAT/CES2/CYP2A6/GLYAT/ABCB11/CYP2C8/FBP1/SLC22A1/OTC/FMO4/NR1I2/ACSM2B/ACSL1/SLCO2B1/UGT2B7/CYP3A4/CYP2B6/CENPF/ABCC9/CDK1/CYP2C9/GPLD1/SULT2A1/CMBL/KCNJ8/ABCG8/ABCG5/SLC1A1/CPS1/SLCO1B1/SRD5A2/CES3/UGT2B15/KCNH2/SULT1B1/NAT2/CA9/DRD1/SLC1A2/UGT1A1/GSTA2/FMO2/UGT1A3/ADRA1A/GSTA1/CYP2D6/SLC22A7/AOX1/CYP2A13/SLC34A1/UGT1A9/CYP2A7/CYP26B1/REN/CRHBP/GRIN2A/CYP1A1/CYP26A1/PDX1/ACSM1/SLC6A11/CYP1A2/SLC6A2/SLC22A12/GSTM1",67
"GO:1901606","BP","GO:1901606","alpha-amino acid catabolic process","33/618","98/18986",0.336734693877551,10.3450564691896,17.0125957990755,6.4380527048591e-25,2.80312814769565e-22,2.24586385935822e-22,"TAT/ALDH6A1/AASS/HPD/OTC/SHMT1/HAAO/DAO/MAT1A/GPT/PIPOX/GPT2/SARDH/CDO1/AGXT2/AGXT/ALDH8A1/SDS/GSTZ1/ADHFE1/ACMSD/AMDHD1/HDC/TDO2/AADAT/ARG1/KMO/GLS2/IDO2/PRODH/CBS/UROC1/GAD1",33
