,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
TAT,5.25838609144044,8.03174243135172,25.0706259213268,1.84796665751104e-83,2.39995429810959e-79,179.481154831421,UP
CYP8B1,5.79008580605849,6.70879115943278,22.6956603719364,2.06110885594098e-73,1.33838103560527e-69,156.351678586997,UP
PCK2,2.29216583548765,8.20386629798194,22.649322040869,3.24993750763235e-73,1.40689794705404e-69,156.098975290054,UP
SLC10A1,5.45925065741054,5.82458935733601,22.2490291593124,1.66950622154516e-71,5.42046932480174e-68,151.871371804143,UP
SLC27A5,3.53367697949091,8.04136045142346,21.7373751463672,2.59742564253284e-69,6.74655336391479e-66,147.183173244575,UP
ALDH6A1,2.13236935717323,7.44373961918552,20.5945028143258,2.1239735380737e-64,4.59734072316052e-61,135.956019569637,UP
SEC14L2,2.80288746048362,6.28187211009566,20.2654822383865,5.54963372684521e-63,1.02961561729341e-59,132.712787469149,UP
GLYATL1,3.55328445600839,5.86985402258493,20.2513710541409,6.38350512155175e-63,1.03628226266991e-59,132.538102606511,UP
LDHD,2.36749688230141,6.32248064250297,19.5879144420875,4.61553258811413e-60,5.75688485759508e-57,126.031813811485,UP
CYP4F2,3.67477158935966,5.86590680226818,19.4492181290718,1.82797812166507e-59,1.97832932217202e-56,124.63059915611,UP
ABCB4,3.06891529263221,6.50384517784635,19.1766051765697,2.73328471041261e-58,2.36647790227524e-55,121.971399888705,UP
ABAT,2.3400324267358,7.87687360111864,19.089699040016,6.47276021080395e-58,5.25385855360693e-55,121.111586486896,UP
CES2,2.46865988257209,8.20615822767213,18.9014854278032,4.1855263238017e-57,3.19749590395369e-54,119.253184147531,UP
SLC27A2,2.55047767823176,6.85701192828719,18.5697587979898,1.12120774151536e-55,8.08951385503329e-53,115.99075707696,UP
MPDZ,1.94245605774787,5.42399505878833,18.3001002720056,1.61946844593266e-54,1.10694930038565e-51,113.33611398936,UP
ACSM2A,3.26036594587753,7.19012559818132,18.2917825011301,1.7584308533834e-54,1.14183707464451e-51,113.254284487386,UP
DCXR,2.32786992567381,9.00171230878636,18.1203752484466,9.58561731887155e-54,5.65856418728113e-51,111.556543374735,UP
ETNK2,2.7211475418002,5.7562441699457,18.1022656883386,1.1465688140348e-53,6.47412573385648e-51,111.390088965963,UP
HSD11B1,4.65824989446249,6.61065705647091,18.0971029874011,1.2066257600723e-53,6.52935364419122e-51,111.325474998468,UP
CYP2A6,6.19492736310068,6.77349080736268,17.7774279879237,2.84045496446673e-52,1.18996737495256e-49,108.128418591319,UP
EHHADH,2.19443025372239,7.38187436544796,17.7093842869928,5.5600280264989e-52,2.25650262437941e-49,107.531822658183,UP
DMGDH,2.52592352715255,6.17910128185548,17.683585897846,7.17197584901395e-52,2.73948383385718e-49,107.27803623086,UP
ABCA6,2.47529561081888,6.00402041837127,17.6741017019111,7.87553547805472e-52,2.92227369295705e-49,107.185587638104,UP
AR,3.15488771427134,5.79837714440809,17.3361275403818,2.20261200278038e-50,7.15133052002721e-48,103.877540114245,UP
ACSM5,3.67116381103713,5.23587039675044,17.2418136807228,5.57226031807761e-50,1.72302249406843e-47,102.931930020804,UP
AASS,2.87627147829589,4.94485943582136,17.1863394885726,9.61594372926186e-50,2.90423863283544e-47,102.403394201173,UP
PFKFB1,3.38988120417905,3.4306498003518,17.1334100176819,1.61803206052897e-49,4.77576872047495e-47,101.679493398479,UP
TSKU,2.57922902335958,7.24455849481255,17.0985706292538,2.27871674098408e-49,6.57637651448005e-47,101.550943881243,UP
