,x
1,TAT
2,CYP8B1
3,PCK2
4,SLC10A1
5,SLC27A5
6,ALDH6A1
7,SEC14L2
8,GLYATL1
9,LDHD
10,CYP4F2
11,ABCB4
12,ABAT
13,CES2
14,SLC27A2
15,MPDZ
16,ACSM2A
17,DCXR
18,ETNK2
19,HSD11B1
20,CYP2A6
21,EHHADH
22,DMGDH
23,ABCA6
24,AR
25,ACSM5
26,AASS
27,PFKFB1
28,TSKU
29,RDH16
30,HSD17B6
31,CD14
32,GLYAT
33,ASPDH
34,C8A
35,ABCB11
36,C3P1
37,HPD
38,CYP2C8
39,FBP1
40,CTH
41,SLC25A15
42,LRRC1
43,GPD1
44,SLC16A2
45,SLC22A1
46,ST3GAL6
47,INSIG1
48,OTC
49,CEP55
50,PDK4
51,FMO4
52,SLC46A3
53,SHMT1
54,C6
55,MYBL2
56,F11
57,RTP3
58,HAAO
59,DAO
60,PCK1
61,DEPDC1B
62,NR1I3
63,KCTD17
64,NR1I2
65,AQP9
66,CDCA7
67,ACSM2B
68,ACSL1
69,ENPEP
70,CYP4F11
71,APOA5
72,MAT1A
73,AURKB
74,HAO1
75,AZGP1
76,BHMT
77,GPT
78,ECM2
79,PRR11
80,AKR7A3
81,ACOX2
82,DEPDC7
83,KIF2C
84,SLCO2B1
85,UGT2B7
86,PIPOX
87,RBP5
88,TTPA
89,ADH1B
90,SOX4
91,TMSB10
92,CYP4F3
93,CYP3A4
94,CCNB1
95,TYRO3
96,XDH
97,PLK1
98,OGDHL
99,DPYS
100,GTSE1
101,UBE2C
102,CYP4A22
103,IL27
104,GPT2
105,CYP2B6
106,FGGY
107,BDH1
108,HPR
109,FETUB
110,TRO
111,SARDH
112,EPS8L3
113,UGT2B10
114,GAL3ST1
115,KIF23
116,C8B
117,CENPF
118,ABCC9
119,MMP11
120,GHR
121,CCNB2
122,F9
123,CDK1
124,CYP2C9
125,GPLD1
126,NUF2
127,CDC20
128,ADH4
129,CDH23
130,HJURP
131,MASP2
132,ADRB2
133,TM6SF2
134,SULT2A1
135,ACY3
136,TRIP13
137,IGDCC4
138,FMO3
139,TROAP
140,KIFC1
141,MYRIP
142,UPB1
143,CYP4A11
144,CDO1
145,CMBL
146,CDCA3
147,SPHK1
148,KCNJ8
149,DLGAP5
150,ALDH1L1
151,MAPK13
152,SNHG4
153,CPEB3
154,RUNDC3B
155,F12
156,ADH1C
157,NEK2
158,AGXT2
159,ABCG8
160,CENPA
161,ACADL
162,TTK
163,SLC28A1
164,PTTG1
165,CYP7B1
166,FHDC1
167,F13B
168,CCL16
169,IYD
170,GADD45G
171,HP
172,KIF18B
173,KIF18A
174,AGXT
175,IGF2BP2
176,ARID3A
177,CPN2
178,ALDH8A1
179,ALPL
180,SDS
181,BUB1
182,SLC38A4
183,GSTZ1
184,SERPINC1
185,ADHFE1
186,ZMYND12
187,ANLN
188,ACMSD
189,BUB1B
190,MKI67
191,CFHR4
192,APBA1
193,RTKN2
194,TTR
195,GBP7
196,RCOR2
197,KIF20A
198,PLG
199,CENPM
200,MCM10
201,LRRC2
202,COL9A2
203,CDCA2
204,MAN1C1
205,GNMT
206,SKA3
207,MFAP3L
208,ABCG5
209,SLC4A11
210,SALL2
211,AMDHD1
212,TOP2A
213,SPDYC
214,APOF
215,ZIC5
216,ALDOB
217,ACOT12
218,NAGS
219,HPX
220,ARID3C
221,ADRA1B
222,SPC25
223,GYS2
224,APOC3
225,GNA14
226,KIF15
227,WNK2
228,DQX1
229,SLC1A1
230,SLC22A25
231,PON1
232,DIO1
233,AFM
234,CPS1
235,PITX1
236,KIF4A
237,ABCA8
238,EXO1
239,TESC
240,SLC6A1
241,NANOS1
242,TRIM17
243,KCNF1
244,MELK
245,PTHLH
246,HMGA2
247,IGF2BP1
248,NCAPG
249,SLC6A12
250,PRAME
251,ZBTB16
252,G6PC
253,TRNP1
254,TPPP2
255,SLCO1B1
256,SLC2A2
257,PPARGC1A
258,SKA1
259,SLC6A13
260,SRD5A2
261,ABCA9
262,CD24
263,GNAZ
264,INHBC
265,LYPD1
266,SLC13A5
267,ASPM
268,MOGAT2
269,SYTL4
270,HRG
271,HAO2
272,KNG1
273,EME1
274,SIX2
275,LRRC3
276,ENPP7
277,SYNGR3
278,CES3
279,ETV4
280,UGT2B15
281,ESR1
282,RDH5
283,HDC
284,REEP2
285,AKR1D1
286,ZNF239
287,CFHR5
288,STEAP4
289,PROZ
290,DKK1
291,TDO2
292,KCNH2
293,RIBC2
294,MYO16
295,TRIM71
296,WNK3
297,ABCG2
298,GFRA1
299,CUX2
300,FRAS1
301,ANGPTL6
302,AFP
303,UBXN10
304,OASL
305,SPP2
306,SULT1B1
307,FOXJ1
308,NECAB2
309,ANO1
310,PLEKHB1
311,ANXA10
312,CTHRC1
313,CFHR2
314,CES1
315,SAA1
316,MMP9
317,MTTP
318,AADAT
319,MNX1
320,DUSP9
321,ECHDC3
322,NAT2
323,HORMAD2
324,TRPM8
325,NXPH4
326,TTC36
327,DSG1
328,CA9
329,BCAS1
330,FITM1
331,LPA
332,CTNND2
333,CCL20
334,SULT1C2
335,ARG1
336,RASAL1
337,PYCR1
338,DMBT1
339,HS6ST2
340,MATN3
