"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"CAIRO_HEPATOBLASTOMA_DN","CAIRO_HEPATOBLASTOMA_DN","CAIRO_HEPATOBLASTOMA_DN",242,-0.74988109636576,-2.95508904029965,1e-10,7.76268656716418e-09,6.74469756480754e-09,1416,"tags=55%, list=11%, signal=50%","715/5827/5106/283/30845/360/6999/8647/1491/563/731/23498/7498/875/115817/10221/1316/51279/2021/10555/55664/34/5606/9970/2203/6653/90634/25987/3486/445/132/978/80765/51011/54941/11326/10249/2158/56548/2822/10891/2639/3398/5054/10402/85453/3556/10157/54923/10998/390/4837/1557/6342/2690/2308/319/2166/8631/33/25854/729/10449/4783/178/760/133/55753/10020/10400/2819/6505/10171/22849/8835/5502/6715/8608/6716/57447/10894/10912/57134/55107/54762/30/1558/11199/27165/1071/1969/5625/283537/3931/5858/1893/57733/5745/653808/3598/2998/2027/735/51179/2213/10/1776/6580/2954/9848/3752/7433/4499/55576/51302/8547/1393/6718/64388/3483/5348/1555/1548/2642/9547/3084/8424/51266/1592/8685/2220/10332/1544"
"CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP","CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP","CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP",161,0.764211718862574,2.8844657985001,1e-10,7.76268656716418e-09,6.74469756480754e-09,1018,"tags=53%, list=8%, signal=49%","6286/4224/4751/2118/1033/83540/220134/4321/259266/51514/1063/55355/7153/24137/55635/9787/79733/55872/983/9928/7272/28982/84002/9232/11065/4288/1852/701/9133/10112/11004/991/332/990/54443/79801/9212/146909/150468/11156/10403/1062/55227/891/100133941/2305/9493/83879/55789/113130/55165/890/174/6297/10643/9319/80150/64105/6790/3070/11130/898/2146/23171/8317/79075/1820/10970/5355/79993/55824/4318/29127/1894/2539/55215/55771/157378/5984/3832/57181/4085/5603/22974/57167"
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",128,0.786830711795527,2.88364180780326,1e-10,7.76268656716418e-09,6.74469756480754e-09,1806,"tags=73%, list=14%, signal=64%","4751/259266/51514/1063/1058/55355/7153/24137/9787/79733/55872/983/64151/4605/9928/699/7272/9232/11065/9833/4288/701/9133/10112/11004/991/332/990/79801/9212/146909/56992/54821/6241/3161/10403/1062/5347/891/51512/2305/3833/79019/1869/9493/83461/55165/890/55143/9319/29028/10721/9134/6790/9837/55388/55723/3070/11130/8836/8208/2146/23397/3159/899/29127/1894/6491/55215/81831/9700/3832/4085/5603/22974/51053/10615/1763/4173/3838/124222/10635/2237/7083/84296/23649/4001/1789/27338/9585/1111/4171/11339/10460"
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",133,0.780981237183665,2.87464352665901,1e-10,7.76268656716418e-09,6.74469756480754e-09,1362,"tags=60%, list=11%, signal=54%","4751/1033/9156/259266/1063/1058/55355/7153/24137/9787/79733/983/64151/4605/9928/699/7272/9232/11065/9833/10024/4288/701/9133/10112/11004/991/332/9212/2491/146909/56992/641/6241/3161/10403/1062/5347/891/51512/2305/3833/1869/83461/55165/890/55143/9319/10721/8318/9134/7296/6790/9837/55388/11130/2146/79075/23397/29127/9088/1894/6491/7295/25788/993/5984/4175/9700/3832/4085/5888/3925/22974/10615/4173/3838/10963/5440/2237"
"BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN",150,0.764572491245263,2.87109023860374,1e-10,7.76268656716418e-09,6.74469756480754e-09,1653,"tags=67%, list=13%, signal=59%","55247/995/4751/1033/83540/220134/9156/9245/51514/1063/55355/7153/24137/79733/64151/4605/9928/7272/29089/221150/9232/11065/10024/701/9133/10112/11004/57405/332/990/54443/79801/9212/2491/146909/56992/641/54821/157313/6241/3161/1062/5347/2305/3833/2187/79019/1869/83879/374393/29128/55789/113130/83461/6941/55165/890/55143/7516/81624/146956/81620/8318/6790/8438/55388/55723/11130/79968/63967/724102/8317/23397/10293/100129405/9088/5287/55215/55771/993/3832/11169/5888/8629/284403/79915/10615/4173/113235/79172/51702/2237/7083/10733/5933/84296/91057/84733/55422/4001/80263"
"KONG_E2F3_TARGETS","KONG_E2F3_TARGETS","KONG_E2F3_TARGETS",86,0.782508215392947,2.69880723727862,1e-10,7.76268656716418e-09,6.74469756480754e-09,1469,"tags=59%, list=11%, signal=53%","10642/128239/83540/1063/55355/7153/55635/9787/55872/64151/699/29089/11065/9833/4288/701/10112/11004/57405/991/990/79801/54821/3161/5347/891/113130/83461/890/64105/6790/8438/55723/898/8208/2146/8317/23397/899/29127/60674/64946/3832/5888/22974/1763/1871/10635/2237/7083/5933"
"FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN",162,0.70742409428039,2.67437067649564,1e-10,7.76268656716418e-09,6.74469756480754e-09,1204,"tags=55%, list=9%, signal=50%","128239/4751/1033/83540/220134/9156/259266/51514/2903/1063/1058/55355/7153/24137/55635/9787/79733/55872/983/4605/9928/699/7272/29089/221150/9232/729533/11065/9833/10024/4288/701/9133/10112/11004/57405/991/332/54443/79801/9212/146909/56992/150468/641/157313/6241/3161/10403/1062/5347/891/51512/2305/3833/81930/79019/9493/55789/113130/83461/55143/7516/10721/8318/64105/6790/9824/91687/9837/7412/11130/9235/23397/157570/10293/29127/286827/55215/55771/9700/3832/4085/22974/10615/2177/3838/7035/9735"
"WHITEFORD_PEDIATRIC_CANCER_MARKERS","WHITEFORD_PEDIATRIC_CANCER_MARKERS","WHITEFORD_PEDIATRIC_CANCER_MARKERS",102,0.755659305421418,2.67336028235835,1e-10,7.76268656716418e-09,6.74469756480754e-09,1638,"tags=57%, list=13%, signal=50%","4751/83540/1063/1058/7153/9787/55872/983/4605/9928/699/7272/29089/9232/11065/9833/4288/9133/332/157313/6241/1062/891/4613/1869/83879/29128/113130/890/55143/29028/10721/8318/6790/55723/9401/11130/8836/2882/23397/91975/5427/993/5984/9700/3832/4085/3925/22974/4173/3838/26586/3608/7083/10733/4830/91057/1786"
"ZHAN_MULTIPLE_MYELOMA_PR_UP","ZHAN_MULTIPLE_MYELOMA_PR_UP","ZHAN_MULTIPLE_MYELOMA_PR_UP",40,0.890598128027137,2.65989938125863,1e-10,7.76268656716418e-09,6.74469756480754e-09,971,"tags=85%, list=8%, signal=79%","4100/4751/83540/220134/259266/7153/9787/79733/983/9928/7272/29089/11065/701/9133/57405/332/6241/891/2305/147841/55789/9319/6790/91687/55388/2146/79075/29127/4102/55215/55771/5984/22974"
"CROONQUIST_IL6_DEPRIVATION_DN","CROONQUIST_IL6_DEPRIVATION_DN","CROONQUIST_IL6_DEPRIVATION_DN",91,0.754850652026278,2.64921279222843,1e-10,7.76268656716418e-09,6.74469756480754e-09,1783,"tags=63%, list=14%, signal=54%","1033/1058/7153/983/4605/9928/699/6696/9232/11065/4288/701/9133/11004/57405/991/990/9212/11156/6241/3161/1062/5347/891/2305/3833/890/9319/8318/9134/6790/9837/11130/8836/23397/3159/10293/899/6491/55215/5427/993/3832/4085/3925/22974/10615/4173/3838/9735/2487/7083/10733/1111/4171/11339/5983"
