"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RAB7A",7.73742647693318,7.76408574979051,230.264074579781,0,0,949.772677919087
"HNRNPK",8.56683350014689,8.53999274766923,226.104053343921,0,0,941.786559790244
"PDCD6IP",6.8872272476667,6.84165209457907,223.212188229572,0,0,938.883687892911
"PRKCSH",8.59363368142109,8.49448503498254,222.564963266666,0,0,935.832143606286
"CNBP",8.01827701088363,8.16906674010523,221.866833949981,0,0,935.423697604285
"RAB5B",7.19017980880744,7.20537384678516,216.532625709204,0,0,927.113849004317
"CIAO1",6.43298069972152,6.47757248878626,213.702556916467,0,0,922.636722901876
"POLDIP2",7.57187815811346,7.57895145578896,208.023080512618,0,0,911.569029475997
"FAM120A",7.36356510315389,7.32612388878478,207.293707318265,0,0,910.428498042523
"PCNP",6.15631092783776,6.18332264037201,206.450682510494,0,0,909.618581092082
"RHOA",8.38242072533439,8.35525803181129,207.426882252578,0,0,909.617419563494
"GDI2",7.87507302546554,7.9004068513162,206.577737052721,0,0,908.627783922867
"C11orf58",6.94653832179153,6.96908359761709,205.817292140023,0,0,908.036494147738
"RNF10",7.15305080580356,7.09672140312155,204.840337635066,0,0,906.081414595699
"RPN1",8.74210094087472,8.71703803164468,203.142873803984,0,0,901.315782336167
"SF3B2",7.27783861995044,7.28122693916483,202.052389166226,0,0,900.780382297105
"ST13",8.01871699852752,8.02662663844081,201.71792406283,0,0,899.474352375448
"TMBIM6",10.6285414386463,10.6704066207539,203.235810581994,0,0,898.66785045763
"CELF1",6.80849093788906,6.82766972852666,199.952768175376,0,0,897.12901277824
"SERINC3",7.34228268411341,7.35146663832495,200.000681334713,0,0,896.853201746725
"RBM10",5.75811574907891,5.77892505453685,198.512506062671,0,0,894.788679681134
"TM9SF3",7.6570966566048,7.61296230097417,196.761825450155,0,0,890.392637288135
"SUPT6H",6.87634520928023,6.88891920579946,195.358335756139,0,0,888.242656469937
"VCP",8.21289748397992,8.13910524418763,194.63771657259,0,0,885.763217063866
"SNX17",6.45176455735461,6.51113153405741,193.859808569304,0,0,885.51828586746
"TMED2",8.3559361290559,8.23045428514403,194.25133950666,0,0,884.868480604406
"UBE2D3",7.52693995965594,7.56941302167766,193.636744225266,0,0,884.425745634256
"EIF2AK1",7.77084677223346,7.67829492297849,193.693063156798,0,0,884.330533929498
"HADHA",8.3762537535686,8.43715858551203,193.248010065536,0,0,882.888903109981
"SF1",6.81302652347355,6.87849031223824,192.503402835577,0,0,882.672024558093
"TMEM59",8.31372001241592,8.27708475394599,192.746415851395,0,0,881.969584419223
"LAPTM4A",8.04350509582214,8.14168090693152,192.275912103978,0,0,881.302363712908
"CGGBP1",5.98240667421682,5.979647138605,191.387597251069,0,0,880.786604401091
"LMAN2",8.48637067151702,8.36806021061225,191.177993147674,0,0,878.705578981807
"TOX4",5.71483279146438,5.69613949451244,190.218869523569,0,0,878.507082426504
"API5",6.07073990065381,6.09366754260026,189.782889847314,0,0,877.547269043759
"HNRNPC",8.27806893119707,8.16394017937152,190.182851382648,0,0,876.937636515768
"STARD7",7.06397291469451,7.11816890363428,188.904689280532,0,0,875.345084398278
"C1orf43",8.49468349677899,8.29781320920167,189.018223613024,0,0,874.401829173458
"THRAP3",6.54493478295696,6.62824849368983,188.293482020333,0,0,874.372256278476
"PAPOLA",7.25959293784179,7.1730164893097,188.157880004849,0,0,873.713430355578
"HDLBP",9.15916934639309,9.09274370763111,189.028638311015,0,0,873.695610564474
"MRFAP1",7.65520200865724,7.6889967424554,187.953502405074,0,0,873.010325465398
"PSMD8",6.71736138959177,6.71118054897212,187.48250247683,0,0,872.650646248441
"KDELR2",8.67112129622782,8.56989044832199,188.104172851325,0,0,872.389945297736
"UBA1",7.93949659135877,7.78870855509549,187.360814311375,0,0,871.579184886682
"DDB1",7.7117381989502,7.62627553854573,187.101358831667,0,0,871.239823558432
"TRPC4AP",6.31597764575521,6.32341641249464,185.973867851464,0,0,869.731721809514
"YY1",6.49554737826758,6.45068696260395,185.836725840318,0,0,869.384109762466
"AP2M1",7.65145496396549,7.6724478635155,186.058009492681,0,0,869.163076865167
"ABCF3",5.4769825469849,5.5233436002833,185.581494203741,0,0,869.106961061336
"AP2A2",5.9240183377243,6.00664437916037,185.087624163258,0,0,868.023405606782
"PUM2",6.60080572759939,6.59955571823609,185.013598940255,0,0,867.649011603099
"SLTM",5.74744271049863,5.763675100927,184.748837139578,0,0,867.360182643751
"SERBP1",7.88596963957076,7.94063570808574,184.996862667456,0,0,866.805598351228
"ARFGAP2",6.2026977828401,6.25779651826979,184.432795602072,0,0,866.594299341299
"FKBP8",8.25521077279466,8.20562236635536,184.778389509802,0,0,866.042600081528
"RELA",5.89566015129382,5.93813755931345,184.030774583123,0,0,865.842960116373
"CDC37",6.80587113307134,6.79578933751427,184.15818035465,0,0,865.790302610006
"ZNF638",6.11836013633281,6.15764155429233,184.000090527561,0,0,865.722461211004
"TRA2B",6.18893252624719,6.19354809364026,183.937704569062,0,0,865.572737851302
"PRPF19",6.48951171190506,6.5197334946315,183.967738071056,0,0,865.531070701015
"TFG",7.17917643877004,7.08172780538627,184.017740167071,0,0,865.297501987719
"ZDHHC5",6.46172628998504,6.44983708996719,183.742874254542,0,0,865.075422747775
"SURF4",8.41830589847347,8.39128960166547,183.946278777129,0,0,864.186336882882
"EPN1",7.75429520808519,7.81709366070098,182.394377754478,0,0,861.530404954545
"DDX42",6.42496672751127,6.44448969706517,181.983369079292,0,0,861.418059944001
"EIF1",9.25113785878866,9.19576546165041,182.927771787496,0,0,861.232528818108
"TSG101",6.02615656527534,5.98860201949351,181.641584038583,0,0,860.822672794555
"CAPZB",7.002476201178,7.03084337410775,181.775488561176,0,0,860.729159430551
"HNRNPA2B1",9.3739496440405,9.27528524983592,182.359880725584,0,0,859.923732404989
"YTHDF1",5.72278349713952,5.74147239561726,181.160588699208,0,0,859.872300169744
"PPP1CB",6.96095991370124,6.98242471268993,181.28637234113,0,0,859.724200425255
"KPNA4",6.20878422755912,6.13741137646368,180.27591268462,0,0,857.891100656667
"SLC25A3",8.70645555781007,8.67967050614676,181.027983714479,0,0,857.863074812509
"HDGF",8.39213672086288,8.38996884805378,180.823526797677,0,0,857.725618829174
"RAD23B",7.76464702729735,7.79053263288895,180.485439961192,0,0,857.525976012775
"ZNF24",5.98388143556596,6.04765412283427,180.017054816592,0,0,857.402842143916
"USP7",6.52418087343072,6.49482452673562,179.418733589508,0,0,855.96663953231
"DAZAP2",7.55921717678892,7.64851096935472,179.666680902165,0,0,855.945615645985
"DBNL",6.30032415761468,6.24982632956379,179.221849433482,0,0,855.623961503018
"GRB2",7.02971748869951,7.00141721941761,179.345581792702,0,0,855.587818395394
"UBTF",6.24415624029368,6.27811319570852,179.064882259334,0,0,855.3071403746
"OCIAD1",7.04641778269754,7.0583028198378,178.808553651001,0,0,854.436819394747
"SERP1",7.63129086744205,7.59255773985284,178.928793012811,0,0,854.330563261185
"SGTA",6.43908916173579,6.48793111839707,178.618817793526,0,0,854.292446284038
"SAFB",6.03785798831061,6.08526965601747,178.362675412708,0,0,853.863506704559
"DDX23",6.1565479005441,6.1750677893296,178.197935692625,0,0,853.479541043664
"AUP1",7.12292185705903,7.11883091507084,178.27614010229,0,0,853.259324304593
"PTGES3",8.29241689044193,8.14258747160411,178.454760517081,0,0,852.815270480871
"TUFM",7.4966979437456,7.57008738070379,178.116419939891,0,0,852.692342487316
"DHX30",5.99283078404385,6.01099006986568,177.586314081387,0,0,852.208828393416
"BCLAF1",6.00796739379355,6.02048043730282,177.224284034865,0,0,851.425834418538
"SCAMP2",6.09913736797449,6.07489583931606,177.195048934567,0,0,851.339596773262
"COPB2",7.01644639779154,6.97671673772874,176.453754300427,0,0,849.400586266852
"SEC62",7.31872655847591,7.37953026604459,176.395913429774,0,0,849.110201653893
"GNAI2",7.43393697095093,7.47901743333372,176.350698004013,0,0,848.941939721787
"HSPA9",9.19346065402867,8.95145078082631,176.994356140532,0,0,848.863893666445
"GPX4",8.79904455382434,8.80136700204221,176.789684286282,0,0,848.815077466402
"EWSR1",7.48604850076088,7.47176605615711,176.190911445553,0,0,848.56362789631
"MGAT1",7.7450338331433,7.68773925635299,176.035082043287,0,0,848.053420217169
"RTF1",5.56242456890074,5.52172779705628,175.544854766691,0,0,847.861331493035
"XRCC5",7.72802889252391,7.77764995840415,175.914421030793,0,0,847.804381321316
"GOSR1",5.45860806942442,5.47694992629874,175.508873446388,0,0,847.787247336316
"UBQLN1",6.89888432795369,6.8817140196185,175.678989941709,0,0,847.779561338299
"MLF2",7.69617377114876,7.78999044142069,175.536981042428,0,0,847.010293905988
"POLR2E",7.2950568430932,7.32585026313586,175.179189905837,0,0,846.488951342869
"USF2",6.95975570829695,6.95873860469947,175.012912479283,0,0,846.302756876795
"FAF2",5.87714906360175,5.81072034111075,174.769940363665,0,0,846.126256056708
"ANXA7",7.01047512875455,6.96818093341669,174.809040284446,0,0,845.834612058183
"WDR33",5.78973680950044,5.79744960023103,174.33724964577,0,0,845.195459800147
"DAZAP1",6.08957323913481,6.05936958889983,174.337925235694,0,0,845.134428581681
"TRIP12",6.69676545622822,6.70740984790309,174.368772057385,0,0,845.0101615053
"PRPF40A",6.09414888465393,6.09098410812869,174.159316109156,0,0,844.741813236898
"CSDE1",8.4506806824951,8.50727141094333,174.715164103204,0,0,844.657215579431
"MORF4L1",7.0265670112214,7.05621503903676,174.02246275656,0,0,844.108091919697
"HNRNPM",7.03348764091022,7.07573627871219,173.874470942013,0,0,843.780588529961
"CALCOCO2",6.74345288744441,6.77560405374235,173.784673277184,0,0,843.711503990948
"UBE2R2",6.50874205217589,6.52132366100319,173.605994721528,0,0,843.405565935276
"TMED10",8.06586428747849,8.02052472471585,173.906242765527,0,0,843.20001556276
"OXA1L",7.13748069010272,7.069887221727,173.491735584884,0,0,842.88810534181
"SCAF1",6.4105298548115,6.37289014222946,173.331393791798,0,0,842.833957284449
"DDX5",8.49244109040312,8.48990299779311,173.876911580941,0,0,842.800030492978
"ATP6V1A",6.15832728264315,6.08537075974931,173.252284486093,0,0,842.731897746027
"GSPT1",6.50307376773811,6.50410383771284,173.268109088966,0,0,842.664271524633
"PSMF1",7.35771336852451,7.40935414181426,173.410975881702,0,0,842.589190774601
"TMED4",6.21084259261766,6.24841551333378,173.025737124612,0,0,842.218626300093
"SND1",7.94885853538065,7.89470387026193,173.365614430277,0,0,842.102967730976
"UBC",8.87010131479558,8.91022270595133,173.68626506075,0,0,842.052749461925
"PTBP1",7.45539722555632,7.41359392991044,173.169508298411,0,0,842.000785693752
"ACTR2",7.35788764330782,7.33132743269385,173.082570189896,0,0,841.868107067875
"CTCF",5.2738086912767,5.30632001592914,172.524743330806,0,0,841.23258041645
"KHDRBS1",6.58259914925303,6.62998686459069,172.495123161051,0,0,840.930957210264
"YWHAE",8.16085388445009,8.21656049387711,172.779227241319,0,0,840.661343286109
"RAB18",6.0633816803839,6.07073272610461,172.291611709148,0,0,840.631663493503
"YME1L1",6.77445155295617,6.78444139011756,172.133250533902,0,0,840.057655295343
"RPL15",9.18384490519072,9.16703331571155,172.516253112706,0,0,839.19986165286
"RAB1A",7.30145254435869,7.1890689721486,171.805137485569,0,0,839.080120617013
"COPS2",5.81330957367442,5.79440329010875,171.55000531356,0,0,839.033984302527
"DDX1",6.47738154377589,6.4586836254179,171.603836896388,0,0,838.989214469094
"RAB21",5.74188956686028,5.73500956947093,171.381712624555,0,0,838.670136461177
"TMEM127",6.56022962796733,6.54957575193434,171.06545897635,0,0,837.762758660424
"PSMD1",6.74918981006267,6.64950204704481,171.086091398217,0,0,837.740087944511
"CMPK1",7.74502948457833,7.76647063017551,171.219780199682,0,0,837.510440397942
"PPP1CA",7.12876200567753,7.03935360858016,171.008074853638,0,0,837.398907965779
"HINT1",8.61683118151337,8.52350460240611,171.37879883303,0,0,837.21379490442
"SPG21",6.7397846727469,6.69646344333281,170.781033386299,0,0,837.062851410536
"NCL",8.79870906337952,8.7324495524833,171.292179211224,0,0,836.865692681192
"WAC",6.56619080579867,6.52963239481382,170.373869233641,0,0,836.214821397895
"CHCHD2",7.34499811479438,7.39317706229306,170.496114981769,0,0,836.142271778798
"TNPO1",6.26923669164164,6.15628764996323,170.244151498389,0,0,836.014310474808
"PSMC3",6.86507243991861,6.859529286531,170.329320052015,0,0,836.003491769029
"EIF4H",7.26589365693909,7.28286886848469,170.284326123333,0,0,835.712543528401
"CAB39",5.94092677990952,5.89769515502789,170.004119364348,0,0,835.55290494381
"SART1",6.06375437435115,6.03454677265095,169.773511365332,0,0,835.008209553662
"UBXN4",7.12661506290492,7.08302191421264,169.904374038994,0,0,834.932997950533
"GNB2",7.40110350462735,7.44913912777601,169.935255966547,0,0,834.85599774106
"RBM14",4.92600883537401,4.91691146993926,169.642286075907,0,0,834.747410700201
"SRRT",6.15228969248567,6.16826268216059,169.652991672229,0,0,834.716340155374
"PSAP",10.3995169342442,10.3204640761963,171.046559092159,0,0,834.681661427917
"NMT1",6.72307877283848,6.70072764656684,169.576101994341,0,0,834.368369946481
"MKRN1",6.17038516764431,6.17644774811972,169.418003364624,0,0,834.182707498083
"YWHAB",7.52550658926053,7.48308069462658,169.308804093369,0,0,833.378253004422
"NAA50",6.47833472836046,6.46190292155447,169.069861213365,0,0,833.311221607345
"ACTR3",6.79870742331883,6.78362658193922,168.783602799779,0,0,832.553197365002
"CDV3",7.11004754152747,7.09426186233034,168.72793408008,0,0,832.293358752148
"NDFIP1",7.93093066456536,7.81710316059326,168.914486605013,0,0,832.233778179532
"CAPNS1",7.76662970315404,7.74994483533614,168.805519681714,0,0,832.09651597521
"PCYT1A",5.41812163237314,5.33773801193228,168.166282513187,0,0,831.457206403471
"QRICH1",5.44263435836621,5.43292809247767,167.977773306805,0,0,831.028141327496
"HNRNPL",6.47446028409851,6.49086091107045,167.969520246031,0,0,830.820246487638
"ERGIC3",7.74484804590824,7.73945106854439,168.218909412643,0,0,830.786179069186
"PRDX5",7.72435930566055,7.70909631298216,168.051050230359,0,0,830.419574147459
"G3BP1",7.01314697495332,7.00653273693462,167.813467308701,0,0,830.266039415706
"AAMP",6.3409737053295,6.42846019035349,167.695061054422,0,0,830.234574678936
"OPA1",5.95023660460202,5.95415708456706,167.392968397664,0,0,829.638473391258
"NUCB1",8.70007109464299,8.67900376437091,167.882591397504,0,0,829.339050524957
"XRCC6",7.83626956275769,7.8019152744673,167.395428110583,0,0,828.862003194579
"SPOP",5.70031783586003,5.71837745083918,166.84396996344,0,0,828.421942686468
"MOGS",6.09069469063805,6.12536017302573,166.776359760392,0,0,828.199331997362
"TMEM214",6.39931110945395,6.43260437401384,166.674400117792,0,0,827.888099947554
"ZC3H15",5.73514104084557,5.6961597574732,166.594755350568,0,0,827.846975038314
"MAP3K11",7.4804176675313,7.36965179896478,166.832832487395,0,0,827.796680179493
"SLC35A4",6.21186540920711,6.1781743297088,166.47757587231,0,0,827.486790416379
"RANBP2",5.97653969458625,6.03045914049572,166.392097579896,0,0,827.342870310658
"PICALM",6.918042206272,6.9490304239504,166.258639630466,0,0,826.757800311512
"COPZ1",7.27962659333457,7.19975929995717,166.303127956969,0,0,826.694235018611
"PDAP1",6.35283319263065,6.37581757293062,165.832232801135,0,0,825.966799313038
"DDX6",6.13777855630383,6.17240565941995,165.71845357511,0,0,825.758681843177
"ARCN1",6.92471477661115,6.95410589428007,165.799771264592,0,0,825.701079754804
"ZFAND6",6.0929767528066,6.09027824925204,165.655873342621,0,0,825.624301895636
"ANAPC5",6.6613695544824,6.63318301620366,165.698097245792,0,0,825.564969166699
"LRPPRC",7.18796362342196,7.13168507345038,165.654968378474,0,0,825.251071986193
"IMMT",6.36372022597483,6.43700746423973,165.449197587182,0,0,825.081220227419
"SAR1A",6.626702014934,6.59693415603172,165.3773156468,0,0,824.837233787118
"RAB3GAP1",5.10928058529878,5.09146505569918,165.005751798585,0,0,824.192087687127
"EXT2",5.73381786272193,5.73345568673853,164.921733853116,0,0,823.990767730755
"OTUD5",5.5466968348354,5.578529944166,164.870093494431,0,0,823.889503372435
"TAF15",6.92616296070004,6.90662087843726,164.962205574075,0,0,823.769008432869
"GANAB",8.63676016241458,8.63695927788658,165.388887729577,0,0,823.71971139441
"GOLGB1",6.44414033758059,6.54413070397411,164.454670723822,0,0,822.757592081698
