,StromalScore,ImmuneScore,ESTIMATEScore,sample_name,TumourPurity
L001P,-457.528060124673,774.561816082821,317.033755958148,L001,0.795160522082249
L003P,-196.625490400045,1265.78356020235,1069.15806980231,L003,0.72350697318895
L004P,-215.876623565991,1101.68264552777,885.806021961777,L004,0.741821867739445
L005P,-169.441341562168,901.316371150205,731.875029588037,L005,0.756783548470458
L008P,21.7134884992743,1597.94186371473,1619.655352214,L008,0.665424614262999
L010P,-11.5843522079892,1295.72451238751,1284.14016017952,L010,0.701366120192372
L012P,20.3580150553044,1383.20689489216,1403.56490994747,L012,0.688763470726719
L014P,-220.363526507052,849.225512363638,628.861985856586,L014,0.766580810079785
L016P,-1149.36412918668,-13.2853745291334,-1162.64950371581,L016,0.90715481732292
L017P,318.689321550165,1527.61648203753,1846.3058035877,L017,0.64022632360298
L019P,-625.862547051559,249.472457916384,-376.390089135176,L019,0.8526616965996
L021P,-414.65582150912,391.979862727081,-22.6759587820395,L021,0.824397944806424
L023P,-93.0402475475448,1552.1852773613,1459.14502981376,L023,0.682825802411574
L024P,-179.29005300705,1095.3624715222,916.072418515145,L024,0.738835257754206
L025P,-504.905903881688,406.207252649099,-98.6986512325892,L025,0.830662737315193
L026P,-223.562504095384,1131.35167330761,907.789169212225,L026,0.739654079343049
L028P,-279.663419070216,921.199329501799,641.535910431583,L028,0.765384841889505
L030P,-524.069057435853,527.617592476552,3.54853504069945,L030,0.822213011670015
L032P,-497.105669792824,491.112517296042,-5.99315249678256,L032,0.823009403462794
L033P,-421.825222812449,456.822243013047,34.9970202005977,L033,0.819576770626972
L035P,-246.276352722123,926.649207982108,680.372855259984,L035,0.76170353597197
L037P,-461.782496414406,863.190760389071,401.408263974665,L037,0.787589356499639
L038P,-379.227115411976,876.136403956717,496.909288544741,L038,0.778874082684923
L039P,-137.307009092164,1561.51565142907,1424.20864233691,L039,0.686563415034008
L040P,-617.22858246674,479.24927005162,-137.979312415119,L040,0.833859250921034
L041P,-386.912096909331,996.625515042939,609.713418133608,L041,0.76838272073562
L042P,-546.085392209942,683.757346958055,137.671954748113,L042,0.810848513961498
L076P,-166.140699514374,1094.04000080811,927.899301293734,L076,0.73766424555964
L044P,-496.053519105733,365.992475984958,-130.061043120776,L044,0.833217119228457
L045P,-417.941930842479,734.79374713061,316.851816288131,L045,0.795176716674188
L046P,-181.737621691863,1498.34411456685,1316.60649287499,L046,0.697961185245635
L047P,-494.347223991409,561.009567679373,66.6623436879644,L047,0.816904706568973
L048P,-429.640565386128,1033.83442470795,604.193859321817,L048,0.768900993495007
L052P,-352.565741065338,1196.12737269573,843.561631630393,L052,0.745965941610873
L056P,-282.532500254549,1292.74044348268,1010.20794322813,L056,0.729453259582989
L001T,561.773956983359,1178.86984002926,1740.64379701262,L001,0.652063378465233
L003T,-517.453834989814,285.295705429568,-232.158129560246,L003,0.841410057877798
L004T,-240.381053673393,744.329414698062,503.948361024669,L004,0.778225630332374
L005T,-724.967970968358,81.2746606046783,-643.69331036368,L005,0.872500070185919
L008T,-430.884920877543,762.802452961509,331.917532083966,L008,0.79383378568628
L010T,-789.411586881441,386.362799189223,-403.048787692218,L010,0.854699660424318
L012T,-568.773970312913,656.86309694023,88.0891266273175,L012,0.815086601824127
L014T,-522.844182166726,115.288504474426,-407.5556776923,L014,0.855042903820626
L016T,-277.89449034974,1429.31636016806,1151.42186981832,L016,0.715118592317287
L017T,-1357.14177278408,231.456988278349,-1125.68478450573,L017,0.904858233316096
L019T,-172.223202207792,1479.52015509422,1307.29695288642,L019,0.698939155795123
L021T,750.019237331862,1373.08263102174,2123.1018683536,L021,0.608494771747619
L023T,-704.836414730433,15.0536711530407,-689.782743577393,L023,0.875785743845551
L024T,-573.478440319793,516.149154173397,-57.3292861463965,L024,0.827266396854461
L025T,-1051.23453475114,-521.01614818729,-1572.25068293843,L025,0.93080069317536
L026T,-709.338342324177,445.454153791849,-263.884188532327,L026,0.843917563725361
L028T,-831.459489440989,1043.35216864512,211.892679204132,L028,0.804424304869351
L030T,-873.899964095121,1013.53784459549,139.63788050037,L030,0.81067958987058
L032T,-1161.54598659324,-41.9145385077169,-1203.46052510096,L032,0.909659344872054
L033T,-1677.93182175088,-702.429181741393,-2380.36100349227,L033,0.967517382049893
L035T,510.169795956562,1305.52444284837,1815.69423880493,L035,0.643671634520426
L037T,3.8253012037823,1570.39369926933,1574.21900047311,L037,0.670388348122689
L038T,-1049.8279022255,144.135453831112,-905.69244839439,L038,0.890641610580149
L039T,-0.57317164474166,1212.51396987207,1211.94079822732,L039,0.708880878823913
L040T,-124.53297415166,1201.70994314507,1077.17696899341,L040,0.722693912786726
L041T,-78.7861605744138,2325.98129585384,2247.19513527943,L041,0.593939608193712
L042T,-1133.41065687234,-185.24983054914,-1318.66048742148,L042,0.916552617910845
L076T,-1210.93520948084,238.909484784558,-972.025724696286,L076,0.895026772663057
L044T,182.194463511182,1156.38044319136,1338.57490670254,L044,0.695648231897314
L045T,-402.819337543163,464.978667254582,62.1593297114193,L045,0.817285769170127
L046T,-877.207675844249,-16.6578656297177,-893.865541473967,L046,0.889850875282603
L047T,-1137.6834228164,673.229285053268,-464.454137763134,L047,0.859344039082859
L048T,-165.57036921899,1725.12664598663,1559.55627676764,L048,0.67198383631113
L052T,-470.230763234996,1750.81894808912,1280.58818485412,L052,0.701737671393428
L056T,-525.202324791699,1119.14940238888,593.947077597184,L056,0.769861802133021
