,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
L001P,0.777707616870215,0.7827751817976,1.08799901592684,0.870736396870908,0.930648401999072,0.78594117691462,1.1079633658436,0.992708766680528,0.779698359306516,0.983476440682873,0.543886403302529,0.988877276054336,0.79355328341162,1.0524506091631,0.758115179557857,0.697480402991931,1.02523679522519,0.72965337729157,1.11647014975192,0.944835860164186,0.742037727276659,0.521545667047163,1.00182304134613,0.860818743815738,0.814681157160366,0.908051672279187,0.699736934748177,0.817605140170748
L003P,0.74623299195589,0.85941335244722,1.09330865860061,0.923073151417523,0.963130554782022,0.803346109283146,1.10471077522388,1.0320751937422,0.883738996268421,1.01133100217517,0.590908739806562,1.05291497654543,0.793668015875608,1.08764767477136,0.891294376924127,0.710251765690209,1.08469458722758,0.782995661169231,1.10221105197779,0.973584221254779,0.770487509608539,0.816713843206711,1.01656640094402,0.901876148762876,0.853439633116273,0.924490074952915,0.653148572418682,0.857602731633486
L004P,0.766546264424841,0.878820827307625,1.09342149533928,0.880225079138407,0.944449358836527,0.804420714327028,1.12535486428091,1.04309148539124,0.839604470393659,1.03483727635083,0.699478514491719,1.03587548851331,0.828393086985386,1.08667398214012,0.882941660435988,0.643413986721894,1.08312042237727,0.820261010650252,1.18395541191271,0.987682572967915,0.802143847228397,0.79400151432747,1.02261277957688,0.907226903310181,0.85825033033181,0.943773837311459,0.750948248487216,0.86547340141303
L005P,0.689990625037783,0.85246497543512,1.03829202455171,0.89679971617453,0.953905659377984,0.8074767236727,1.11634580549579,1.04104965494926,0.841883871120183,1.00965656815048,0.577507243447539,1.04042714364475,0.782475315459907,1.08041945255157,0.867507375457462,0.752771055996077,1.0742306023418,0.826285353429296,1.11665150100416,0.939148600853362,0.781514583808963,0.744781445500375,1.01234828690085,0.885239310495513,0.860400323315063,0.92680546335285,0.648577481656245,0.876979804960806
L008P,0.75331401024047,0.906769655260033,1.10584556181722,0.968068758660309,0.946562830681138,0.809262172304119,1.14621412631179,1.02802194130903,0.86483591921928,1.06236241618124,0.723704768158026,1.05252426081867,0.881217247622513,1.08732763644247,0.88705599164197,0.774814143419899,1.12708855729717,0.823051186374981,1.17428777112295,1.00059023072911,0.804006042369663,0.814754486139508,1.03078756599185,0.98271010945454,0.890528158028356,0.958079903465505,0.719578597025043,0.89682686058488
L010P,0.824755516741123,0.890100946562923,1.08539627267263,0.935959855167947,0.952056672078632,0.834844752638806,1.14201141482016,1.04830715996317,0.834456504286843,1.02749545655815,0.662342506040087,1.01977676938846,0.841634903902565,1.09895907986873,0.851280875884301,0.750209241385783,1.1081586745203,0.815617415315365,1.18604491720426,1.00125881770448,0.79225274672757,0.813632151594052,1.06864639211106,0.921933026608433,0.852002627711429,0.958275336154822,0.706129295485907,0.88224975099865
L012P,0.777931347623914,0.873852103293945,1.08023212404362,0.879740403369791,0.943548503567923,0.80105175154785,1.12763410284119,0.972814039180599,0.88843081427929,1.04898086471188,0.64225844995016,1.03068929486988,0.82581442209084,1.10456105088139,0.869569993133861,0.726811842312414,1.10889645967768,0.790079429722807,1.10746477266524,0.996421386701435,0.806198117544656,0.756975444958908,1.00091274307246,0.913154549637296,0.862905500638213,0.93767853656944,0.689666420350171,0.866061255715435
L014P,0.708174602441328,0.796017853603607,1.03357843669592,0.897585715232866,0.944690489444172,0.810394967048177,1.11452138356343,0.966778512612885,0.850691509332383,1.00404466577476,0.559224945670281,0.996898229007248,0.793117410689122,1.07579890296136,0.856965669218395,0.670239473175541,1.07312733070518,0.773636275271078,1.11632928671965,0.976835379519176,0.778077246746839,0.77675821021589,1.01706732814411,0.907725852097806,0.844262544209861,0.896571871249678,0.7230520668387,0.82275951228526
L016P,0.477590459882271,0.830430954348154,0.92573928834995,0.877726879347255,0.9711624405176,0.883273251825499,1.11377305752856,1.0089707479873,0.817813050793161,0.876645723420456,0.485764271509991,0.998409670381907,0.607674119310228,1.02730403911873,0.755136718534837,0.554848823752861,0.954166519975349,0.765865443248843,1.16093563814427,0.932705845333354,0.716565540626023,0.733484180720582,1.03626387212226,0.792376309463703,0.786102938517292,0.841344935266476,0.716505675183737,0.853839340499526
L017P,0.814899957555349,0.910183489916586,1.03403592053186,0.954999743165447,0.973464742535035,0.840820302884388,1.16420082434952,1.05208753566137,0.907675189222974,1.04296314113137,0.687137268811579,1.06404167544374,0.844589153221414,1.11081623884152,0.930499182923646,0.911450561432739,1.16752422783771,0.832229745590565,1.18702439642321,1.02558252067995,0.824584902974728,0.882083802182316,1.08062066722376,1.01655263753438,0.894683650620076,0.971453194969527,0.747247659784414,0.887456315494676
