,IDO1,CD274,HAVCR2,PDCD1,CTLA4,LAG3,PDCD1LG2
L001P,0.121534,0.196102,0.955999,0.420253,0.333846,1.85722,0.293138
L003P,1.55185,1.28199,4.51867,0.210994,0.0852604,1.61951,3.2496
L004P,2.50259,1.32093,2.21604,0.747315,0.518347,2.10494,1.8747
L005P,0.476383,1.17851,3.31464,0.0915344,0.07357,1.60196,1.20504
L008P,3.61147,2.41362,4.45717,0.861114,0.816136,2.21783,2.45101
L010P,2.11028,1.2929,2.57674,0.61003,0.408024,1.54968,1.62612
L012P,2.47102,2.20854,4.05483,0.425611,0.361874,3.46111,2.0565
L014P,0.585337,1.08037,2.43028,0.117366,0.0505421,1.37985,1.4588
L016P,0.267703,1.31211,0.990518,0.417076,0.0503698,1.10822,0.182076
L017P,0.707289,1.45525,4.46904,0.629391,0.543342,1.62759,1.3736
L019P,0.947434,0.27436,1.32339,0.257445,0.348221,1.45973,0.303567
L021P,1.06731,0.453808,1.37839,0.20738,0.0632364,1.72692,0.554675
L023P,1.96693,0.966261,3.09072,1.516,0.391073,3.04801,1.8704
L024P,2.11871,1.01924,4.25018,0.678118,0.396186,3.24852,1.96324
L025P,0.322904,1.24649,1.85965,0.226836,0.105673,1.88741,1.02794
L026P,0.64689,1.27482,1.94532,0.338565,0.248065,2.82942,1.36976
L028P,0.313774,0.909643,2.08023,0.447163,0.225711,4.29287,1.74062
L030P,0.375954,0.877361,0.950517,0.126474,0.128924,1.50047,0.773947
L032P,0,2.61047,5.12213,0.0528062,0.575318,4.15967,1.75277
L033P,0,0.197763,0.815209,0,0,8.38647,0.833524
L035P,0.0875983,0.807937,0.954802,2.67134,0.49529,1.23716,1.03555
L037P,0.631693,0.604758,1.79378,0.505649,0.0600542,4.31583,1.39829
L038P,0.16882,0.904085,2.36295,0.178684,0.116888,4.59663,1.01146
L039P,2.52484,0.684024,2.84933,2.09686,0.875324,3.92566,1.08204
L040P,0.648003,0.76986,1.39035,0.0567062,0.113624,1.58809,0.986285
L041P,2.02308,0.858592,2.08731,0.743943,0.819892,2.39244,1.55043
L042P,0.684456,0.414393,1.44907,0.241322,0.121515,2.54555,0.497802
L076P,0.916404,0.861459,2.44474,0.226461,0.58548,0.795998,1.5017
L044P,0.408222,0.846458,0.828924,0.123876,0.129335,3.53769,0.613757
L045P,0.358954,0.854386,1.6239,0.200913,0.0448574,1.90342,1.16634
L046P,0.968302,0.485385,3.14474,0.190208,0.102478,5.23832,0.88174
L047P,0.346937,0.699352,1.10122,0.18144,0.661063,1.8074,0.740796
L048P,1.27916,0.533524,2.04851,0.267495,0.205983,5.65478,0.540308
L052P,0.859489,0.549599,2.67447,0.422484,0.195174,7.83539,0.72034
L056P,2.49601,0.764732,1.8953,0.236398,0.147625,3.09825,1.48045
L001T,1.08012,0.845056,3.80738,0.633246,0.978679,0.806768,0.878279
L003T,0.531639,0.821252,2.29687,0.0681826,0.168556,0.0490559,0.603099
L004T,1.0608,0.748879,2.68516,0.422491,0.535289,0.484491,1.20248
L005T,1.09122,0.75074,1.47843,0.140606,0.38309,0.341273,0.366825
L008T,1.94528,0.66313,2.9757,0.953674,1.09284,1.49927,1.34556
L010T,2.07629,0.541789,2.90669,0.999204,1.12106,2.46531,0.998761
L012T,1.0424,1.15023,1.68096,0.210707,0.148982,1.36187,0.422243
L014T,1.39153,0.557867,1.97854,0.0495875,0.0527527,0.416994,1.15641
L016T,0.334381,0.655911,3.64044,0.811019,0.152832,4.86991,0.891393
L017T,1.57253,0.60155,3.31097,1.18664,3.05057,2.73752,0.876899
L019T,3.22679,1.31391,2.25602,2.56325,1.07394,4.65652,0.974943
L021T,1.44874,0.68023,10.0815,0.685059,0.761095,0.939825,1.21437
L023T,0.495523,0.426189,0.880153,0.299593,0.10751,0.406254,0.393594
L024T,1.14189,0.403753,3.41512,0.130346,0.341013,0.703071,0.450142
L025T,0.20317,0.494996,0.871346,0.228328,0.0378009,0.505283,0.233066
L026T,0.27592,0.590662,3.21598,0.352366,0.275011,0.714875,0.705046
L028T,3.39103,0.916232,3.13441,1.44446,1.73212,1.07753,0.658254
L030T,5.54419,1.17898,2.3663,0.433439,0.915039,1.28724,1.01499
L032T,1.11859,0.254955,2.49681,0,0.0227335,0.15941,0.0929661
L033T,0.220104,0.1563,0.848621,0,0,0.0302431,0
L035T,1.93771,0.503822,8.80641,3.33738,1.92989,2.00554,3.58632
L037T,8.59861,0.371097,3.1857,2.66958,0.931878,2.84289,0.334717
L038T,0.521406,1.28844,1.87851,0.221488,0.41256,0.481745,0.729136
L039T,2.31114,0.544966,3.37976,0.523775,1.47553,1.39331,0.684678
L040T,3.77136,1.59768,2.24861,1.02095,1.898,1.24792,1.17469
L041T,9.838,1.82162,4.32183,2.24667,4.0052,1.79543,1.17527
L042T,0.590222,1.76346,3.65675,0.200966,0.610835,1.44879,0.467901
L076T,5.4009,0.467371,0.591753,0.898608,0.628312,0.863996,0.178554
L044T,1.9497,1.18354,4.50212,1.14065,1.25919,4.48018,0.923162
L045T,2.31449,1.03598,1.62498,0.58766,1.25417,1.1699,1.12975
L046T,0.739637,0.367421,1.38089,0.232835,0.676373,1.30023,0.205414
L047T,1.32522,0.551579,2.29165,1.0601,1.37243,1.3213,0.729924
L048T,4.28993,1.31725,4.00721,0.697678,1.27294,1.32525,2.88816
L052T,9.09204,6.8777,6.03409,1.04229,2.76992,6.74372,0.801524
L056T,5.0017,1.10856,1.98804,0.936926,1.87389,1.51544,1.10404
