SampleName,riskScore,riskClass
TCGA-2Y-A9GT_1,0.600363587366442,low
TCGA-2Y-A9GU_2,0.577990515607325,low
TCGA-2Y-A9GV_3,0.715019488749793,low
TCGA-2Y-A9GW_4,0.666269271810586,low
TCGA-2Y-A9GY_5,1.19035420099409,low
TCGA-2Y-A9GZ_6,0.582613312130197,low
TCGA-2Y-A9H0_7,1.07938302141145,low
TCGA-2Y-A9H1_8,0.69510536607121,low
TCGA-2Y-A9H2_9,0.937125095129124,low
TCGA-2Y-A9H3_10,0.779625966798988,low
TCGA-2Y-A9H4_11,0.611056499382263,low
TCGA-2Y-A9H5_12,0.703748622557155,low
TCGA-2Y-A9H6_13,0.619747789988076,low
TCGA-2Y-A9H7_14,0.877868730924832,low
TCGA-2Y-A9H9_15,0.644291555178884,low
TCGA-2Y-A9HA_16,0.903851925705279,low
TCGA-2Y-A9HB_17,0.62193985993591,low
TCGA-3K-AAZ8_18,0.54097712784505,low
TCGA-4R-AA8I_19,0.758216590261318,low
TCGA-5C-A9VG_20,1.7979144525587,high
TCGA-5C-A9VH_21,0.624139683313015,low
TCGA-5C-AAPD_22,0.817687313662414,low
TCGA-5R-AA1C_23,0.787927956326327,low
TCGA-5R-AA1D_24,0.800546994261952,low
TCGA-5R-AAAM_25,4.71756612588454,high
TCGA-BC-4073_26,1.0012427310557,low
TCGA-BC-A10X_27,2.27453239512671,high
TCGA-BC-A10X_28,1.03121199437418,low
TCGA-BC-A10Z_29,1.067445828059,low
TCGA-BC-A10Z_30,1.01198810543739,low
TCGA-BC-A216_31,0.883363244753813,low
TCGA-BC-A216_32,1.36299303042376,low
TCGA-BC-A217_33,0.898301408781635,low
TCGA-BC-A3KF_34,0.662749909403837,low
TCGA-BC-A3KG_35,2.25189517357282,high
TCGA-BC-A5W4_36,0.451068807811425,low
TCGA-BC-A69H_37,1.00756165441414,low
TCGA-BC-A69I_38,0.569394506421646,low
TCGA-BC-A8YO_39,2.03164313945007,high
TCGA-BD-A3EP_40,1.10862011236417,low
TCGA-BD-A3EP_41,0.674553967176286,low
TCGA-BD-A3ER_42,0.630785948746857,low
TCGA-BW-A5NO_43,0.684148406584033,low
TCGA-BW-A5NP_44,1.02945417461779,low
TCGA-CC-5258_45,30.8863728957615,high
TCGA-CC-5259_46,1.75602730671049,high
TCGA-CC-5260_47,3.77544428392508,high
TCGA-CC-5261_48,1.45167686517778,high
TCGA-CC-5262_49,0.864030868941161,low
TCGA-CC-5263_50,2.53836110642988,high
TCGA-CC-5264_51,1.44411416040866,high
TCGA-CC-A123_52,1.55083069399228,high
TCGA-CC-A3MA_53,4.64349167438475,high
TCGA-CC-A3MB_54,1.67705097532233,high
TCGA-CC-A3MC_55,1.34901539651138,low
TCGA-CC-A5UC_56,2.0845592915505,high
TCGA-CC-A5UD_57,3.26282959836998,high
TCGA-CC-A5UE_58,1.8005863506809,high
TCGA-CC-A7IE_59,6.11651895391647,high
TCGA-CC-A7IF_60,1.07702171579509,low
TCGA-CC-A7IG_61,3.88427183345926,high
TCGA-CC-A7IH_62,0.486605217530308,low
TCGA-CC-A7II_63,9.72949634959661,high
TCGA-CC-A7IK_64,4.11592004871251,high
TCGA-CC-A7IL_65,0.911025073516831,low
TCGA-CC-A8HS_66,1.61371172061424,high
TCGA-CC-A8HU_67,2.5577579203543,high
TCGA-CC-A8HV_68,1.18036662790671,low
TCGA-CC-A9FS_69,0.606852341386785,low
TCGA-CC-A9FU_70,2.12722883483313,high
TCGA-CC-A9FW_71,0.973486468653022,low
TCGA-DD-A113_72,0.650003882790408,low
TCGA-DD-A113_73,1.14540114283861,low
TCGA-DD-A115_74,0.695663298500371,low
TCGA-DD-A116_75,0.573686596528503,low
TCGA-DD-A116_76,0.6100331680532,low
TCGA-DD-A118_77,0.444707997850894,low
