,Erlotinib,Rapamycin,Sunitinib,Paclitaxel,Cyclopamine,AZ628,Sorafenib,Imatinib,Dasatinib,CMK,Pyrimethamine,GW843682X,Parthenolide,Bortezomib,Roscovitine,Salubrinal,Lapatinib,GSK269962A,Doxorubicin,Etoposide,Gemcitabine,Vinorelbine,Bicalutamide,QS11,Midostaurin,AZD6482,DMOG,Shikonin,Embelin,FH535,Thapsigargin,Bexarotene,Bleomycin,AUY922,Pazopanib,Tipifarnib,AS601245,AICAR,Camptothecin,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Methotrexate,ATRA,Gefitinib,Vorinostat,Nilotinib,RDEA119,Temsirolimus,Bosutinib,Lenalidomide,Axitinib,Elesclomol,PLX4720,GDC0941,AZD8055,SB590885,CCT007093,CCT018159
TCGA.FV.A3I0.01A.11R.A22L.07,4.78970428381601,-0.141228650462407,4.46151011660317,-3.2574400431607,6.70682191018106,3.9784511170427,3.98170201833653,4.88792277725119,1.94814818936817,3.7566851661172,4.03778069588037,-2.35558359986182,5.24099540636409,-4.44807443746608,4.84174460804023,4.11198096095695,4.02196328205518,3.64704960640298,-1.95787978915456,2.19671325867099,-2.62681447471158,-2.86058285782253,4.15238460466985,3.64816580492093,-0.0949077564214571,3.15293172129737,8.66999380551887,0.125797587157942,2.64007047199598,1.7533884747071,-3.74054859103989,4.31913766587284,0.0863782388555787,-3.16759087922028,4.3535746430792,0.880802062314103,2.99312856213522,8.21684945845209,-3.95387894225333,-4.06990474684767,3.26582932281728,0.903578669378745,-5.36412642916083,1.1446577226831,5.43551982570564,1.51612847609518,1.48601063176232,4.46866791025635,2.27249916679011,0.0845542838489752,2.83388353008065,5.66561630799153,3.62121855752185,-1.24122984159776,4.34613766946664,2.52050835276624,0.754586066309617,6.05106565469863,5.58151948742092,3.92338910904418
TCGA.BD.A3ER.01A.11R.A213.07,4.40674258697931,-0.228159174367265,3.17560898090246,-2.83409739383098,6.43234724658808,2.31341545472369,3.8490397871765,4.95501367667341,1.49695070551108,3.90949352413385,4.1654308367102,-2.29862254291187,4.7429638954736,-5.49814416625944,4.785836356267,4.11814623134123,4.23428462400327,3.61588404451616,-1.91419779638494,1.74174799822632,-2.51606007965293,-3.84072880115113,4.42212237870216,4.02888790333048,0.375972305063479,3.04014192589708,6.13390529774677,0.224160859443421,2.76695853865732,2.15630254194238,-4.14915530820908,4.61825689955891,1.64706833076105,-2.83000777621371,4.42481293651472,2.48871669488795,3.10655986361212,8.01259661203937,-4.10759656030092,-4.13238761075787,3.33519882990077,0.64349641267282,-5.61465502395306,1.13724493626655,5.31026869787144,1.88942451133237,1.34120447666965,4.29037427184685,1.87898180936972,-1.42496107824033,2.76294325432088,5.51348971312127,3.43308957392533,-2.87884569709054,4.81074581144382,1.62330390165972,0.304148415523853,5.248442007036,5.60400376803388,3.14793297692631
TCGA.CC.5261.01A.01R.A131.07,4.29939647538924,0.0222711510910063,2.82570597011532,-3.44795758990723,6.49281888914888,3.02927700187803,3.86871431113716,4.9533065569371,-0.148030270348002,3.35608127238236,3.6130287616481,-2.72335675969998,4.99347773988326,-5.27050699909366,4.8273503018231,4.47879815554428,4.30537301653345,3.55178993218549,-2.04078481183841,1.3031845705366,-2.37278162651491,-3.51564107358491,4.41501839929754,3.332810469798,0.355689736599332,3.28243029606563,6.34899394238576,-0.310930274858698,2.4671127933388,1.75056801505029,-4.88636809234498,4.42297121540157,0.0326105107506933,-2.7900566831503,4.70601664899575,2.25791222722844,3.15980664270541,8.50256830145173,-3.77859473962875,-4.16820631505184,3.47417775809718,0.827937984172106,-4.88224758064645,1.15452915530789,5.19319065712625,2.41699203500329,1.17462687772974,4.28847472343013,1.65309038215968,0.0274558279754427,2.85046436482133,5.4456195645569,3.37567634372307,-3.13893186807912,5.1367970411334,2.13181537886743,0.506679310005032,5.12607183504489,5.58858557171679,3.34492805737494
TCGA.DD.AAVZ.01A.11R.A41C.07,4.41820007483312,-0.136273616943129,3.34850703620047,-3.07564616975106,6.50850699547774,2.89591843814004,3.7827446030161,4.99686527346101,2.07315326903541,3.90825839959808,3.68188563732581,-2.27687704823575,5.05202145945318,-4.43142052793861,4.83544480551413,4.20945263875947,4.2303398068105,3.79526253160036,-1.92935245289817,1.4013102492072,-2.24752230660831,-3.9188888206351,4.49354527121728,3.65615680120836,0.868227995525974,3.59359902693075,6.80712390413562,0.154707561449852,2.92193138985446,1.83527980036519,-4.12826223163567,4.79436894117701,1.31913573093048,-2.45723758769161,4.78156384743805,2.42664927137295,3.18947112667358,8.36466064956767,-4.02847115349983,-4.10990830041857,3.7005217361748,0.662590812168424,-5.10468423053562,1.34165989816699,5.22899693218613,2.14239747108995,1.21300047687083,4.23428573206733,2.10041518790482,-0.814690769638064,2.56448107360015,5.38022167366292,3.39917292312096,-3.07911353714908,5.20603472054109,2.06297802467114,0.359446451905606,4.70885391016268,5.61398618678914,3.40611515867818
TCGA.DD.AADN.01A.11R.A41C.07,4.75630426562261,-1.23965834420557,1.83468526593883,-4.08837340058705,6.32983609788309,2.03286981172768,3.81748001272117,5.18506277096585,2.92326034096085,2.96066228158676,4.04937697453813,-3.40564901998993,4.2554908277014,-5.41926585590893,4.78362951934953,3.4206217959715,4.93234477478603,3.70518607527478,-2.09427092459364,0.810147551281272,-3.00074568825442,-3.50910297335261,4.71403380108211,3.61258611506925,1.25775311557537,4.56570106422946,6.3111158311902,0.417550019939293,3.17105050904786,2.74440686525658,-5.32189925230205,5.01499119211041,0.761012042015047,-3.10188481513667,4.80277716169519,1.83669774962732,3.33055171010331,7.52854410792821,-6.18103721138274,-4.53746975787963,2.83943196765315,-0.113048965037871,-5.81635233751222,-0.0376238693347499,4.93629925293106,1.86780341422965,0.880001707930007,3.9632807590976,2.02131923461335,-2.21930267731403,2.18345567984761,5.11153272707505,3.23440570602196,-3.35655691458221,4.43221960927901,2.0541261000984,-0.0829329257322584,4.3755919769143,5.6850917523437,2.71711005418043
TCGA.DD.A1EB.01A.11R.A131.07,4.80943798929745,0.187893434365776,3.89020933484269,-1.72439739284053,6.62958837331813,3.18039188653493,3.86712596746818,4.96797200770396,3.69557304976481,3.85446729147035,5.09346557880993,-1.29211996617252,5.21648297086518,-4.51132704119017,4.87305680767377,4.5098060429079,4.66552332154848,3.79190518836263,-1.75616328392426,2.1363516007998,-2.1033944083892,-3.88004073284156,4.52357802409889,3.98552412044744,0.776964986576005,3.07187716720166,6.15132524355002,0.286949967166569,2.74642291762358,2.03760939683723,-3.84524381126868,4.89397974334212,2.85693330833851,-2.50581875331996,4.4651060563644,2.39336982440017,3.17636586142741,8.169359456521,-2.91495826278288,-4.10197180939573,4.26970802627761,1.74233761469623,-4.86193386228363,1.34108510037339,5.25393076958315,2.55685562376165,1.27933143230752,4.1076447448689,2.65545424774488,-0.7016477751396,2.92138825550351,5.32273442381873,3.37987988582024,-2.72912158645684,5.06264953269988,2.75295478703425,0.508655581466535,4.78440135840081,5.57625742983576,3.4047481129696
TCGA.LG.A9QD.01A.11R.A38B.07,4.54425266799805,-0.211234310709813,3.22482856089959,-3.0646846959955,6.40188032715593,2.26252178012183,3.82424959352167,4.98837395992746,2.42336927752408,3.54576015798743,4.23780076215721,-2.43732991949448,4.68619850778971,-5.23827314721705,4.77923667083123,3.95582395703509,4.25155279372024,3.71434627152949,-1.96208827613155,1.06506317652595,-2.53220840974618,-4.06716615850474,4.51729788068691,3.99688325345062,0.798122378845002,2.99193142663056,6.54435069263104,0.0147848186890762,2.92678915389159,2.35116241763479,-3.15818350044174,4.91766646629343,1.06011077272983,-2.59959679913818,4.6599932387092,2.05736327866949,3.11020676000311,7.81933306870354,-4.42934286473494,-4.20251843602528,3.64512212062229,0.592725172846092,-5.4396561106094,0.887771051998415,5.23156618985836,1.57678631495485,1.29017338564657,4.25066615063072,2.0756253195492,-1.45090264661517,2.63180773712628,5.30432644901516,3.43144102672821,-2.4348676429953,4.86606571961554,2.21376352766959,0.384307561439877,5.03204010794261,5.60826333607164,3.10031140558942
TCGA.G3.A25T.01A.11R.A16W.07,4.48624235859508,-0.88493596699754,4.40636599920539,-3.31935822198242,6.60582249233207,3.79151558170777,3.89685475539293,5.04653436157559,2.33512909329113,3.62493262544174,4.44708660805535,-2.38796196422595,5.06347700379591,-4.59594610588023,4.83833727180819,4.13468627551906,4.14035257622768,3.71491293661044,-2.03964297222214,1.84699268689184,-2.81083775217482,-3.23769228105868,4.38831175421961,3.70127187946131,0.285010037900633,4.13522992990048,7.30267332356914,0.103378003099458,3.15876656509567,2.43750614437948,-3.26620209614507,4.89780944841281,0.465493097608471,-3.17692703407348,4.36149577186615,1.47809755734121,3.10620222238536,8.20724882324572,-4.50704409071399,-4.1363004490767,3.21995907232766,0.525626383931284,-5.355077165819,0.103239105101794,5.32494894531694,1.12059746479496,1.31399264398086,4.36450473604951,1.87897564496616,-1.30730630993567,2.16696997813368,5.50174434214916,3.52670370899708,-2.38462082066039,4.89612547157146,2.90648570107054,0.494882149253188,5.49087786915344,5.57063228994632,2.77886128859718
TCGA.XR.A8TE.01A.11R.A36F.07,5.14344939607107,0.38596740389926,4.01045255354143,-1.61248943256006,6.58562432743718,1.92894085312668,3.84471170999324,4.92081203656604,2.79525144931238,3.99059313699536,4.07785278112152,-1.08451367525145,5.17762114742057,-4.63414806081241,4.86492163239603,4.59665335731312,4.7412163192785,3.69693544489915,-1.95268253871818,1.72352198458596,-2.55380160184169,-4.21995196004705,4.42444040383764,3.4229618110464,0.464713403591129,3.73117628864617,6.428649194383,0.506180597744764,2.46883818175072,1.84397420136428,-4.90745608834101,4.68503217702047,1.05391855608278,-2.96072710097654,4.14492337768509,1.75485898306739,3.0968239816917,8.65326978656842,-3.9221671195132,-4.15667834988921,3.12606000720804,0.568062561721987,-5.38472253083168,0.946301309981269,5.25401727491085,2.92179486683996,1.18686348291135,4.189204276009,1.86700654426209,-0.293057858836649,2.9915822603447,5.49552813977303,3.32195781746535,-2.7847054720123,5.17330004225703,2.21269176640377,0.574874455250702,5.03648363409359,5.60336016849844,3.32434360675914
TCGA.DD.AACA.01A.11R.A41C.07,4.51355807011554,-0.00577429717384526,3.68364767825391,-2.14401776153053,6.44108460949449,2.55220750861508,3.90488848516683,4.97780785130065,2.02020140976244,3.32320468576702,5.13948586045586,-1.85668337364164,5.06736251244281,-5.47889352316347,4.91805152701018,4.11937193818923,4.31572998272477,3.65348762232021,-1.90930225592689,2.20497694178207,-2.44334507541618,-3.53079184260302,4.52886191680227,3.7133026910689,0.467123935540272,3.29370869869416,6.95424572784662,0.365083042690177,2.67375284218834,2.00547495042406,-4.29269089920345,4.65398268939574,1.38549511436889,-2.33372803259127,4.46757546232119,2.22976523125193,3.12470616756289,8.93170254060646,-3.42872039463346,-4.16176407310136,3.92525026735599,0.797110174126157,-4.83793613798715,1.34413184683316,5.21648468974816,2.38398048405768,1.11881802331557,4.33394607745506,1.72562668791382,-0.460207980814099,2.71572853365817,5.47917599311118,3.31974633171025,-2.7957812409216,5.09653639492519,1.55216311368554,0.332708950531019,5.145864358631,5.61820690099084,3.77357463676987
