Cell	UMAP_1	UMAP_2	Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Patient	Sample	Tissue
HCC2_COL3_ROW5	8.35028074303643	-11.1994421905547	7	Immune cells	B	B	Patient 2	Patient 2	Tumor
HCC5_COL1_ROW1	7.60596178093926	-11.8227179473906	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL1_ROW2	9.43704889336602	-9.61548737945848	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL1_ROW4	8.23851964989678	-11.3844111389189	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL1_ROW5	7.35867689171807	-9.89539365234667	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL1_ROW6	8.28355691948907	-11.6828225082427	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL1_ROW7	8.50857065239922	-11.2735722488432	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL1_ROW12	8.50339124718682	-11.8742373413115	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL1_ROW15	7.63339040795342	-9.62376336517626	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL1_ROW21	9.61315725365655	-9.74965123596483	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL1_ROW24	7.61898706475274	-11.8360817855864	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL1_ROW29	8.48056219140069	-11.9773810333281	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL1_ROW37	9.60243890801446	-9.68594960632616	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL1_ROW38	9.72298238793389	-9.79361180725389	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL1_ROW39	7.55212781945245	-9.37652806701952	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL2_ROW4	8.29150007287041	-11.3060381835967	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL2_ROW9	8.25444410363213	-11.5968850082427	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL2_ROW19	8.4838590435125	-11.8489220565825	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL2_ROW33	7.6282386592962	-10.0445168441802	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL3_ROW11	7.53148839989678	-9.87174062195116	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL3_ROW17	8.33931539574639	-11.5799735015898	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL3_ROW23	7.66437528649346	-11.8558152145415	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL3_ROW25	7.85391614953057	-11.7943032211333	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL3_ROW29	7.57960031548516	-11.4581702178984	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL3_ROW32	8.44459913292901	-11.5165188735991	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL3_ROW34	8.2093229107	-11.8011315292388	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL4_ROW4	7.63165281334893	-9.34366921844774	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL4_ROW6	8.38498971978204	-11.5014851516753	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL4_ROW8	7.94752023736016	-11.5490048355132	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL4_ROW10	7.74003503838555	-12.0266354507475	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL4_ROW11	8.35127828637139	-11.6269400543242	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL4_ROW13	8.08741090813653	-12.071998876956	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL4_ROW17	7.01267812767999	-11.0559370941191	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL4_ROW19	7.25592039147393	-11.7567332214385	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL4_ROW26	7.33400056878106	-11.7454579299956	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL4_ROW29	8.52801702538506	-11.9167912429839	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL4_ROW34	9.79711912194268	-9.83656815948778	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL4_ROW40	8.23361871758477	-11.732344908145	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL5_ROW2	8.21734140435235	-11.6834938949614	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL5_ROW5	7.77814291039483	-11.7453396743804	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL5_ROW9	8.23067091027276	-11.2610638565093	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL5_ROW19	8.08864973107354	-10.7611515945464	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL5_ROW28	7.82242105523126	-11.5248845047026	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL5_ROW30	7.82544801751153	-11.9438546127348	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL5_ROW31	9.65205667534844	-9.73743752899462	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL5_ROW34	8.4959668926336	-11.3072398132353	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL5_ROW36	7.67753980675713	-9.7948039001494	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL5_ROW38	7.76284025231377	-10.1970303482085	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL5_ROW40	7.60619543114678	-10.2016518539458	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL6_ROW1	7.75492380181329	-11.9509852355986	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL6_ROW6	7.9272355846502	-11.5287259048491	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL6_ROW8	8.24964139977471	-12.0174782699614	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL6_ROW15	9.68545721093194	-9.74297551574999	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL6_ROW16	8.17079256096856	-11.4141219085723	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL6_ROW19	8.07404230156915	-11.4114621109038	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL6_ROW24	8.2390785030462	-11.5137312835723	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL6_ROW27	9.52768323937432	-9.68567971649462	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL6_ROW31	9.53936193505303	-9.61392716827684	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL6_ROW38	7.613038044367	-11.4308836883574	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL6_ROW39	7.61868665734307	-9.5397875732451	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL6_ROW40	8.66502092400567	-11.7881548828154	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW1	7.7766065410711	-11.8620999282866	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW2	7.45421598473565	-9.80780820312792	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW9	8.20308111229913	-11.2842801040679	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW12	7.66110132256524	-9.91326264801317	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW15	8.34984586754815	-11.8095391220122	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW17	7.21196935692803	-10.7422116226225	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW19	7.56490037957208	-11.509670538333	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW25	7.68374250451104	-11.9205658859282	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW29	7.23531244317071	-11.6973669952422	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW30	7.43283079186456	-9.8227580017119	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW32	7.65136716881768	-8.71252946319872	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW34	7.37559507409112	-10.2565606063872	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW35	7.69495199242608	-10.0668137496977	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL7_ROW36	8.31476305047051	-11.8038886016875	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL8_ROW6	7.57065008202569	-9.85071114960008	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL8_ROW14	9.66145608941094	-9.76528291168504	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL8_ROW15	7.51323793450372	-9.67002705993944	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL8_ROW18	9.48205564538018	-9.66181497040087	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL8_ROW22	8.40066907921807	-11.4678719467192	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL8_ROW23	8.03136251488702	-11.4903691238432	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL8_ROW28	8.48893735924737	-11.7643492645293	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL8_ROW40	8.06719587365166	-12.0097611373931	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW3	8.72761915246026	-11.8760102218657	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW10	9.67238424340264	-9.72425488891893	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW11	7.82442567864434	-11.882434172061	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW12	8.62639425316827	-11.6793148941069	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW14	8.26398275414483	-11.3593056625395	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW20	7.35057447472588	-11.5580256408721	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW21	8.46822069207207	-11.9013512558013	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW23	7.17108820000665	-11.7252295440703	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW26	9.65845964470879	-9.72650937500292	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW30	7.49141023674981	-9.42639188232713	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW1	7.83018682518975	-11.9409144348174	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW3	8.31375310936944	-11.290528578189	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW9	8.21153543511407	-12.0404227203398	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW10	9.4219398311712	-9.60763387146288	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW12	7.6754741481878	-11.729376119998	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW13	8.01954744378106	-11.511304182437	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW14	7.98072431603448	-11.2146208709746	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW18	7.82167528191583	-11.6664355224639	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW25	8.41240308800713	-11.7872479385405	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW26	7.63667009392754	-9.26906518402391	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW28	8.15348337212579	-11.6522725051909	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW33	6.38498018303887	-10.0050690597563	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW35	8.33760736504571	-11.5998652404814	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
