CD8T	Malignant	Mono/Macro	Tprolif	B
A1BG	0.25263	0.98766	0.26289	0.14958	0.40609
A1BG-AS1	0.00675	0.00151	0	0.01318	0.00628
A1CF	0.18116	1.02046	0.28131	0.09643	0.05849
A2M	0.30057	1.1304	1.54074	0.07468	0.13678
A2M-AS1	0.10407	0.01183	0.02789	0.07407	0.01789
A2ML1	0.02873	0.03597	0.04088	0.04323	0.03372
AAAS	0.04585	0.108	0.03852	0.04534	0.05258
AACS	0.01297	0.02791	0.01435	0.0062	0.00329
AACSP1	0.01015	0.00698	0.00762	0	0
AADAC	0.03047	0.33243	0.06391	0.01021	0.01226
AADAT	0.00155	0.0269	0.01363	0.02472	0.00015
PRXL2C	0.00965	0.02232	0.03531	0.02675	0.01149
AAGAB	0.15816	0.10265	0.0693	0.19957	0.04015
AAK1	0.80955	0.48331	0.63499	0.7909	0.52114
AAMDC	0.05639	0.21417	0.07727	0.09546	0.04444
AAMP	0.08229	0.21023	0.20559	0.12691	0.13587
AAR2	0.08868	0.14995	0.08167	0.08811	0.07097
AARD	0.41275	0.49097	0.39554	0.25338	0.52458
AARS	0.12002	0.45149	0.15878	0.1858	0.47955
AARS2	0.26678	0.28028	0.23156	0.19611	0.26011
AASDH	0.05238	0.05988	0.07118	0.10653	0.02261
AASDHPPT	0.11843	0.17929	0.06091	0.06769	0.10375
AASS	0.08961	0.45562	0.08779	0.0168	0.01102
AATK	0	0.00328	0.01229	0	0.00054
ABAT	0.07026	0.273	0.11796	0.01334	0.01534
ABCA1	0.0416	0.25536	0.79623	0.00302	0.02243
ABCA10	0.00323	0.04799	0.00392	0.00038	0.01327
ABCA11P	0.00095	0.00747	0.00945	0.00136	0.00639
ABCA13	0.00231	0.00813	0.00213	0.00216	0.00288
ABCA17P	0	0.00318	0.00272	0	0
ABCA2	0.00898	0.01538	0.00715	0.00161	0.00131
ABCA3	0.00257	0.01916	0.03954	0.00467	0
ABCA4	0.00041	0.00349	0	0	0.00048
ABCA5	0.09232	0.34956	0.08932	0.03915	0.18462
ABCA6	0.02778	0.16519	0.07923	0.00773	0.00778
ABCA7	0.10754	0.07756	0.1738	0.07691	0.24898
ABCA8	0.01722	0.04775	0.0213	0.01097	0.02311
ABCA9	0.01724	0.07274	0.03639	0.00691	0.03692
ABCB1	0.21004	0.21002	0.06092	0.11544	0.04249
ABCB10	0.0255	0.08454	0.04117	0.04404	0.03841
ABCB11	0.02675	0.18783	0.06032	0.01583	0.01182
ABCB4	0.17486	0.42312	0.10602	0.13387	0.21552
ABCB5	0.03561	0.05757	0.05456	0.02241	0.0553
ABCB6	0.07736	0.30119	0.11874	0.05193	0.01243
ABCB7	0.06476	0.09673	0.09709	0.12827	0.10997
ABCB8	0.00312	0.01983	0.0274	0.00158	0.00298
ABCB9	0.00383	0.01063	0.01407	0	0.02723
ABCC1	0.05355	0.02239	0.1375	0.13119	0.07725
ABCC10	0.0233	0.04095	0.01667	0.05028	0.01592
ABCC11	0	0.00338	0.00112	0	0
ABCC13	0.01491	0.02663	0.03418	0.01957	0.01383
ABCC2	0.21342	0.7906	0.25962	0.05365	0.13314
ABCC3	0.05759	0.36889	0.17718	0.01676	0.02678
ABCC4	0.06864	0.09554	0.08053	0.01483	0.0696
ABCC5	0.03966	0.11972	0.51272	0.12939	0.03763
ABCC6	0.03684	0.30892	0.07289	0	0.01269
ABCC6P1	0.01957	0.14029	0.0187	0.00181	0
ABCC6P2	0.00037	0.01897	0.00271	0	0
ABCC8	0	0.0026	0.00148	0	0
ABCC9	0.19899	0.2889	0.14579	0.1901	0.19219
ABCD1	0.0348	0.03344	0.03125	0.00395	0.00722
ABCD2	0.06276	0.00242	0.00391	0.02328	0.09829
ABCD3	0.12099	0.40652	0.15016	0.07078	0.05172
ABCD4	0.02219	0.05088	0.03853	0.01982	0.04121
ABCE1	0.11589	0.15382	0.14276	0.27463	0.11185
ABCF1	0.69461	0.90738	0.72519	1.19491	0.70559
ABCF2	0.1319	0.15723	0.13838	0.19359	0.17442
ABCF3	0.07238	0.0892	0.0587	0.05709	0.10463
ABCG1	0.02553	0.03828	0.12699	0.04848	0.0189
ABCG2	0.0085	0.08272	0.0233	0.01864	0.01025
ABCG5	0.042	0.36949	0.06841	0.00175	0.00459
ABCG8	0.0391	0.19635	0.05646	0.00042	0.00307
ABHD1	0	0.01887	0.00825	0	0.00069
ABHD10	0.08318	0.13941	0.11102	0.26354	0.04936
ABHD11	0.1486	0.17203	0.16632	0.11338	0.22321
ABHD12	0.0959	0.251	0.33633	0.13474	0.20317
ABHD12B	0.00051	0.00024	0	0.00098	0
ABHD13	0.05646	0.05406	0.0302	0.02858	0.05729
ABHD14A	0.11915	0.06647	0.0384	0.27379	0.17042
ABHD14B	0.13609	0.20093	0.09211	0.30087	0.23148
ABHD15	0.19095	0.20237	0.16838	0.16379	0.21306
ABHD16A	0.06999	0.10291	0.05255	0.04812	0.10153
ABHD17A	0.18273	0.07262	0.0561	0.14461	0.08366
ABHD17B	0.08652	0.03719	0.02889	0.03619	0.0608
ABHD17C	0.02848	0.05833	0.01554	0.00914	0
ABHD2	0.29328	0.58569	0.41456	0.36077	0.11498
ABHD3	0.04115	0.05523	0.03872	0.07408	0.0363
ABHD4	0.01698	0.05692	0.03919	0.02503	0.0463
ABHD5	0.08555	0.09546	0.07611	0.14797	0.13597
ABHD6	0.01883	0.0964	0.07359	0.01253	0.00453
ABHD8	0.00477	0.02442	0.01283	0.00861	0.00824
ABI1	0.29309	0.19992	0.21337	0.22907	0.15141
ABI2	0.33634	0.3755	0.36792	0.29751	0.29313
ABI3	0.24087	0.01889	0.17495	0.48234	0.06033
ABL1	0.05981	0.06826	0.0544	0.04443	0.03393
ABL2	1.22333	1.2791	1.43223	1.01618	1.34082
ABLIM1	0.2442	0.24994	0.14256	0.28188	0.05479
ABLIM2	0.00179	0.02521	0.00489	0.00239	0
ABLIM3	0.02394	0.09018	0.06062	0.0136	0.02574
ABR	0.05661	0.00476	0.18042	0.21299	0.0215
ABRACL	0.17396	0.0288	0.08233	0.27852	0.09948
ABT1	0.04542	0.066	0.03481	0.09126	0.03338
ABTB1	0.07534	0.07483	0.10332	0.08719	0.12823
ABTB2	0.0049	0.02489	0.00689	0	0.00793
ACAA1	0.23657	0.7005	0.3188	0.17136	0.19152
ACAA2	0.24948	0.52927	0.2662	0.52442	0.19701
ACACB	0.05039	0.30173	0.13525	0.03351	0.02876
ACAD10	0.06174	0.15854	0.05983	0.0447	0.05516
ACAD8	0.03461	0.0651	0.02051	0.02483	0.03574
ACAD9	0.05099	0.1443	0.16071	0.21322	0.06276
ACADL	0.00902	0.03629	0.01122	0	0
ACADM	0.16265	0.36781	0.2047	0.35826	0.27651
ACADS	0.07141	0.13528	0.04267	0.12298	0.04996
ACADSB	0.20926	0.75286	0.42213	0.16106	0.08676
ACADVL	0.2815	0.63638	0.31887	0.7465	0.81899
ACAP1	0.40614	0.02032	0.01271	0.48602	0.22967
ACAP2	0.47718	0.3221	0.43292	0.54322	0.2274
ACAP3	0.05551	0.0844	0.05507	0.1768	0.11478
ACAT1	0.11556	0.53586	0.21203	0.11616	0.12951
ACAT2	0.11165	0.29909	0.08659	0.18988	0.05792
ACBD3	0.29305	0.35097	0.40585	0.4337	0.60224
ACBD4	0.01841	0.0488	0.02353	0.01733	0.02298
ACBD5	0.12808	0.27103	0.1192	0.15402	0.10347
ACBD7	0.06234	0.10501	0.08348	0.06785	0.08464
ACCS	0.02868	0.05957	0.02235	0.04171	0.03223
ACD	0.04823	0.07459	0.09205	0.0983	0.04215
ACE	0.00492	0.00109	0.02511	0	0
ACE2	0.02746	0.00658	0.00197	0	0.00295
ACER3	1.70499	1.76287	2.06182	1.45086	1.93878
ACHE	0.00379	0.01184	0.01616	0	0.00959
ACIN1	0.56307	0.43924	0.76362	0.98257	0.65461
ACKR2	0.0141	0.02003	0.00803	0.00191	0.0154
ACKR3	0	0.00552	0.00156	0	0
ACLY	0.19779	0.17947	0.1662	0.22881	0.09761
ACMSD	0.00533	0.03377	0.01003	0.0053	0.0025
ACO1	0.03336	0.14105	0.05544	0.0223	0.03462
ACO2	0.1525	0.26697	0.18805	0.26198	0.33675
ACOT11	0.00207	0.00641	0.01183	0	0
ACOT12	0.02711	0.20186	0.058	0.00411	0.01419
ACOT13	0.12535	0.26874	0.10767	0.15003	0.0661
ACOT2	0.03731	0.10301	0.04514	0.00203	7e-04
ACOT4	0.01394	0.0487	0.02922	0.01829	0
ACOT7	0.08037	0.14502	0.07557	0.61673	0.04044
ACOT8	0.03201	0.07406	0.00615	0.15427	0.07748
ACOT9	0.35554	0.35624	0.43473	0.38404	0.31411
ACOX1	0.14369	0.41671	0.23508	0.13661	0.13162
ACOX2	0.0246	0.11222	0.02524	0.00098	0.01205
ACOX3	0.05796	0.07353	0.01989	0.08484	0.04634
ACOXL	0.01513	0.00103	0	0.01289	0.07455
ACP1	0.13872	0.22151	0.13016	0.37977	0.23975
ACP2	0.02827	0.11508	0.21451	0.07553	0.11356
ACP5	0.01809	0.00682	0.08888	0.00504	0.01789
ACP6	0.05047	0.06051	0.02263	0.01809	0.00754
ACPP	0.00437	0.00358	0.02937	0.0016	0.00067
ACR	0	0.00634	0	0	0
ACRBP	0.00027	0.00308	0.05469	0.00102	0.0122
ACSBG1	0.00616	0.00582	0.00203	0	0
ACSF2	0.03794	0.15467	0.06417	0.05166	0.04984
