Malignant cells	Immune cells	Stromal cells
A1BG	0.98766	0.29998	0.14958
A1BG-AS1	0.00151	0.00431	0.01318
A1CF	1.02046	0.18036	0.09643
A2M	1.1304	0.6779	0.07468
A2M-AS1	0.01183	0.0534	0.07407
A2ML1	0.03597	0.03431	0.04323
AAAS	0.108	0.04527	0.04534
AACS	0.02791	0.01067	0.0062
AACSP1	0.00698	0.00639	0
AADAC	0.33243	0.0367	0.01021
AADAT	0.0269	0.00528	0.02472
PRXL2C	0.02232	0.01895	0.02675
AAGAB	0.10265	0.09405	0.19957
AAK1	0.48331	0.66745	0.7909
AAMDC	0.21417	0.06012	0.09546
AAMP	0.21023	0.13977	0.12691
AAR2	0.14995	0.08123	0.08811
AARD	0.49097	0.43882	0.25338
AARS	0.45149	0.236	0.1858
AARS2	0.28028	0.25283	0.19611
AASDH	0.05988	0.0503	0.10653
AASDHPPT	0.17929	0.09457	0.06769
AASS	0.45562	0.06653	0.0168
AATK	0.00328	0.00436	0
ABAT	0.273	0.07088	0.01334
ABCA1	0.25536	0.2942	0.00302
ABCA10	0.04799	0.00634	0.00038
ABCA11P	0.00747	0.00541	0.00136
ABCA13	0.00813	0.00241	0.00216
ABCA17P	0.00318	0.00093	0
ABCA2	0.01538	0.00616	0.00161
ABCA3	0.01916	0.01448	0.00467
ABCA4	0.00349	0.00029	0
ABCA5	0.34956	0.11767	0.03915
ABCA6	0.16519	0.03966	0.00773
ABCA7	0.07756	0.17061	0.07691
ABCA8	0.04775	0.0203	0.01097
ABCA9	0.07274	0.02941	0.00691
ABCB1	0.21002	0.11117	0.11544
ABCB10	0.08454	0.03455	0.04404
ABCB11	0.18783	0.03396	0.01583
ABCB4	0.42312	0.16294	0.13387
ABCB5	0.05757	0.04772	0.02241
ABCB6	0.30119	0.07296	0.05193
ABCB7	0.09673	0.08873	0.12827
ABCB8	0.01983	0.01138	0.00158
ABCB9	0.01063	0.01402	0
ABCC1	0.02239	0.08903	0.13119
ABCC10	0.04095	0.01892	0.05028
ABCC11	0.00338	0.00038	0
ABCC13	0.02663	0.02119	0.01957
ABCC2	0.7906	0.20628	0.05365
ABCC3	0.36889	0.08969	0.01676
ABCC4	0.09554	0.07298	0.01483
ABCC5	0.11972	0.20086	0.12939
ABCC6	0.30892	0.04227	0
ABCC6P1	0.14029	0.01368	0.00181
ABCC6P2	0.01897	0.00107	0
ABCC8	0.0026	0.00051	0
ABCC9	0.2889	0.17885	0.1901
ABCD1	0.03344	0.02571	0.00395
ABCD2	0.00242	0.05278	0.02328
ABCD3	0.40652	0.11117	0.07078
ABCD4	0.05088	0.03322	0.01982
ABCE1	0.15382	0.12392	0.27463
ABCF1	0.90738	0.70821	1.19491
ABCF2	0.15723	0.14626	0.19359
ABCF3	0.0892	0.07692	0.05709
ABCG1	0.03828	0.05833	0.04848
ABCG2	0.08272	0.01406	0.01864
ABCG5	0.36949	0.04035	0.00175
ABCG8	0.19635	0.03474	0.00042
ABHD1	0.01887	0.00302	0
ABHD10	0.13941	0.08304	0.26354
ABHD11	0.17203	0.17598	0.11338
ABHD12	0.251	0.20877	0.13474
ABHD12B	0.00024	0.00019	0.00098
ABHD13	0.05406	0.04772	0.02858
ABHD14A	0.06647	0.10618	0.27379
ABHD14B	0.20093	0.1483	0.30087
