0	1	2	3	4	5	6	7	8	9	10	11	12	13
A1BG	0.89596	0.354	1.84803	1.81346	0.25263	0.31424	0.26289	0.43344	0.14958	0.44615	1.5599	1.28378	0.45492	0.17557
A1BG-AS1	0.00051	0.00213	0.00125	0.0031	0.00675	0	0	0.00995	0.01318	0.00663	0.00044	0.00252	0	0
A1CF	1.5454	0.95135	0.9854	0.62029	0.18116	0.2176	0.28131	0.08298	0.09643	1.28239	1.0144	0.988	0.00616	0.03654
A2M	0.75071	1.6399	1.45838	0.87208	0.30057	0.5883	1.54074	0.14188	0.07468	1.12757	1.09073	2.52265	0.05768	0.26318
A2M-AS1	0.02492	0.00652	0.00411	0.00231	0.10407	0.00909	0.02789	0.00865	0.07407	0.01644	0.00096	0.02604	0.03942	0.02272
A2ML1	0.01188	0.02158	0.05453	0.0348	0.02873	0.10481	0.04088	0.03002	0.04323	0.01975	0.06413	0.03061	0.02967	0.05994
AAAS	0.06408	0.10892	0.23278	0.07613	0.04585	0.01512	0.03852	0.04908	0.04534	0.12485	0.22179	0.25293	0.04461	0.08539
AACS	0.03031	0.03141	0.03358	0.01799	0.01297	0	0.01435	0	0.0062	0.03168	0.10117	0.01247	0.01358	0
AACSP1	0	0.02978	0	0	0.01015	0	0.00762	0	0	0	0	0	0	0
AADAC	0.38749	0.25621	0.49439	0.32966	0.03047	0.07852	0.06391	0.01921	0.01021	0.22608	0.38729	0.57868	0.00054	0
AADAT	0.00696	0.0664	0.03511	0.01021	0.00155	0.00166	0.01363	0	0.02472	0.05432	0.00838	0.02138	0.00061	0
PRXL2C	0.03008	0.03111	0.01836	0	0.00965	0	0.03531	0.00525	0.02675	0.08541	0.01398	0.02135	0.01307	0.03965
AAGAB	0.05805	0.15933	0.12657	0.09954	0.15816	0.06682	0.0693	0.05117	0.19957	0.1189	0.08381	0.11625	0.03238	0
AAK1	0.29875	0.5089	0.7574	0.45523	0.80955	0.46831	0.63499	0.45714	0.7909	0.44377	0.91318	0.43553	0.72775	0.44447
AAMDC	0.38319	0.19844	0.11088	0.0882	0.05639	0.03314	0.07727	0.04021	0.09546	0.2981	0.28449	0.28877	0.07628	0.00447
AAMP	0.21312	0.3195	0.20979	0.13888	0.08229	0.07677	0.20559	0.14575	0.12691	0.21513	0.17552	0.1269	0.12885	0.09991
AAR2	0.26193	0.13502	0.07073	0.09819	0.08868	0.02255	0.08167	0.05598	0.08811	0.33802	0.13929	0.0848	0.09337	0.10297
AARD	0.08822	0.24676	0.8068	0.59068	0.41275	1.53316	0.39554	0.56371	0.25338	0.12625	0.80348	0.55745	0.40435	0.55979
AARS	0.65029	0.56992	0.32774	0.15909	0.12002	0.12522	0.15878	0.54961	0.1858	0.69339	0.44783	0.42563	0.51137	0.06819
AARS2	0.24206	0.18803	0.35324	0.19095	0.26678	0.51226	0.23156	0.22812	0.19611	0.19748	0.39716	0.56839	0.39273	0.16543
AASDH	0.02821	0.12201	0.07282	0.0382	0.05238	0.01207	0.07118	0.03376	0.10653	0.00861	0.08462	0.11739	0.00243	0.00563
AASDHPPT	0.2656	0.21862	0.14663	0.03579	0.11843	0.02096	0.06091	0.10549	0.06769	0.39432	0.17622	0.18126	0.11747	0.06871
AASS	0.56495	0.39911	0.63192	0.26203	0.08961	0.07411	0.08779	0.01579	0.0168	0.76965	0.73773	0.56328	0.00183	0.00482
AATK	2e-05	0	0.0071	0.01469	0	0	0.01229	0.00086	0	0.00579	0.0038	0	0	0
ABAT	0.50699	0.20231	0.27099	0.12252	0.07026	0.02175	0.11796	0.02029	0.01334	0.26369	0.19888	0.16928	0.01044	0
ABCA1	0.1593	0.28013	0.40975	0.25216	0.0416	0.17703	0.79623	0.01704	0.00302	0.17938	0.31469	0.57068	0.00481	0.08321
ABCA10	0.01444	0.00216	0.19395	0.06226	0.00323	0	0.00392	0.00545	0.00038	0.01358	0.15903	0	0.04055	0
ABCA11P	0.01378	0.00614	0.01267	0	0.00095	0	0.00945	0.01012	0.00136	0.00112	0	0	0	0
ABCA13	0.01578	0.00951	0.00231	0.00042	0.00231	0.00725	0.00213	0.0029	0.00216	0.00178	0.00173	0	0.00231	0.00385
ABCA17P	0.00011	0.01344	0	0	0	0	0.00272	0	0	0	0	0	0	0
ABCA2	0.01129	0.01522	0.0193	0.01404	0.00898	0.02922	0.00715	0	0.00161	0.00129	0.01534	0.00278	0.0054	0
ABCA3	0.00686	0.06372	0.00703	0.0023	0.00257	0.00768	0.03954	0	0.00467	0	0	0	0	0
ABCA4	0.00038	5e-05	0	0.00577	0.00041	0.00555	0	0.00076	0	0.00469	0	0.08022	0	0
ABCA5	0.31147	0.23953	0.80727	0.26883	0.09232	0.01411	0.08932	0.1569	0.03915	0.47068	0.73811	0.23162	0.33285	0.03862
ABCA6	0.20037	0.15888	0.21873	0.08098	0.02778	0.04727	0.07923	0.00628	0.00773	0.16831	0.18609	0.40651	0.00285	0.02478
ABCA7	0.00765	0.03562	0.23583	0.09605	0.10754	0.04534	0.1738	0.25715	0.07691	0.02032	0.32208	0.12705	0.20612	0.29044
ABCA8	0.00905	0.02305	0.0551	0.05551	0.01722	0.12996	0.0213	0.03201	0.01097	0.01429	0.02388	0.3748	0.00668	0.01016
ABCA9	0.06565	0.02925	0.18214	0.03653	0.01724	0.05136	0.03639	0.0275	0.00691	0.03971	0.11899	0.14705	0.07499	0.01091
ABCB1	0.31835	0.30044	0.09163	0.06425	0.21004	0.0678	0.06092	0.0242	0.11544	0.18501	0.18938	0.25536	0.09366	0.03564
ABCB10	0.1075	0.0831	0.09759	0.0654	0.0255	0.00765	0.04117	0.03999	0.04404	0.11316	0.16747	0.04704	0.0467	0.01458
ABCB11	0.23108	0.14387	0.26962	0.09922	0.02675	0.11842	0.06032	0.00685	0.01583	0.07334	0.24331	0.42102	0.02092	0.01919
ABCB4	0.2034	0.09318	0.86682	0.42187	0.17486	0.89778	0.10602	0.23564	0.13387	0.21269	0.75595	1.16483	0.09623	0.34398
ABCB5	0.02233	0.04123	0.09601	0.06317	0.03561	0.11525	0.05456	0.0468	0.02241	0.02919	0.08802	0.10414	0.07376	0.06241
ABCB6	0.20161	0.56382	0.37625	0.15994	0.07736	0.03262	0.11874	0.01795	0.05193	0.2903	0.42995	0.27597	0.00121	0.00644
ABCB7	0.1016	0.11334	0.14029	0.02722	0.06476	0.03789	0.09709	0.0848	0.12827	0.18476	0.09571	0.12317	0.14619	0.16633
ABCB8	0.00762	0.0361	0.02581	0.00331	0.00312	0.00363	0.0274	0.00198	0.00158	0.07029	0.04361	0.04189	0.00714	0
ABCB9	0.01063	0.00934	0.01463	0.01903	0.00383	0	0.01407	0.03957	0	0	0.01792	0.00401	0.00931	0
