Cell,UMAP_1,UMAP_2,Cluster,Celltype..malignancy.,Celltype..major.lineage.,Celltype..minor.lineage.,Patient,Sample,Tissue,Risk.Factor,RiskFactorScore
HCC1_COL1_ROW1,6.66785429039971,-5.39557866516405,4,Immune cells,CD8T,CD8T,Patient 1,Patient 1,Tumor,0.487635540993837,0.487635540993837
HCC1_COL1_ROW10,-7.04167034110053,-3.83590535583788,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.431000858101256,0.431000858101256
HCC1_COL1_ROW11,-8.98207332571967,-3.22577170791917,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.595990326858569,0.595990326858569
HCC1_COL1_ROW12,-10.1264314838312,-2.31262282791429,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.488337623839613,0.488337623839613
HCC1_COL1_ROW13,-8.92685367545112,-4.10874394836717,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.229269053748342,-0.229269053748342
HCC1_COL1_ROW14,-8.58372547110542,-3.5189078277617,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.550276932678056,0.550276932678056
HCC1_COL1_ROW15,-8.79384710272773,-3.84210996094042,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.412590685700913,0.412590685700913
HCC1_COL1_ROW16,-12.1876945682429,-3.67182759704881,9,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.323582182697558,-0.323582182697558
HCC1_COL1_ROW17,-9.16021730383857,-6.15561561050707,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.513534597082456,0.513534597082456
HCC1_COL1_ROW18,-7.49595787009223,-4.45229224624925,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.515640845619783,0.515640845619783
HCC1_COL1_ROW19,-8.51024867972358,-4.85172299804979,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.552383181215383,0.552383181215383
HCC1_COL1_ROW2,-9.54467203101142,-5.81929854812914,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.535299165301506,0.535299165301506
