Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	CD8T	CD8Tcm	CCL5	1.86	81.6	0
0	Immune cells	CD8T	CD8Tcm	KLRB1	1.79	80.9	0
0	Immune cells	CD8T	CD8Tcm	LTB	1.66	93.2	0
0	Immune cells	CD8T	CD8Tcm	IL7R	1.58	86.4	0
0	Immune cells	CD8T	CD8Tcm	CD69	1.58	88.3	0
0	Immune cells	CD8T	CD8Tcm	NKG7	1.56	71.8	0
0	Immune cells	CD8T	CD8Tcm	IFNG	1.54	71.8	0
0	Immune cells	CD8T	CD8Tcm	GZMA	1.53	78.7	0
0	Immune cells	CD8T	CD8Tcm	CD2	1.47	90.4	0
0	Immune cells	CD8T	CD8Tcm	TRBC1	1.37	81.4	0
0	Immune cells	CD8T	CD8Tcm	CD3D	1.24	92.2	0
0	Immune cells	CD8T	CD8Tcm	TRAC	1.16	88.3	0
0	Immune cells	CD8T	CD8Tcm	TRBC2	1.08	83.1	0
0	Immune cells	CD8T	CD8Tcm	GZMK	0.98	68.9	0
0	Immune cells	CD8T	CD8Tcm	CRIP1	0.98	79.1	0
0	Immune cells	CD8T	CD8Tcm	XCL2	0.89	65.7	0
0	Immune cells	CD8T	CD8Tcm	ITM2A	0.87	76.7	0
0	Immune cells	CD8T	CD8Tcm	CD40LG	0.87	72.8	0
0	Immune cells	CD8T	CD8Tcm	GZMB	0.85	46.9	0
0	Immune cells	CD8T	CD8Tcm	AC092580.4	0.84	70.1	0
0	Immune cells	CD8T	CD8Tcm	CD7	0.83	76.7	0
0	Immune cells	CD8T	CD8Tcm	GZMH	0.79	58.0	0
0	Immune cells	CD8T	CD8Tcm	ALOX5AP	0.77	77.3	0
0	Immune cells	CD8T	CD8Tcm	XCL1	0.77	64.3	0
0	Immune cells	CD8T	CD8Tcm	SPOCK2	0.67	73.4	0
0	Immune cells	CD8T	CD8Tcm	HOPX	0.65	69.2	0
0	Immune cells	CD8T	CD8Tcm	TNFSF14	0.61	68.2	0
0	Immune cells	CD8T	CD8Tcm	PRF1	0.58	67.5	0
0	Immune cells	CD8T	CD8Tcm	OCIAD2	0.58	71.1	0
0	Immune cells	CD8T	CD8Tcm	KLRC1	0.54	59.9	0
0	Immune cells	CD8T	CD8Tcm	AC006129.2	0.54	68.1	0
0	Immune cells	CD8T	CD8Tcm	CD8A	0.53	63.2	0
0	Immune cells	CD8T	CD8Tcm	TRGC2	0.52	66.9	0
0	Immune cells	CD8T	CD8Tcm	S100A6	0.5	93.5	0
0	Immune cells	CD8T	CD8Tcm	ICOS	0.49	70.1	0
0	Immune cells	CD8T	CD8Tcm	LBH	0.47	69.8	0
