DC	Mono/Macro	CD8T	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	B	Endothelial	Mast
RP11-34P13.7	0.00078	0.00061	0.0014	0.00177	0.00287	0.00086	0.00093	0.00071	0.00719	0.00342	0
FO538757.2	0.04105	0.04653	0.04192	0.07526	0.09254	0.03939	0.05096	0.0544	0.02022	0.10917	0.02151
AP006222.2	0.0927	0.05986	0.01871	0.07732	0.02657	0.02561	0.11529	0.07068	0.01349	0.03004	0.04313
RP4-669L17.10	0.00075	0.00089	0.00132	0.00377	0.00545	0.00267	0	0.0015	0	0	0
RP5-857K21.4	0.00051	0.00035	0	0.00061	0.00076	0	0	0	0	0	0
RP11-206L10.9	0.01698	0.0195	0.01113	0.01185	0.0104	0.0098	0.0277	0.02167	0.00975	0.01455	0.01498
FAM87B	9e-04	0.00266	0.00033	6e-05	0	0	0.00253	0.00116	0	0.00292	0
LINC00115	0.00752	0.01309	0.01326	0.00622	0.00843	0.00266	0.01149	0.01371	0.01078	0.0144	0
FAM41C	0.0059	0.00371	0.00171	0.00541	0.00324	0.00753	0.00188	0.00164	0.01419	0.00392	0.015
RP11-54O7.3	0	0.00012	0.00035	0.00026	0	0	0.0015	0.00132	0	0	0
SAMD11	0.00101	1e-04	0.00165	0.00571	0.00307	0.00134	0.02668	0	0.00218	0.02135	0
NOC2L	0.09223	0.11796	0.13654	0.14531	0.11947	0.12042	0.16942	0.17245	0.15283	0.14159	0.06941
KLHL17	0.01389	0.0145	0.01009	0.01068	0.01275	0.00643	0.0222	0.01148	0.0021	0.01245	0.01132
PLEKHN1	0.00368	0.00161	0.00819	0.02123	0.02763	0.02089	0.00361	7e-04	0.00113	0.01234	0
PERM1	0	0.00049	2e-04	0.00176	0.00214	0	0.00618	7e-04	0	0	0
RP11-54O7.17	0.08264	0.0373	0.00444	0.00451	0.00856	0.00443	0.07859	0.0254	0	0.05894	0
HES4	0.28725	0.18746	0.04361	0.0816	0.05127	0.0356	1.17554	0.13877	0.0188	0.36631	0.08879
ISG15	0.6803	0.80035	0.46384	0.39646	0.20163	0.73716	0.79042	0.6932	0.3041	0.4827	0.24117
AGRN	0.03298	0.03107	0.00899	0.2196	0.19168	0.00855	0.21375	0.025	0.01155	0.36324	0
RNF223	0	0	0	0.00407	0.00519	0	0	0.00055	0	0	0
C1orf159	0.01813	0.01547	0.01269	0.01821	0.0206	0.0192	0.01918	0.02693	0.02167	0.05468	0.00893
LINC01342	0	0	0	0.00069	0	0	0	0	0	0	0
RP11-465B22.8	0.00034	0.00077	0.00184	0.02378	0.03478	0	0	0.00107	0	0.00337	0
TTLL10	0	0	0.00474	0.00072	0.00015	0	0	0	0	0.00707	0
TNFRSF18	0.04193	0.05058	0.31306	0.01893	0.04248	1.95865	0.02109	0.24109	0.05216	0.06911	0.18835
TNFRSF4	0.0638	0.10919	0.25503	0.03352	0.05116	1.96476	0.03332	0.24479	0.03862	0.32271	0.29372
SDF4	0.36678	0.35578	0.23625	0.26814	0.17829	0.4737	0.41999	0.43284	0.15438	0.48226	0.27618
B3GALT6	0.05926	0.07112	0.05923	0.06034	0.03399	0.0773	0.10429	0.07332	0.03927	0.1066	0.04822
FAM132A	0.01998	0.01675	0.00572	0.33543	0.12931	0.01647	0.01963	0.01428	0.01165	0.04434	0
RP5-902P8.12	0	0	0.00108	0.00019	0.00051	0	0	0	0.00297	0	0
UBE2J2	0.13625	0.14043	0.08482	0.12167	0.05117	0.14148	0.16692	0.20345	0.0999	0.1432	0.08993
SCNN1D	0.00537	0.00326	0.00156	0.00283	0.00586	0.00151	0.01081	0.00307	0.00073	0.00487	0
ACAP3	0.04378	0.04514	0.03619	0.03535	0.05169	0.02288	0.09473	0.0856	0.03741	0.09443	0.05557
PUSL1	0.04803	0.04989	0.04872	0.08536	0.0318	0.0622	0.03599	0.06994	0.03923	0.03272	0.04501
CPSF3L	0.10549	0.12377	0.09079	0.14569	0.09304	0.09547	0.1889	0.15696	0.08911	0.17759	0.06115
CPTP	0.04831	0.04154	0.02303	0.03727	0.02916	0.03832	0.05554	0.05896	0.0355	0.06288	0.03213
DVL1	0.03623	0.03121	0.022	0.06536	0.06555	0.0299	0.04984	0.03247	0.02956	0.10167	0.00889
MXRA8	0	0.00017	0.00019	0.00121	0.00111	0	0.27399	0.00036	0	0	0
AURKAIP1	0.57643	0.60716	0.3379	0.67335	0.26375	0.54516	0.61031	0.87407	0.35323	0.47401	0.28358
CCNL2	0.12008	0.14973	0.17855	0.11324	0.18408	0.15847	0.20089	0.17767	0.17133	0.54533	0.10584
MRPL20	0.54671	0.56907	0.31021	0.62281	0.21547	0.49427	0.56087	0.62063	0.31026	0.5426	0.26546
RP4-758J18.13	0.00098	0.00076	0.00212	0.00352	0.00382	0.00095	0.00349	0.0014	0.00392	0.00429	0
ANKRD65	0.00686	0.00856	0	0.00509	0.00993	0	0.00366	0.00605	0	0.09999	0
RP4-758J18.10	0	0	0	0.00031	0.00072	0	0	0	0	0	0
VWA1	0.01205	0.00474	0.0042	0.18853	0.1231	0.01147	0.02979	0.00459	0.00393	1.27137	0
ATAD3C	0.00455	0.00395	0.00619	0.00685	0.006	0.00611	0.00516	0.00342	0.01863	0.01446	0.03729
ATAD3B	0.03803	0.03552	0.03607	0.04011	0.0423	0.04537	0.04316	0.06406	0.05736	0.08803	0.02732
ATAD3A	0.05593	0.04667	0.01939	0.04133	0.02739	0.03995	0.05412	0.12085	0.02102	0.07393	0.03123
TMEM240	0.00019	0.00064	0	0.00137	0.00078	0	0.00125	0	0	0.00233	0
SSU72	0.46666	0.45367	0.35783	0.37896	0.18317	0.40155	0.44862	0.453	0.24637	0.40247	0.29076
RP5-832C2.5	0.02382	0.0241	0.02808	0.00354	0.01042	0.0151	0.02074	0.02724	0.01631	0.00394	0.0121
C1orf233	0.06565	0.04428	0.00369	0.00115	0.0021	0.00546	0.01949	0.0579	0.00077	0	0.02114
RP11-345P4.9	0.02208	0.01498	0.01371	0.01396	0.01218	0.01139	0.02712	0.0108	0.01269	0.02915	0.02549
MIB2	0.06247	0.05652	0.11075	0.05952	0.07364	0.13625	0.09519	0.06835	0.05095	0.12431	0.09409
MMP23B	0.00158	0.00471	0.00737	0.0147	0.00821	0	0.04835	0.0049	0.00233	0	0
CDK11B	0.09922	0.10199	0.15436	0.0844	0.06262	0.17921	0.16083	0.20396	0.16309	0.14939	0.08133
RP11-345P4.10	0.00103	0.001	0.00104	0.00175	0.00117	0.00147	0.00094	0.00261	0	0.0044	0
SLC35E2B	0.07802	0.10066	0.10298	0.09079	0.08304	0.08113	0.20148	0.10254	0.11214	0.1853	0.01943
RP11-345P4.7	0.00065	0.00067	0.00248	0.00095	0.00034	0.00099	0.0015	0	0.00473	0	0
