Immune cells	Malignant cells	Stromal cells
RP11-34P13.7	0.00112	0.00177	0.00258
FO538757.2	0.04273	0.07526	0.08679
AP006222.2	0.05052	0.07732	0.04197
RP4-669L17.10	0.00114	0.00377	0.00408
RP5-857K21.4	0.00021	0.00061	0.00057
RP11-206L10.9	0.01528	0.01185	0.01368
FAM87B	0.0011	6e-05	0.00067
LINC00115	0.0109	0.00622	0.00944
FAM41C	0.00416	0.00541	0.00306
RP11-54O7.3	0.00023	0.00026	0.00026
SAMD11	0.00096	0.00571	0.00856
NOC2L	0.12256	0.14531	0.12976
KLHL17	0.01169	0.01068	0.01434
PLEKHN1	0.00565	0.02123	0.02231
PERM1	0.00024	0.00176	0.00265
RP11-54O7.17	0.03213	0.00451	0.02455
HES4	0.14249	0.0816	0.26824
ISG15	0.63357	0.39646	0.32458
AGRN	0.02136	0.2196	0.20922
RNF223	4e-05	0.00407	0.00389
C1orf159	0.01639	0.01821	0.0231
LINC01342	0	0.00069	0
RP11-465B22.8	0.00094	0.02378	0.02633
TTLL10	0.00151	0.00072	0.00068
TNFRSF18	0.3012	0.01893	0.04097
TNFRSF4	0.30461	0.03352	0.06993
SDF4	0.32795	0.26814	0.2439
B3GALT6	0.06412	0.06034	0.0518
FAM132A	0.01347	0.33543	0.10379
RP5-902P8.12	0.00044	0.00019	0.00038
UBE2J2	0.12436	0.12167	0.0783
SCNN1D	0.00293	0.00283	0.00663
ACAP3	0.04272	0.03535	0.06246
PUSL1	0.05106	0.08536	0.03259
CPSF3L	0.10743	0.14569	0.11617
CPTP	0.0378	0.03727	0.03637
DVL1	0.02915	0.06536	0.06577
MXRA8	0.00013	0.00121	0.04755
AURKAIP1	0.5165	0.67335	0.33972
CCNL2	0.15508	0.11324	0.21595
MRPL20	0.46827	0.62281	0.30062
RP4-758J18.13	0.00139	0.00352	0.00381
ANKRD65	0.00425	0.00509	0.01609
RP4-758J18.10	0	0.00031	0.00054
VWA1	0.00669	0.18853	0.1994
ATAD3C	0.00568	0.00685	0.00653
ATAD3B	0.03957	0.04011	0.04612
ATAD3A	0.04353	0.04133	0.03569
TMEM240	0.00022	0.00137	0.00098
SSU72	0.41395	0.37896	0.24604
RP5-832C2.5	0.02444	0.00354	0.01166
C1orf233	0.03237	0.00115	0.00489
RP11-345P4.9	0.01563	0.01396	0.01609
MIB2	0.08255	0.05952	0.08139
MMP23B	0.00437	0.0147	0.01439
CDK11B	0.13283	0.0844	0.08633
RP11-345P4.10	0.00112	0.00175	0.00139
SLC35E2B	0.09448	0.09079	0.11145
RP11-345P4.7	0.00134	0.00095	0.00051
CDK11A	0.11934	0.0538	0.07233
SLC35E2	0.00222	0.00507	0.00845
NADK	0.13118	0.09518	0.07902
GNB1	0.57851	0.28598	0.29579
RP1-140A9.1	0.00116	0.00139	0.00046
CALML6	3e-05	4e-04	0.00062
TMEM52	0.00198	0.03304	0.00604
CFAP74	0.00014	0.00063	0.00211
RP11-547D24.1	4e-05	0.00034	0.00469
GABRD	0.00023	0.00322	0.03711
PRKCZ	0.01748	0.0413	0.02753
RP5-892K4.1	0.00235	0.00118	0.00135
RP11-181G12.2	2e-04	0.00037	2e-04
FAAP20	0.31651	0.38254	0.23523
RP11-181G12.4	0.00016	0.00031	0.00112
SKI	0.13007	0.05544	0.10511
MORN1	0.00472	0.01349	0.01058
RER1	0.37874	0.50349	0.25432
PEX10	0.03351	0.05899	0.03226
PLCH2	0.00905	0.03462	0.03368
PANK4	0.02424	0.01662	0.01971
HES5	0.00198	0.00099	0.02305
RP3-395M20.12	0.08949	0.02853	0.05191
RP3-395M20.8	0.03969	0.02494	0.03145
TNFRSF14	0.40089	0.13768	0.17896
RP3-395M20.9	0.00413	0.00213	0.00056
FAM213B	0.08098	0.05382	0.02817
MMEL1	0.01126	0.034	0.01754
TTC34	0.00207	0.00168	0.00188
LINC00982	0.00027	0.00926	0.01033
PRDM16	0.00021	0.02168	0.01693
RP11-22L13.1	0.00017	0.00031	0.00053
ARHGEF16	0.00421	0.08338	0.08086
RP11-168F9.2	0	0.0023	0.00114
MEGF6	0.00844	0.00757	0.01359
RP11-46F15.2	0.00114	0.00061	0.00038
TPRG1L	0.06327	0.06524	0.04112
WRAP73	0.04893	0.04564	0.04045
TP73	0.00262	0.00084	0.00012
TP73-AS1	0.01537	0.01432	0.02292
SMIM1	0.02079	0.1303	0.03501
LRRC47	0.05853	0.08037	0.04669
CEP104	0.05225	0.04791	0.03471
DFFB	0.01069	0.01182	0.01672
C1orf174	0.0943	0.07863	0.05527
LINC01134	0.00152	0.00205	0.00102
NPHP4	0.01195	0.01195	0.01106
KCNAB2	0.18907	0.01038	0.02605
RPL22	2.34377	2.15089	1.56761
RP1-120G22.11	0.00023	0.00106	0.00036
RNF207	0.01238	0.04472	0.04774
ICMT	0.06614	0.06515	0.06606
LINC00337	0.00099	0.00063	0.00029
GPR153	0.00294	0.00428	0.01109
ACOT7	0.05063	0.04927	0.03378
RP1-202O8.3	0.00519	0.00344	0.00315
HES2	0.00032	0.00099	0.00463
ESPN	0.00559	0.06903	0.02081
TNFRSF25	0.16282	0.01574	0.04159
PLEKHG5	0.01898	0.00743	0.02239
NOL9	0.05349	0.0492	0.04669
ZBTB48	0.05276	0.03966	0.03882
KLHL21	0.04813	0.0303	0.02416
PHF13	0.02732	0.03162	0.02699
THAP3	0.03583	0.04251	0.03078
DNAJC11	0.03918	0.05007	0.03921
RP11-312B8.1	0.00043	0.00068	9e-04
CAMTA1	0.34513	0.39396	0.2426
VAMP3	0.22583	0.10804	0.10353
PER3	0.05563	0.05018	0.06717
UTS2	0.08949	0.00393	0.00961
TNFRSF9	0.08724	0.00541	0.00925
PARK7	0.76676	0.88076	0.51187
ERRFI1	0.03928	0.23384	0.13629
RP11-431K24.1	0.00136	0.00467	0.00911
SLC45A1	0.00127	0.00013	0.0033
RERE	0.1286	0.12135	0.17799
ENO1	1.34049	1.33742	0.77936
ENO1-AS1	0.00209	0.00288	0.00148
SLC2A5	0.15787	0.00755	0.01309
GPR157	0.02149	0.03934	0.02202
MIR34AHG	0.01569	0.01653	0.03094
RP3-510D11.2	0.00183	0.00669	0.00544
H6PD	0.037	0.08238	0.0824
SPSB1	0.03037	0.02883	0.03365
SLC25A33	0.07085	0.08758	0.03968
TMEM201	0.01244	0.01118	0.01344
PIK3CD	0.09397	0.00516	0.01562
PIK3CD-AS1	0.0025	3e-05	0.00026
PIK3CD-AS2	0.00802	0.08543	0.02911
CLSTN1	0.09579	0.13247	0.13422
CTNNBIP1	0.09944	0.11511	0.07012
LZIC	0.16434	0.12916	0.08189
NMNAT1	0.02755	0.02097	0.01925
RBP7	0.06376	0.003	0.0556
UBE4B	0.06976	0.0631	0.04872
KIF1B	0.13356	0.10481	0.10006
PGD	0.16809	0.24494	0.08863
RP4-736L20.3	7e-05	0.00079	0
APITD1-CORT	0.002	0.00199	0.0012
APITD1	0.01726	0.04504	0.015
CORT	0.00025	0.00053	0.00044
DFFA	0.08041	0.12478	0.08434
