M1	cDC1	M2	CD8Tcm	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	DC	B	Monocyte	Endothelial	Mast
RP11-34P13.7	0	0.00073	0	0.0014	0.00177	0.00287	0.00086	0.00093	0.00071	0.00257	0.00719	0.0012	0.00342	0
FO538757.2	0.03614	0.04963	0.03635	0.04192	0.07526	0.09254	0.03939	0.05096	0.0544	0.03984	0.02022	0.0514	0.10917	0.02151
AP006222.2	0.09748	0.071	0.03826	0.01871	0.07732	0.02657	0.02561	0.11529	0.07068	0.09302	0.01349	0.09332	0.03004	0.04313
RP4-669L17.10	0.00108	0.00062	0.00151	0.00132	0.00377	0.00545	0.00267	0	0.0015	0	0	0.00088	0	0
RP5-857K21.4	0.00066	0.00065	0	0	0.00061	0.00076	0	0	0	0	0	0	0	0
RP11-206L10.9	0.01084	0.02429	0.01234	0.01113	0.01185	0.0104	0.0098	0.0277	0.02167	0.01546	0.00975	0.01899	0.01455	0.01498
FAM87B	0.00097	0.00336	0	0.00033	6e-05	0	0	0.00253	0.00116	0.00158	0	0	0.00292	0
LINC00115	0.00298	0.01429	0.00974	0.01326	0.00622	0.00843	0.00266	0.01149	0.01371	0.00662	0.01078	0.01375	0.0144	0
FAM41C	0.00576	0.00464	0.00176	0.00171	0.00541	0.00324	0.00753	0.00188	0.00164	0.00399	0.01419	0.00893	0.00392	0.015
RP11-54O7.3	0	0.00015	0	0.00035	0.00026	0	0	0.0015	0.00132	0	0	0	0	0
SAMD11	0.0019	0.00032	0	0.00165	0.00571	0.00307	0.00134	0.02668	0	0	0.00218	0	0.02135	0
NOC2L	0.05559	0.11868	0.13386	0.13654	0.14531	0.11947	0.12042	0.16942	0.17245	0.10458	0.15283	0.10391	0.14159	0.06941
KLHL17	0.01138	0.01587	0.01272	0.01009	0.01068	0.01275	0.00643	0.0222	0.01148	0.01832	0.0021	0.0106	0.01245	0.01132
PLEKHN1	0.00546	0.00199	0.00163	0.00819	0.02123	0.02763	0.02089	0.00361	7e-04	0.0011	0.00113	0.00234	0.01234	0
PERM1	0	0.00026	0.00091	2e-04	0.00176	0.00214	0	0.00618	7e-04	0	0	0	0	0
RP11-54O7.17	0.07106	0.04142	0.03559	0.00444	0.00451	0.00856	0.00443	0.07859	0.0254	0.12832	0	0.07957	0.05894	0
HES4	0.25832	0.18081	0.23442	0.04361	0.0816	0.05127	0.0356	1.17554	0.13877	0.35465	0.0188	0.3074	0.36631	0.08879
