node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AADAT	DLD	9606.ENSP00000423190	9606.ENSP00000205402	0	0	0	0	0.047	0	0.900	0.124	0.909
AADAT	CRYM	9606.ENSP00000423190	9606.ENSP00000219599	0.122	0	0	0	0	0	0	0.354	0.408
AADAT	AGXT2	9606.ENSP00000423190	9606.ENSP00000231420	0.111	0	0	0	0.163	0	0	0.343	0.469
AADAT	GOT2	9606.ENSP00000423190	9606.ENSP00000245206	0.072	0	0	0	0.089	0.069	0	0.639	0.678
AADAT	KYAT3	9606.ENSP00000423190	9606.ENSP00000260508	0.042	0	0	0.564	0.067	0.188	0.900	0.541	0.960
AADAT	DHTKD1	9606.ENSP00000423190	9606.ENSP00000263035	0	0	0	0	0.106	0	0.918	0.248	0.940
AADAT	KYNU	9606.ENSP00000423190	9606.ENSP00000264170	0	0	0	0	0.109	0	0.900	0.795	0.980
AADAT	HGD	9606.ENSP00000423190	9606.ENSP00000283871	0	0	0	0	0.238	0	0	0.248	0.403
AADAT	HPD	9606.ENSP00000423190	9606.ENSP00000289004	0.118	0	0	0	0.112	0	0.374	0.248	0.582
AADAT	AGXT	9606.ENSP00000423190	9606.ENSP00000302620	0.136	0	0	0	0.087	0	0	0.353	0.446
AADAT	BCAT2	9606.ENSP00000423190	9606.ENSP00000322991	0.115	0	0	0	0.101	0.071	0.792	0.417	0.894
AADAT	AFMID	9606.ENSP00000423190	9606.ENSP00000328938	0	0	0	0	0.098	0	0.900	0.542	0.955
AADAT	DLST	9606.ENSP00000423190	9606.ENSP00000335304	0	0	0	0	0	0	0.908	0	0.908
AADAT	ACMSD	9606.ENSP00000423190	9606.ENSP00000348459	0	0	0	0	0.101	0	0	0.594	0.620
AADAT	KMO	9606.ENSP00000423190	9606.ENSP00000355517	0	0	0	0	0.123	0	0.900	0.825	0.983
AADAT	OAT	9606.ENSP00000423190	9606.ENSP00000357838	0.115	0	0	0	0.044	0.162	0	0.316	0.450
AADAT	GOT1	9606.ENSP00000423190	9606.ENSP00000359539	0.072	0	0	0	0.105	0.191	0	0.360	0.513
AADAT	ASS1	9606.ENSP00000423190	9606.ENSP00000361471	0.088	0	0	0	0.156	0	0	0.623	0.685
AADAT	HAO1	9606.ENSP00000423190	9606.ENSP00000368066	0.108	0	0	0	0.103	0	0.154	0.294	0.458
AADAT	ASNS	9606.ENSP00000423190	9606.ENSP00000377845	0.043	0	0	0	0.111	0	0.673	0.293	0.777
AADAT	ALDH7A1	9606.ENSP00000423190	9606.ENSP00000387123	0.047	0	0	0	0.082	0	0.913	0.184	0.929
AADAT	OGDH	9606.ENSP00000423190	9606.ENSP00000388183	0	0	0	0	0.074	0	0.215	0.265	0.419
AADAT	KYAT1	9606.ENSP00000423190	9606.ENSP00000399415	0.042	0	0	0	0.067	0.071	0.900	0.994	0.999
AADAT	AASS	9606.ENSP00000423190	9606.ENSP00000403768	0	0	0	0	0.223	0	0	0.484	0.582
AADAT	GCDH	9606.ENSP00000423190	9606.ENSP00000466845	0	0	0	0	0.048	0	0	0.408	0.412
AADAT	IDO2	9606.ENSP00000423190	9606.ENSP00000443432	0	0	0	0	0.070	0	0	0.576	0.589
AADAT	IDO1	9606.ENSP00000423190	9606.ENSP00000430950	0	0	0	0	0.052	0	0	0.627	0.631
AADAT	TDO2	9606.ENSP00000423190	9606.ENSP00000444788	0	0	0	0	0.101	0	0	0.696	0.715
AADAT	BCAT1	9606.ENSP00000423190	9606.ENSP00000443459	0.115	0	0	0	0.101	0.071	0.792	0.393	0.889
AANAT	INMT	9606.ENSP00000250615	9606.ENSP00000013222	0	0	0	0	0	0	0.900	0.157	0.912
AANAT	TPH1	9606.ENSP00000250615	9606.ENSP00000250018	0	0	0	0	0.109	0	0	0.651	0.675
AANAT	HDC	9606.ENSP00000250615	9606.ENSP00000267845	0	0	0	0	0	0.046	0.163	0.347	0.433
AANAT	TPH2	9606.ENSP00000250615	9606.ENSP00000329093	0	0	0	0	0.109	0	0	0.633	0.659
AANAT	PPM1K	9606.ENSP00000250615	9606.ENSP00000477341	0	0	0	0	0	0.746	0	0	0.746
AANAT	IDO1	9606.ENSP00000250615	9606.ENSP00000430950	0	0	0	0	0	0	0.900	0.341	0.931
AANAT	IDO2	9606.ENSP00000250615	9606.ENSP00000443432	0	0	0	0	0	0	0.900	0.360	0.933
AANAT	DDC	9606.ENSP00000250615	9606.ENSP00000403644	0	0	0	0	0	0.046	0.913	0.633	0.967
AANAT	ASMT	9606.ENSP00000250615	9606.ENSP00000370639	0	0	0	0	0.124	0	0.900	0.939	0.994
AASS	OTC	9606.ENSP00000403768	9606.ENSP00000039007	0	0	0	0	0.103	0	0	0.403	0.441
AASS	AGXT2	9606.ENSP00000403768	9606.ENSP00000231420	0.111	0	0	0	0.076	0	0.261	0.147	0.414
AASS	ODC1	9606.ENSP00000403768	9606.ENSP00000234111	0.115	0	0	0	0.087	0	0.673	0.378	0.813
AASS	KYAT3	9606.ENSP00000403768	9606.ENSP00000260508	0.055	0	0	0	0.093	0	0	0.363	0.407
AASS	HAL	9606.ENSP00000403768	9606.ENSP00000261208	0	0	0	0	0	0	0	0.512	0.512
AASS	AMT	9606.ENSP00000403768	9606.ENSP00000273588	0	0	0	0	0.075	0	0	0.495	0.514
AASS	GLUD1	9606.ENSP00000403768	9606.ENSP00000277865	0	0	0	0	0	0	0	0.408	0.408
AASS	HGD	9606.ENSP00000403768	9606.ENSP00000283871	0	0	0	0	0.129	0	0	0.558	0.598
AASS	HPD	9606.ENSP00000403768	9606.ENSP00000289004	0	0	0	0	0.133	0	0	0.376	0.436
AASS	AGXT	9606.ENSP00000403768	9606.ENSP00000302620	0.120	0	0	0	0.050	0	0	0.359	0.417
AASS	ASL	9606.ENSP00000403768	9606.ENSP00000307188	0	0.126	0	0	0.115	0	0	0.440	0.529
AASS	GLS2	9606.ENSP00000403768	9606.ENSP00000310447	0	0	0	0	0.042	0	0.163	0.396	0.474
AASS	GLS	9606.ENSP00000403768	9606.ENSP00000317379	0	0	0	0	0	0	0.163	0.341	0.425
AASS	PIPOX	9606.ENSP00000403768	9606.ENSP00000317721	0.052	0	0	0	0.122	0	0	0.477	0.527
AASS	AZIN1	9606.ENSP00000403768	9606.ENSP00000337180	0.115	0	0	0	0.087	0	0.673	0.313	0.794
AASS	TAT	9606.ENSP00000403768	9606.ENSP00000348234	0.055	0	0	0	0.057	0	0	0.510	0.526
AASS	OAT	9606.ENSP00000403768	9606.ENSP00000357838	0.106	0	0	0	0.111	0.073	0	0.475	0.562
AASS	ALDH18A1	9606.ENSP00000403768	9606.ENSP00000360268	0	0	0	0	0.060	0	0	0.527	0.537
AASS	ASS1	9606.ENSP00000403768	9606.ENSP00000361471	0	0	0	0	0.133	0	0	0.704	0.733
AASS	SRM	9606.ENSP00000403768	9606.ENSP00000366156	0.120	0.900	0	0	0	0	0	0.336	0.936
AASS	GLDC	9606.ENSP00000403768	9606.ENSP00000370737	0	0	0	0	0.135	0	0	0.431	0.487
AASS	SEPSECS	9606.ENSP00000403768	9606.ENSP00000371535	0.095	0	0	0	0.056	0	0.253	0.174	0.403
AASS	ALDH7A1	9606.ENSP00000403768	9606.ENSP00000387123	0.061	0	0	0	0.280	0	0.913	0.346	0.956
AASS	KYAT1	9606.ENSP00000403768	9606.ENSP00000399415	0.055	0	0	0	0.062	0	0	0.411	0.433
AASS	CPS1	9606.ENSP00000403768	9606.ENSP00000402608	0	0	0	0	0.106	0	0.154	0.311	0.434
AASS	IVD	9606.ENSP00000403768	9606.ENSP00000499074	0	0	0	0	0.107	0.054	0	0.351	0.404
AASS	PHGDH	9606.ENSP00000403768	9606.ENSP00000493382	0.043	0	0	0	0.104	0	0	0.396	0.437
ACAD8	HSD17B10	9606.ENSP00000281182	9606.ENSP00000168216	0	0	0	0	0.140	0.060	0	0.403	0.476
ACAD8	DLD	9606.ENSP00000281182	9606.ENSP00000205402	0.042	0	0	0	0.209	0	0.216	0.155	0.431
ACAD8	PDHX	9606.ENSP00000281182	9606.ENSP00000227868	0	0	0	0	0.145	0	0.218	0.238	0.446
ACAD8	HIBADH	9606.ENSP00000281182	9606.ENSP00000265395	0	0	0	0	0.097	0.091	0	0.519	0.570
ACAD8	MCCC1	9606.ENSP00000281182	9606.ENSP00000265594	0.057	0	0	0	0.172	0.052	0.229	0.451	0.630
ACAD8	ACAT1	9606.ENSP00000281182	9606.ENSP00000265838	0.054	0	0	0	0.332	0.051	0.216	0.145	0.525
ACAD8	BCKDHA	9606.ENSP00000281182	9606.ENSP00000269980	0.047	0	0	0	0.155	0	0.265	0.474	0.647
ACAD8	DLAT	9606.ENSP00000281182	9606.ENSP00000280346	0	0	0	0	0.133	0	0.218	0.214	0.421
ACAD8	QDPR	9606.ENSP00000281182	9606.ENSP00000281243	0.042	0	0	0	0.106	0.046	0.174	0.251	0.403
ACAD8	ALDH4A1	9606.ENSP00000281182	9606.ENSP00000364490	0.042	0	0	0	0.141	0	0.182	0.239	0.420
ACAD8	BCAT2	9606.ENSP00000281182	9606.ENSP00000322991	0	0	0	0	0.095	0	0	0.410	0.444
ACAD8	ETHE1	9606.ENSP00000281182	9606.ENSP00000292147	0.053	0	0	0	0.116	0	0.106	0.376	0.470
