node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
AADAT,DLD,9606.ENSP00000423190,9606.ENSP00000205402,0,0,0,0,0.047,0,0.9,0.124,0.909
AADAT,KYAT3,9606.ENSP00000423190,9606.ENSP00000260508,0.042,0,0,0.564,0.067,0.188,0.9,0.541,0.96
AADAT,DHTKD1,9606.ENSP00000423190,9606.ENSP00000263035,0,0,0,0,0.106,0,0.918,0.248,0.94
AADAT,KYNU,9606.ENSP00000423190,9606.ENSP00000264170,0,0,0,0,0.109,0,0.9,0.795,0.98
AADAT,BCAT2,9606.ENSP00000423190,9606.ENSP00000322991,0.115,0,0,0,0.101,0.071,0.792,0.417,0.894
AADAT,AFMID,9606.ENSP00000423190,9606.ENSP00000328938,0,0,0,0,0.098,0,0.9,0.542,0.955
AADAT,DLST,9606.ENSP00000423190,9606.ENSP00000335304,0,0,0,0,0,0,0.908,0,0.908
AADAT,KMO,9606.ENSP00000423190,9606.ENSP00000355517,0,0,0,0,0.123,0,0.9,0.825,0.983
AADAT,ASNS,9606.ENSP00000423190,9606.ENSP00000377845,0.043,0,0,0,0.111,0,0.673,0.293,0.777
AADAT,ALDH7A1,9606.ENSP00000423190,9606.ENSP00000387123,0.047,0,0,0,0.082,0,0.913,0.184,0.929
AADAT,KYAT1,9606.ENSP00000423190,9606.ENSP00000399415,0.042,0,0,0,0.067,0.071,0.9,0.994,0.999
AADAT,TDO2,9606.ENSP00000423190,9606.ENSP00000444788,0,0,0,0,0.101,0,0,0.696,0.715
AADAT,BCAT1,9606.ENSP00000423190,9606.ENSP00000443459,0.115,0,0,0,0.101,0.071,0.792,0.393,0.889
AANAT,INMT,9606.ENSP00000250615,9606.ENSP00000013222,0,0,0,0,0,0,0.9,0.157,0.912
AANAT,PPM1K,9606.ENSP00000250615,9606.ENSP00000477341,0,0,0,0,0,0.746,0,0,0.746
AANAT,IDO1,9606.ENSP00000250615,9606.ENSP00000430950,0,0,0,0,0,0,0.9,0.341,0.931
AANAT,IDO2,9606.ENSP00000250615,9606.ENSP00000443432,0,0,0,0,0,0,0.9,0.36,0.933
AANAT,DDC,9606.ENSP00000250615,9606.ENSP00000403644,0,0,0,0,0,0.046,0.913,0.633,0.967
AANAT,ASMT,9606.ENSP00000250615,9606.ENSP00000370639,0,0,0,0,0.124,0,0.9,0.939,0.994
AASS,ODC1,9606.ENSP00000403768,9606.ENSP00000234111,0.115,0,0,0,0.087,0,0.673,0.378,0.813
AASS,AZIN1,9606.ENSP00000403768,9606.ENSP00000337180,0.115,0,0,0,0.087,0,0.673,0.313,0.794
AASS,ASS1,9606.ENSP00000403768,9606.ENSP00000361471,0,0,0,0,0.133,0,0,0.704,0.733
AASS,SRM,9606.ENSP00000403768,9606.ENSP00000366156,0.12,0.9,0,0,0,0,0,0.336,0.936
AASS,ALDH7A1,9606.ENSP00000403768,9606.ENSP00000387123,0.061,0,0,0,0.28,0,0.913,0.346,0.956
ACAD8,HIBCH,9606.ENSP00000281182,9606.ENSP00000352706,0.046,0,0,0,0.331,0.091,0.185,0.491,0.715
ACAD8,DBT,9606.ENSP00000281182,9606.ENSP00000359151,0,0,0,0,0.126,0,0.918,0.289,0.944
ACAD8,ACADSB,9606.ENSP00000281182,9606.ENSP00000357873,0,0,0.115,0.817,0.259,0.248,0.9,0.23,0.955
ACADSB,ACAT1,9606.ENSP00000357873,9606.ENSP00000265838,0.054,0,0,0,0.373,0.051,0.918,0.416,0.968
ACADSB,BCKDHA,9606.ENSP00000357873,9606.ENSP00000269980,0.047,0,0,0,0.103,0,0.381,0.52,0.712
